,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
7534,org.clapper.grizzled-slf4j,0.3,2010-09-17,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.8.0/0.3/grizzled-slf4j_2.8.0-0.3.jar,,,,,,,,0.3.1
7535,org.clapper.grizzled-slf4j,0.3.1,2010-09-29,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.8.0/0.3.1/grizzled-slf4j_2.8.0-0.3.1.jar,,,,,,,,0.3.2
7536,org.clapper.grizzled-slf4j,0.3.2,2010-11-10,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.8.1/0.3.2/grizzled-slf4j_2.8.1-0.3.2.jar,,,,,,,,0.4
7537,org.clapper.grizzled-slf4j,0.4,2011-01-30,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.8.1/0.4/grizzled-slf4j_2.8.1-0.4.jar,,,,,,,,0.5
7538,org.clapper.grizzled-slf4j,0.5,2011-05-17,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.0/0.5/grizzled-slf4j_2.9.0-0.5.jar,,,,,,,,0.6
7539,org.clapper.grizzled-slf4j,0.6,2011-08-10,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.0-1/0.6/grizzled-slf4j_2.9.0-1-0.6.jar,,,,,,,,0.6.1
7540,org.clapper.grizzled-slf4j,0.6.1,2011-08-12,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.0-1/0.6.1/grizzled-slf4j_2.9.0-1-0.6.1.jar,,,,,,,,0.6.2
7541,org.clapper.grizzled-slf4j,0.6.2,2011-08-12,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.0-1/0.6.2/grizzled-slf4j_2.9.0-1-0.6.2.jar,,,,,,,,0.6.3
7542,org.clapper.grizzled-slf4j,0.6.3,2011-08-26,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.0-1/0.6.3/grizzled-slf4j_2.9.0-1-0.6.3.jar,,,,,,,,0.6.4
7543,org.clapper.grizzled-slf4j,0.6.4,2011-08-31,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.0-1/0.6.4/grizzled-slf4j_2.9.0-1-0.6.4.jar,,,,,,,,0.6.5
7544,org.clapper.grizzled-slf4j,0.6.5,2011-08-31,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.1/0.6.5/grizzled-slf4j_2.9.1-0.6.5.jar,,,,,,,,0.6.6
7545,org.clapper.grizzled-slf4j,0.6.6,2011-09-03,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.1/0.6.6/grizzled-slf4j_2.9.1-0.6.6.jar,,,,,,,,0.6.7
7546,org.clapper.grizzled-slf4j,0.6.7,2012-03-12,https://repo1.maven.org/maven2/org/clapper/grizzled-slf4j_2.9.1/0.6.7/grizzled-slf4j_2.9.1-0.6.7.jar,,,,,,,,0.6.8
