,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
84656,org.clojure.clojure,1.0.0,2009-07-08,https://repo1.maven.org/maven2/org/clojure/clojure/1.0.0/clojure-1.0.0.jar,987,,,,,,,1.1.0
84655,org.clojure.clojure,1.1.0,2010-01-02,https://repo1.maven.org/maven2/org/clojure/clojure/1.1.0/clojure-1.1.0.jar,1222,1,0,0,1,1149,914,1.2.0
84661,org.clojure.clojure,1.2.0,2010-09-14,https://repo1.maven.org/maven2/org/clojure/clojure/1.2.0/clojure-1.2.0.jar,1933,10,1,56,34,1866,1158,1.2.1
84654,org.clojure.clojure,1.2.1,2011-03-25,https://repo1.maven.org/maven2/org/clojure/clojure/1.2.1/clojure-1.2.1.jar,1935,0,0,0,0,724,722,1.3.0
84653,org.clojure.clojure,1.3.0,2011-09-23,https://repo1.maven.org/maven2/org/clojure/clojure/1.3.0/clojure-1.3.0.jar,2151,0,0,0,0,1085,869,1.4.0
84633,org.clojure.clojure,1.4.0,2012-04-15,https://repo1.maven.org/maven2/org/clojure/clojure/1.4.0/clojure-1.4.0.jar,2224,0,0,0,0,1049,976,1.5.0
84665,org.clojure.clojure,1.5.0,2013-03-01,https://repo1.maven.org/maven2/org/clojure/clojure/1.5.0/clojure-1.5.0.jar,2322,0,0,0,0,1121,1023,1.5.1
84663,org.clojure.clojure,1.5.1,2013-03-10,https://repo1.maven.org/maven2/org/clojure/clojure/1.5.1/clojure-1.5.1.jar,2312,0,0,0,0,992,1002,1.6.0
84666,org.clojure.clojure,1.6.0,2014-05-23,https://repo1.maven.org/maven2/org/clojure/clojure/1.6.0/clojure-1.6.0.jar,2332,0,0,0,0,1070,1049,1.7.0
84668,org.clojure.clojure,1.7.0,2015-06-30,https://repo1.maven.org/maven2/org/clojure/clojure/1.7.0/clojure-1.7.0.jar,2417,0,0,0,0,1275,1186,1.8.0
84667,org.clojure.clojure,1.8.0,2016-01-19,https://repo1.maven.org/maven2/org/clojure/clojure/1.8.0/clojure-1.8.0.jar,2454,0,0,0,0,1272,1235,1.9.0
84664,org.clojure.clojure,1.9.0,2017-12-08,https://repo1.maven.org/maven2/org/clojure/clojure/1.9.0/clojure-1.9.0.jar,2500,1,0,0,0,1295,1250,1.10.0
83962,org.clojure.clojure,1.10.0,2018-12-17,https://repo1.maven.org/maven2/org/clojure/clojure/1.10.0/clojure-1.10.0.jar,2575,0,0,0,0,1339,1264,1.10.1
83961,org.clojure.clojure,1.10.1,2019-06-06,https://repo1.maven.org/maven2/org/clojure/clojure/1.10.1/clojure-1.10.1.jar,2582,0,0,0,0,1252,1245,1.10.2
83969,org.clojure.clojure,1.10.2,2021-01-26,https://repo1.maven.org/maven2/org/clojure/clojure/1.10.2/clojure-1.10.2.jar,2585,0,0,0,0,1252,1249,1.10.3
83968,org.clojure.clojure,1.10.3,2021-03-04,https://repo1.maven.org/maven2/org/clojure/clojure/1.10.3/clojure-1.10.3.jar,2584,0,0,0,0,1063,1064,1.11.0
83967,org.clojure.clojure,1.11.0,2022-03-22,https://repo1.maven.org/maven2/org/clojure/clojure/1.11.0/clojure-1.11.0.jar,2773,0,0,0,0,1489,1300,1.11.1
83966,org.clojure.clojure,1.11.1,2022-04-05,https://repo1.maven.org/maven2/org/clojure/clojure/1.11.1/clojure-1.11.1.jar,2773,0,0,0,0,0,0,1.11.2
83965,org.clojure.clojure,1.11.2,2024-03-08,https://repo1.maven.org/maven2/org/clojure/clojure/1.11.2/clojure-1.11.2.jar,2773,0,0,0,0,0,0,1.11.3
83964,org.clojure.clojure,1.11.3,2024-04-24,https://repo1.maven.org/maven2/org/clojure/clojure/1.11.3/clojure-1.11.3.jar,2773,0,0,0,0,0,0,1.11.4
83963,org.clojure.clojure,1.11.4,2024-08-03,https://repo1.maven.org/maven2/org/clojure/clojure/1.11.4/clojure-1.11.4.jar,2773,0,0,0,0,0,0,1.12.0
83939,org.clojure.clojure,1.12.0,2024-09-05,https://repo1.maven.org/maven2/org/clojure/clojure/1.12.0/clojure-1.12.0.jar,: 2827,0,0,0,0,1408,1354,
