,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
57008,org.clojure.java.classpath,0.1.0,2011-04-22,https://repo1.maven.org/maven2/org/clojure/java.classpath/0.1.0/java.classpath-0.1.0.jar,,,,,,,,0.1.1
57009,org.clojure.java.classpath,0.1.1,2011-04-28,https://repo1.maven.org/maven2/org/clojure/java.classpath/0.1.1/java.classpath-0.1.1.jar,,,,,,,,0.1.2
57010,org.clojure.java.classpath,0.1.2,2011-09-06,https://repo1.maven.org/maven2/org/clojure/java.classpath/0.1.2/java.classpath-0.1.2.jar,,,,,,,,0.2.0
57011,org.clojure.java.classpath,0.2.0,2011-09-15,https://repo1.maven.org/maven2/org/clojure/java.classpath/0.2.0/java.classpath-0.2.0.jar,,,,,,,,0.2.1
57012,org.clojure.java.classpath,0.2.1,2013-01-18,https://repo1.maven.org/maven2/org/clojure/java.classpath/0.2.1/java.classpath-0.2.1.jar,,,,,,,,0.2.2
57013,org.clojure.java.classpath,0.2.2,2014-01-10,https://repo1.maven.org/maven2/org/clojure/java.classpath/0.2.2/java.classpath-0.2.2.jar,,,,,,,,0.2.3
57014,org.clojure.java.classpath,0.2.3,2015-11-06,https://repo1.maven.org/maven2/org/clojure/java.classpath/0.2.3/java.classpath-0.2.3.jar,,,,,,,,0.3.0
57016,org.clojure.java.classpath,0.3.0,2018-05-06,https://repo1.maven.org/maven2/org/clojure/java.classpath/0.3.0/java.classpath-0.3.0.jar,,,,,,,,1.0.0
57025,org.clojure.java.classpath,1.0.0,2020-02-18,https://repo1.maven.org/maven2/org/clojure/java.classpath/1.0.0/java.classpath-1.0.0.jar,,,,,,,,1.1.0
57017,org.clojure.java.classpath,1.1.0,2024-02-19,https://repo1.maven.org/maven2/org/clojure/java.classpath/1.1.0/java.classpath-1.1.0.jar,,,,,,,,
