,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
68957,org.clojure.tools.nrepl,0.0.2,2010-11-17,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.0.2/tools.nrepl-0.0.2.jar,,,,,,,,0.0.3
68937,org.clojure.tools.nrepl,0.0.3,2010-11-20,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.0.3/tools.nrepl-0.0.3.jar,,,,,,,,0.0.4
68936,org.clojure.tools.nrepl,0.0.4,2011-03-03,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.0.4/tools.nrepl-0.0.4.jar,,,,,,,,0.0.5
68935,org.clojure.tools.nrepl,0.0.5,2011-05-06,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.0.5/tools.nrepl-0.0.5.jar,,,,,,,,0.2.0
68926,org.clojure.tools.nrepl,0.2.0,2013-01-12,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.0/tools.nrepl-0.2.0.jar,,,,,,,,0.2.1
68927,org.clojure.tools.nrepl,0.2.1,2013-01-13,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.1/tools.nrepl-0.2.1.jar,,,,,,,,0.2.2
68928,org.clojure.tools.nrepl,0.2.2,2013-02-26,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.2/tools.nrepl-0.2.2.jar,,,,,,,,0.2.3
68929,org.clojure.tools.nrepl,0.2.3,2013-05-10,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.3/tools.nrepl-0.2.3.jar,,,,,,,,0.2.4
68930,org.clojure.tools.nrepl,0.2.4,2014-08-20,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.4/tools.nrepl-0.2.4.jar,,,,,,,,0.2.5
68931,org.clojure.tools.nrepl,0.2.5,2014-09-03,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.5/tools.nrepl-0.2.5.jar,,,,,,,,0.2.6
68932,org.clojure.tools.nrepl,0.2.6,2014-09-10,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.6/tools.nrepl-0.2.6.jar,,,,,,,,0.2.7
68933,org.clojure.tools.nrepl,0.2.7,2015-01-13,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.7/tools.nrepl-0.2.7.jar,,,,,,,,0.2.8
68934,org.clojure.tools.nrepl,0.2.8,2015-03-13,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.8/tools.nrepl-0.2.8.jar,,,,,,,,0.2.9
68958,org.clojure.tools.nrepl,0.2.9,2015-03-24,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.9/tools.nrepl-0.2.9.jar,,,,,,,,0.2.10
68960,org.clojure.tools.nrepl,0.2.10,2015-03-26,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.10/tools.nrepl-0.2.10.jar,,,,,,,,0.2.11
69006,org.clojure.tools.nrepl,0.2.11,2015-09-16,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.11/tools.nrepl-0.2.11.jar,,,,,,,,0.2.12
68961,org.clojure.tools.nrepl,0.2.12,2015-10-30,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.12/tools.nrepl-0.2.12.jar,,,,,,,,0.2.13
68986,org.clojure.tools.nrepl,0.2.13,2017-04-03,https://repo1.maven.org/maven2/org/clojure/tools.nrepl/0.2.13/tools.nrepl-0.2.13.jar,,,,,,,,
