,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
51043,org.codehaus.mojo.animal-sniffer-annotations,1.3,2009-11-12,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.3/animal-sniffer-annotations-1.3.jar,,,,,,,,1.4
51044,org.codehaus.mojo.animal-sniffer-annotations,1.4,2009-11-30,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.4/animal-sniffer-annotations-1.4.jar,,,,,,,,1.5
51045,org.codehaus.mojo.animal-sniffer-annotations,1.5,2010-02-07,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.5/animal-sniffer-annotations-1.5.jar,,,,,,,,1.6
51046,org.codehaus.mojo.animal-sniffer-annotations,1.6,2010-07-04,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.6/animal-sniffer-annotations-1.6.jar,,,,,,,,1.7
51047,org.codehaus.mojo.animal-sniffer-annotations,1.7,2011-07-07,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.7/animal-sniffer-annotations-1.7.jar,,,,,,,,1.8
51048,org.codehaus.mojo.animal-sniffer-annotations,1.8,2012-06-05,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.8/animal-sniffer-annotations-1.8.jar,,,,,,,,1.9
51049,org.codehaus.mojo.animal-sniffer-annotations,1.9,2012-10-10,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.9/animal-sniffer-annotations-1.9.jar,,,,,,,,1.10
51050,org.codehaus.mojo.animal-sniffer-annotations,1.10,2014-01-16,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.10/animal-sniffer-annotations-1.10.jar,,,,,,,,1.11
51051,org.codehaus.mojo.animal-sniffer-annotations,1.11,2014-03-19,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.11/animal-sniffer-annotations-1.11.jar,,,,,,,,1.12
51052,org.codehaus.mojo.animal-sniffer-annotations,1.12,2014-10-22,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.12/animal-sniffer-annotations-1.12.jar,,,,,,,,1.13
51053,org.codehaus.mojo.animal-sniffer-annotations,1.13,2014-11-05,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.13/animal-sniffer-annotations-1.13.jar,,,,,,,,1.14
51054,org.codehaus.mojo.animal-sniffer-annotations,1.14,2015-02-25,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.14/animal-sniffer-annotations-1.14.jar,,,,,,,,1.15
51055,org.codehaus.mojo.animal-sniffer-annotations,1.15,2016-02-23,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.15/animal-sniffer-annotations-1.15.jar,,,,,,,,1.16
51056,org.codehaus.mojo.animal-sniffer-annotations,1.16,2017-08-18,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.16/animal-sniffer-annotations-1.16.jar,,,,,,,,1.17
51057,org.codehaus.mojo.animal-sniffer-annotations,1.17,2018-06-22,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.17/animal-sniffer-annotations-1.17.jar,,,,,,,,1.18
51058,org.codehaus.mojo.animal-sniffer-annotations,1.18,2019-05-19,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.18/animal-sniffer-annotations-1.18.jar,,,,,,,,1.19
51059,org.codehaus.mojo.animal-sniffer-annotations,1.19,2020-07-05,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.19/animal-sniffer-annotations-1.19.jar,,,,,,,,1.20
51060,org.codehaus.mojo.animal-sniffer-annotations,1.20,2021-02-12,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.20/animal-sniffer-annotations-1.20.jar,,,,,,,,1.21
51041,org.codehaus.mojo.animal-sniffer-annotations,1.21,2022-02-01,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.21/animal-sniffer-annotations-1.21.jar,,,,,,,,1.22
51040,org.codehaus.mojo.animal-sniffer-annotations,1.22,2022-08-16,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.22/animal-sniffer-annotations-1.22.jar,,,,,,,,1.23
51039,org.codehaus.mojo.animal-sniffer-annotations,1.23,2023-03-25,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.23/animal-sniffer-annotations-1.23.jar,,,,,,,,1.24
51024,org.codehaus.mojo.animal-sniffer-annotations,1.24,2024-07-04,https://repo1.maven.org/maven2/org/codehaus/mojo/animal-sniffer-annotations/1.24/animal-sniffer-annotations-1.24.jar,,,,,,,,
