,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
4105,org.codehaus.plexus.plexus-io,1.0,2010-04-25,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/1.0/plexus-io-1.0.jar,,,,,,,,1.0.1
4103,org.codehaus.plexus.plexus-io,1.0.1,2010-09-22,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/1.0.1/plexus-io-1.0.1.jar,,,,,,,,2.0
4080,org.codehaus.plexus.plexus-io,2.0,2011-06-27,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0/plexus-io-2.0.jar,,,,,,,,2.0.1
4081,org.codehaus.plexus.plexus-io,2.0.1,2011-08-16,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.1/plexus-io-2.0.1.jar,,,,,,,,2.0.2
4082,org.codehaus.plexus.plexus-io,2.0.2,2012-01-14,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.2/plexus-io-2.0.2.jar,,,,,,,,2.0.3
4083,org.codehaus.plexus.plexus-io,2.0.3,2012-02-17,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.3/plexus-io-2.0.3.jar,,,,,,,,2.0.4
4084,org.codehaus.plexus.plexus-io,2.0.4,2012-03-02,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.4/plexus-io-2.0.4.jar,,,,,,,,2.0.5
4085,org.codehaus.plexus.plexus-io,2.0.5,2012-09-20,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.5/plexus-io-2.0.5.jar,,,,,,,,2.0.6
4086,org.codehaus.plexus.plexus-io,2.0.6,2012-10-25,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.6/plexus-io-2.0.6.jar,,,,,,,,2.0.7
4087,org.codehaus.plexus.plexus-io,2.0.7,2013-04-18,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.7/plexus-io-2.0.7.jar,,,,,,,,2.0.8
4088,org.codehaus.plexus.plexus-io,2.0.8,2013-07-30,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.8/plexus-io-2.0.8.jar,,,,,,,,2.0.9
4089,org.codehaus.plexus.plexus-io,2.0.9,2013-08-19,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.9/plexus-io-2.0.9.jar,,,,,,,,2.0.10
4090,org.codehaus.plexus.plexus-io,2.0.10,2013-11-01,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.10/plexus-io-2.0.10.jar,,,,,,,,2.0.11
4091,org.codehaus.plexus.plexus-io,2.0.11,2014-09-21,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.11/plexus-io-2.0.11.jar,,,,,,,,2.0.12
4092,org.codehaus.plexus.plexus-io,2.0.12,2014-09-21,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-io/2.0.12/plexus-io-2.0.12.jar,,,,,,,,2.1
