,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
99792,org.codehaus.plexus.plexus-utils,1.0.0,2005-11-08,https://repo1.maven.org/maven2/plexus/plexus-utils/1.0.0/plexus-utils-1.0.0.jar,3,,,,,,,1.0.1
99791,org.codehaus.plexus.plexus-utils,1.0.1,2005-11-08,https://repo1.maven.org/maven2/plexus/plexus-utils/1.0.1/plexus-utils-1.0.1.jar,3,0,0,0,0,0,0,1.0.2
99772,org.codehaus.plexus.plexus-utils,1.0.2,2005-11-08,https://repo1.maven.org/maven2/plexus/plexus-utils/1.0.2/plexus-utils-1.0.2.jar,3,0,0,0,0,0,0,1.0.3
99771,org.codehaus.plexus.plexus-utils,1.0.3,2005-11-08,https://repo1.maven.org/maven2/plexus/plexus-utils/1.0.3/plexus-utils-1.0.3.jar,3,0,0,0,0,0,0,1.0.4
74881,org.codehaus.plexus.plexus-utils,1.0.4,2005-11-17,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.0.4/plexus-utils-1.0.4.jar,3,0,0,0,0,0,0,1.0.5
74880,org.codehaus.plexus.plexus-utils,1.0.5,2005-12-07,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.0.5/plexus-utils-1.0.5.jar,3,0,0,0,0,0,0,1.1
74879,org.codehaus.plexus.plexus-utils,1.1,2006-01-12,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.1/plexus-utils-1.1.jar,3,0,0,0,0,0,0,1.2
74878,org.codehaus.plexus.plexus-utils,1.2,2006-04-19,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.2/plexus-utils-1.2.jar,3,0,0,0,0,0,0,1.3
74877,org.codehaus.plexus.plexus-utils,1.3,2006-09-29,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.3/plexus-utils-1.3.jar,3,0,0,0,0,0,0,1.4
74857,org.codehaus.plexus.plexus-utils,1.4,2007-01-09,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4/plexus-utils-1.4.jar,3,0,0,0,0,0,0,1.4.1
74856,org.codehaus.plexus.plexus-utils,1.4.1,2007-03-10,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.1/plexus-utils-1.4.1.jar,3,0,0,0,0,0,0,1.4.2
74855,org.codehaus.plexus.plexus-utils,1.4.2,2007-05-20,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.2/plexus-utils-1.4.2.jar,3,0,0,0,0,0,0,1.4.3
74831,org.codehaus.plexus.plexus-utils,1.4.3,2007-07-13,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.3/plexus-utils-1.4.3.jar,3,0,0,0,0,0,0,1.4.4
74830,org.codehaus.plexus.plexus-utils,1.4.4,2007-07-21,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.4/plexus-utils-1.4.4.jar,3,0,0,0,0,0,0,1.4.5
74829,org.codehaus.plexus.plexus-utils,1.4.5,2007-07-31,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.5/plexus-utils-1.4.5.jar,3,0,0,0,0,0,0,1.4.6
74828,org.codehaus.plexus.plexus-utils,1.4.6,2007-09-13,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.6/plexus-utils-1.4.6.jar,3,0,0,0,0,0,0,1.4.7
74827,org.codehaus.plexus.plexus-utils,1.4.7,2007-10-16,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.7/plexus-utils-1.4.7.jar,3,0,0,0,0,0,0,1.4.8
74826,org.codehaus.plexus.plexus-utils,1.4.8,2007-11-27,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.8/plexus-utils-1.4.8.jar,3,0,0,0,0,0,0,1.4.9
74825,org.codehaus.plexus.plexus-utils,1.4.9,2007-12-19,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.4.9/plexus-utils-1.4.9.jar,3,0,0,0,0,0,0,1.5
74824,org.codehaus.plexus.plexus-utils,1.5,2008-02-18,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.5/plexus-utils-1.5.jar,3,0,0,0,0,0,0,1.5.1
74832,org.codehaus.plexus.plexus-utils,1.5.1,2008-02-21,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.5.1/plexus-utils-1.5.1.jar,3,0,0,0,0,0,0,1.5.2
74823,org.codehaus.plexus.plexus-utils,1.5.2,2008-06-13,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.5.2/plexus-utils-1.5.2.jar,3,0,0,0,0,0,0,1.5.3
74821,org.codehaus.plexus.plexus-utils,1.5.3,2008-06-13,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.5.3/plexus-utils-1.5.3.jar,3,0,0,0,0,0,0,1.5.4
74820,org.codehaus.plexus.plexus-utils,1.5.4,2008-06-18,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.5.4/plexus-utils-1.5.4.jar,3,0,0,0,0,0,0,1.5.5
74819,org.codehaus.plexus.plexus-utils,1.5.5,2008-07-03,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/1.5.5/plexus-utils-1.5.5.jar,3,0,0,0,0,0,0,1.5.6
