,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
4153,org.eclipse.jetty.jetty-io,7.0.0,2009-10-05,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.0.0.v20091005/jetty-io-7.0.0.v20091005.jar,,,,,,,,7.0.1
4154,org.eclipse.jetty.jetty-io,7.0.1,2009-11-25,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.0.1.v20091125/jetty-io-7.0.1.v20091125.jar,,,,,,,,7.0.2
4155,org.eclipse.jetty.jetty-io,7.0.2,2010-03-31,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.0.2.v20100331/jetty-io-7.0.2.v20100331.jar,,,,,,,,7.1.0
4156,org.eclipse.jetty.jetty-io,7.1.0,2010-05-05,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.1.0.v20100505/jetty-io-7.1.0.v20100505.jar,,,,,,,,7.1.1
4157,org.eclipse.jetty.jetty-io,7.1.1,2010-05-17,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.1.1.v20100517/jetty-io-7.1.1.v20100517.jar,,,,,,,,7.1.2
4158,org.eclipse.jetty.jetty-io,7.1.2,2010-05-23,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.1.2.v20100523/jetty-io-7.1.2.v20100523.jar,,,,,,,,7.1.3
4159,org.eclipse.jetty.jetty-io,7.1.3,2010-05-26,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.1.3.v20100526/jetty-io-7.1.3.v20100526.jar,,,,,,,,7.1.4
4160,org.eclipse.jetty.jetty-io,7.1.4,2010-06-11,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.1.4.v20100610/jetty-io-7.1.4.v20100610.jar,,,,,,,,7.1.5
4161,org.eclipse.jetty.jetty-io,7.1.5,2010-07-05,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.1.5.v20100705/jetty-io-7.1.5.v20100705.jar,,,,,,,,7.1.6
4162,org.eclipse.jetty.jetty-io,7.1.6,2010-07-15,https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-io/7.1.6.v20100715/jetty-io-7.1.6.v20100715.jar,,,,,,,,7.2.0
