,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
90873,org.eclipse.jetty.jetty-server,4.2.2,2006-03-14,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/4.2.2/jetty-4.2.2.jar,55,,,,,,,4.2.3
90866,org.eclipse.jetty.jetty-server,4.2.3,2006-03-14,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/4.2.3/jetty-4.2.3.jar,55,0,0,0,0,0,0,4.2.9
90867,org.eclipse.jetty.jetty-server,4.2.9,2006-03-14,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/4.2.9/jetty-4.2.9.jar,57,0,0,0,0,5,2,4.2.10
90868,org.eclipse.jetty.jetty-server,4.2.10,2006-03-14,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/4.2.10/jetty-4.2.10.jar,59,0,0,0,0,3,2,4.2.12
90869,org.eclipse.jetty.jetty-server,4.2.12,2007-04-05,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/4.2.12/jetty-4.2.12.jar,59,0,0,0,0,0,0,6.0.0
90870,org.eclipse.jetty.jetty-server,6.0.0,2006-09-11,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.0.0/jetty-6.0.0.jar,26,0,0,0,2,21,56,6.0.1
90871,org.eclipse.jetty.jetty-server,6.0.1,2006-09-24,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.0.1/jetty-6.0.1.jar,26,0,0,0,0,0,0,6.0.2
90872,org.eclipse.jetty.jetty-server,6.0.2,2006-11-23,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.0.2/jetty-6.0.2.jar,26,0,0,0,0,0,0,6.1
90791,org.eclipse.jetty.jetty-server,6.1,2007-12-06,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1H.6/jetty-6.1H.6.jar,25,1,1,1,2,0,0,6.1.0
90793,org.eclipse.jetty.jetty-server,6.1.0,2007-01-05,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.0/jetty-6.1.0.jar,25,0,0,0,0,0,0,6.1.1
90799,org.eclipse.jetty.jetty-server,6.1.1,2007-01-15,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.1/jetty-6.1.1.jar,25,0,0,0,0,0,0,6.1.2
90794,org.eclipse.jetty.jetty-server,6.1.2,2007-05-02,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.2/jetty-6.1.2.jar,25,0,0,0,0,0,0,6.1.3
90795,org.eclipse.jetty.jetty-server,6.1.3,2007-05-04,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.3/jetty-6.1.3.jar,25,0,0,0,0,0,0,6.1.4
90796,org.eclipse.jetty.jetty-server,6.1.4,2007-06-15,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.4/jetty-6.1.4.jar,25,0,0,0,0,0,0,6.1.5
90797,org.eclipse.jetty.jetty-server,6.1.5,2007-07-23,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.5/jetty-6.1.5.jar,25,0,0,0,0,0,0,6.1.6
90798,org.eclipse.jetty.jetty-server,6.1.6,2007-11-22,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.6/jetty-6.1.6.jar,25,0,0,0,0,0,0,6.1.7
90790,org.eclipse.jetty.jetty-server,6.1.7,2007-12-24,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.7/jetty-6.1.7.jar,25,0,0,0,0,0,0,6.1.8
90789,org.eclipse.jetty.jetty-server,6.1.8,2008-03-03,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.8/jetty-6.1.8.jar,25,0,0,0,0,0,0,6.1.9
90788,org.eclipse.jetty.jetty-server,6.1.9,2008-04-01,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.9/jetty-6.1.9.jar,25,0,0,0,0,0,0,6.1.10
90787,org.eclipse.jetty.jetty-server,6.1.10,2008-05-21,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.10/jetty-6.1.10.jar,25,0,0,0,0,0,0,6.1.11
90773,org.eclipse.jetty.jetty-server,6.1.11,2008-06-09,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.11/jetty-6.1.11.jar,25,0,0,0,0,0,0,6.1.12
90774,org.eclipse.jetty.jetty-server,6.1.12,2008-11-05,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.12/jetty-6.1.12.jar,26,0,0,0,0,1,0,6.1.14
90775,org.eclipse.jetty.jetty-server,6.1.14,2008-11-14,https://repo1.maven.org/maven2/org/mortbay/jetty/jetty/6.1.14/jetty-6.1.14.jar,26,0,0,0,0,0,0,6.1.15
