,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
18882,org.eclipse.jgit.org.eclipse.jgit,1.2.0.201112221803,2012-01-22,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/1.2.0.201112221803-r/org.eclipse.jgit-1.2.0.201112221803-r.jar,26,,,,,,,1.3.0.201202151440
18883,org.eclipse.jgit.org.eclipse.jgit,1.3.0.201202151440,2012-02-17,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/1.3.0.201202151440-r/org.eclipse.jgit-1.3.0.201202151440-r.jar,27,1,0,0,0,0,0,2.0.0.201206130900
18884,org.eclipse.jgit.org.eclipse.jgit,2.0.0.201206130900,2012-06-27,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/2.0.0.201206130900-r/org.eclipse.jgit-2.0.0.201206130900-r.jar,27,0,0,0,0,0,0,2.1.0.201209190230
18885,org.eclipse.jgit.org.eclipse.jgit,2.1.0.201209190230,2012-09-26,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/2.1.0.201209190230-r/org.eclipse.jgit-2.1.0.201209190230-r.jar,27,0,0,0,0,0,0,2.2.0.201212191850
18886,org.eclipse.jgit.org.eclipse.jgit,2.2.0.201212191850,2013-01-08,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/2.2.0.201212191850-r/org.eclipse.jgit-2.2.0.201212191850-r.jar,27,0,0,0,0,0,0,2.3.1.201302201838
18887,org.eclipse.jgit.org.eclipse.jgit,2.3.1.201302201838,2013-03-08,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/2.3.1.201302201838-r/org.eclipse.jgit-2.3.1.201302201838-r.jar,28,0,0,1,0,0,0,3.0.0.201306101825
18888,org.eclipse.jgit.org.eclipse.jgit,3.0.0.201306101825,2013-06-30,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/3.0.0.201306101825-r/org.eclipse.jgit-3.0.0.201306101825-r.jar,34,0,0,0,0,14,8,3.1.0.201310021548
18889,org.eclipse.jgit.org.eclipse.jgit,3.1.0.201310021548,2013-10-14,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/3.1.0.201310021548-r/org.eclipse.jgit-3.1.0.201310021548-r.jar,34,0,0,0,0,0,0,3.2.0.201312181205
18890,org.eclipse.jgit.org.eclipse.jgit,3.2.0.201312181205,2013-12-18,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/3.2.0.201312181205-r/org.eclipse.jgit-3.2.0.201312181205-r.jar,34,0,0,0,0,0,0,3.3.0.201403021825
18891,org.eclipse.jgit.org.eclipse.jgit,3.3.0.201403021825,2014-03-04,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/3.3.0.201403021825-r/org.eclipse.jgit-3.3.0.201403021825-r.jar,34,0,0,0,0,0,0,3.3.1.201403241930
18892,org.eclipse.jgit.org.eclipse.jgit,3.3.1.201403241930,2014-03-25,https://repo1.maven.org/maven2/org/eclipse/jgit/org.eclipse.jgit/3.3.1.201403241930-r/org.eclipse.jgit-3.3.1.201403241930-r.jar,34,0,0,0,0,0,0,3.3.2.201404171909
