,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
23855,org.eclipse.xtext.org.eclipse.xtext,2.5.0,2013-12-11,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.5.0/org.eclipse.xtext-2.5.0.jar,,,,,,,,2.5.1
23856,org.eclipse.xtext.org.eclipse.xtext,2.5.1,2014-02-03,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.5.1/org.eclipse.xtext-2.5.1.jar,,,,,,,,2.5.2
23857,org.eclipse.xtext.org.eclipse.xtext,2.5.2,2014-02-12,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.5.2/org.eclipse.xtext-2.5.2.jar,,,,,,,,2.5.3
23858,org.eclipse.xtext.org.eclipse.xtext,2.5.3,2014-02-24,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.5.3/org.eclipse.xtext-2.5.3.jar,,,,,,,,2.5.4
23859,org.eclipse.xtext.org.eclipse.xtext,2.5.4,2014-04-10,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.5.4/org.eclipse.xtext-2.5.4.jar,,,,,,,,2.6.0
23860,org.eclipse.xtext.org.eclipse.xtext,2.6.0,2014-05-21,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.6.0/org.eclipse.xtext-2.6.0.jar,,,,,,,,2.6.1
23861,org.eclipse.xtext.org.eclipse.xtext,2.6.1,2014-06-13,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.6.1/org.eclipse.xtext-2.6.1.jar,,,,,,,,2.6.2
23862,org.eclipse.xtext.org.eclipse.xtext,2.6.2,2014-07-03,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.6.2/org.eclipse.xtext-2.6.2.jar,,,,,,,,2.7.0
23863,org.eclipse.xtext.org.eclipse.xtext,2.7.0,2014-09-02,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.7.0/org.eclipse.xtext-2.7.0.jar,,,,,,,,2.7.1
23864,org.eclipse.xtext.org.eclipse.xtext,2.7.1,2014-09-09,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.7.1/org.eclipse.xtext-2.7.1.jar,,,,,,,,2.7.2
23865,org.eclipse.xtext.org.eclipse.xtext,2.7.2,2014-09-17,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.7.2/org.eclipse.xtext-2.7.2.jar,,,,,,,,2.7.3
23866,org.eclipse.xtext.org.eclipse.xtext,2.7.3,2014-11-20,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.7.3/org.eclipse.xtext-2.7.3.jar,,,,,,,,2.8.0
23867,org.eclipse.xtext.org.eclipse.xtext,2.8.0,2015-03-10,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.8.0/org.eclipse.xtext-2.8.0.jar,,,,,,,,2.8.1
23847,org.eclipse.xtext.org.eclipse.xtext,2.8.1,2015-03-24,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.8.1/org.eclipse.xtext-2.8.1.jar,,,,,,,,2.8.2
23868,org.eclipse.xtext.org.eclipse.xtext,2.8.2,2015-04-10,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.8.2/org.eclipse.xtext-2.8.2.jar,,,,,,,,2.8.3
23846,org.eclipse.xtext.org.eclipse.xtext,2.8.3,2015-06-01,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.8.3/org.eclipse.xtext-2.8.3.jar,,,,,,,,2.8.4
23844,org.eclipse.xtext.org.eclipse.xtext,2.8.4,2015-08-03,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.8.4/org.eclipse.xtext-2.8.4.jar,,,,,,,,2.9.0
23831,org.eclipse.xtext.org.eclipse.xtext,2.9.0,2015-12-01,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.9.0/org.eclipse.xtext-2.9.0.jar,,,,,,,,2.9.1
23832,org.eclipse.xtext.org.eclipse.xtext,2.9.1,2015-12-18,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.9.1/org.eclipse.xtext-2.9.1.jar,,,,,,,,2.9.2
23833,org.eclipse.xtext.org.eclipse.xtext,2.9.2,2016-03-04,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.9.2/org.eclipse.xtext-2.9.2.jar,,,,,,,,2.10.0
23834,org.eclipse.xtext.org.eclipse.xtext,2.10.0,2016-05-25,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.10.0/org.eclipse.xtext-2.10.0.jar,,,,,,,,2.11.0
23835,org.eclipse.xtext.org.eclipse.xtext,2.11.0,2017-02-01,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.11.0/org.eclipse.xtext-2.11.0.jar,,,,,,,,2.12.0
23836,org.eclipse.xtext.org.eclipse.xtext,2.12.0,2017-05-19,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.12.0/org.eclipse.xtext-2.12.0.jar,,,,,,,,2.13.0
23837,org.eclipse.xtext.org.eclipse.xtext,2.13.0,2017-10-20,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.13.0/org.eclipse.xtext-2.13.0.jar,,,,,,,,2.14.0
23838,org.eclipse.xtext.org.eclipse.xtext,2.14.0,2018-05-23,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.14.0/org.eclipse.xtext-2.14.0.jar,,,,,,,,2.15.0
23839,org.eclipse.xtext.org.eclipse.xtext,2.15.0,2018-09-16,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.15.0/org.eclipse.xtext-2.15.0.jar,,,,,,,,2.16.0
23840,org.eclipse.xtext.org.eclipse.xtext,2.16.0,2018-12-03,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.16.0/org.eclipse.xtext-2.16.0.jar,,,,,,,,2.17.0
23841,org.eclipse.xtext.org.eclipse.xtext,2.17.0,2019-03-04,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.17.0/org.eclipse.xtext-2.17.0.jar,,,,,,,,2.17.1
23842,org.eclipse.xtext.org.eclipse.xtext,2.17.1,2019-04-03,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.17.1/org.eclipse.xtext-2.17.1.jar,,,,,,,,2.18.0
23843,org.eclipse.xtext.org.eclipse.xtext,2.18.0,2019-06-03,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.18.0/org.eclipse.xtext-2.18.0.jar,,,,,,,,2.19.0
22503,org.eclipse.xtext.org.eclipse.xtext,2.19.0,2019-09-02,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.19.0/org.eclipse.xtext-2.19.0.jar,,,,,,,,2.20.0
21718,org.eclipse.xtext.org.eclipse.xtext,2.20.0,2019-12-02,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.20.0/org.eclipse.xtext-2.20.0.jar,,,,,,,,2.21.0
21719,org.eclipse.xtext.org.eclipse.xtext,2.21.0,2020-03-02,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.21.0/org.eclipse.xtext-2.21.0.jar,,,,,,,,2.22.0
21720,org.eclipse.xtext.org.eclipse.xtext,2.22.0,2020-06-02,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.22.0/org.eclipse.xtext-2.22.0.jar,,,,,,,,2.23.0
21721,org.eclipse.xtext.org.eclipse.xtext,2.23.0,2020-08-31,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.23.0/org.eclipse.xtext-2.23.0.jar,,,,,,,,2.24.0
21722,org.eclipse.xtext.org.eclipse.xtext,2.24.0,2020-11-30,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.24.0/org.eclipse.xtext-2.24.0.jar,,,,,,,,2.25.0
21717,org.eclipse.xtext.org.eclipse.xtext,2.25.0,2021-03-01,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.25.0/org.eclipse.xtext-2.25.0.jar,,,,,,,,2.26.0
21710,org.eclipse.xtext.org.eclipse.xtext,2.26.0,2022-02-28,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.26.0/org.eclipse.xtext-2.26.0.jar,,,,,,,,2.27.0
21711,org.eclipse.xtext.org.eclipse.xtext,2.27.0,2022-05-30,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.27.0/org.eclipse.xtext-2.27.0.jar,,,,,,,,2.28.0
21712,org.eclipse.xtext.org.eclipse.xtext,2.28.0,2022-08-29,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.28.0/org.eclipse.xtext-2.28.0.jar,,,,,,,,2.28.1
21713,org.eclipse.xtext.org.eclipse.xtext,2.28.1,2023-04-20,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.28.1/org.eclipse.xtext-2.28.1.jar,,,,,,,,2.29.0
21714,org.eclipse.xtext.org.eclipse.xtext,2.29.0,2022-11-21,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.29.0/org.eclipse.xtext-2.29.0.jar,,,,,,,,2.30.0
21715,org.eclipse.xtext.org.eclipse.xtext,2.30.0,2023-02-27,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.30.0/org.eclipse.xtext-2.30.0.jar,,,,,,,,2.31.0
21716,org.eclipse.xtext.org.eclipse.xtext,2.31.0,2023-05-29,https://repo1.maven.org/maven2/org/eclipse/xtext/org.eclipse.xtext/2.31.0/org.eclipse.xtext-2.31.0.jar,,,,,,,,2.32.0
