,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
103598,org.ehcache.ehcache,1.2,2006-04-26,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.2/ehcache-1.2.jar,5,,,,,,,1.2.2
103599,org.ehcache.ehcache,1.2.2,2006-07-30,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.2.2/ehcache-1.2.2.jar,11,0,0,0,0,6,0,1.2.3
103600,org.ehcache.ehcache,1.2.3,2006-09-05,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.2.3/ehcache-1.2.3.jar,11,0,0,0,0,0,0,1.2.4
103601,org.ehcache.ehcache,1.2.4,2006-12-04,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.2.4/ehcache-1.2.4.jar,11,0,0,0,0,0,0,1.3.0
103589,org.ehcache.ehcache,1.3.0,2009-08-24,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.3.0/ehcache-1.3.0.jar,14,1,0,0,0,2,0,1.4.0
103588,org.ehcache.ehcache,1.4.0,2009-08-24,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.4.0/ehcache-1.4.0.jar,14,0,0,0,0,0,0,1.4.1
103587,org.ehcache.ehcache,1.4.1,2009-08-24,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.4.1/ehcache-1.4.1.jar,14,0,0,0,0,0,0,1.5.0
103578,org.ehcache.ehcache,1.5.0,2009-08-24,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.5.0/ehcache-1.5.0.jar,17,0,0,0,0,3,0,1.6.0
103572,org.ehcache.ehcache,1.6.0,2009-08-24,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.6.0/ehcache-1.6.0.jar,13,2,0,0,0,0,6,1.6.1
103573,org.ehcache.ehcache,1.6.1,2009-08-24,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.6.1/ehcache-1.6.1.jar,13,0,0,0,0,0,0,1.6.2
103574,org.ehcache.ehcache,1.6.2,2009-08-24,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache/1.6.2/ehcache-1.6.2.jar,11,0,0,0,0,0,2,1.7.0
110802,org.ehcache.ehcache,1.7.0,2009-10-13,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache-core/1.7.0/ehcache-core-1.7.0.jar,15,0,0,0,0,4,0,1.7.1
110799,org.ehcache.ehcache,1.7.1,2009-12-01,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache-core/1.7.1/ehcache-core-1.7.1.jar,15,0,0,0,0,0,0,1.7.2
110798,org.ehcache.ehcache,1.7.2,2009-12-22,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache-core/1.7.2/ehcache-core-1.7.2.jar,15,0,0,0,0,0,0,2.0.0
110797,org.ehcache.ehcache,2.0.0,2010-03-04,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache-core/2.0.0/ehcache-core-2.0.0.jar,27,0,0,0,0,12,0,2.0.1
110796,org.ehcache.ehcache,2.0.1,2010-04-08,https://repo1.maven.org/maven2/net/sf/ehcache/ehcache-core/2.0.1/ehcache-core-2.0.1.jar,27,0,0,0,0,0,0,2.1.0
