,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
91957,org.freemarker.freemarker,1.5.3,2005-11-08,https://repo1.maven.org/maven2/freemarker/freemarker/1.5.3/freemarker-1.5.3.jar,3,,,,,,,2.3.1
91958,org.freemarker.freemarker,2.3.1,2005-11-08,https://repo1.maven.org/maven2/freemarker/freemarker/2.3.1/freemarker-2.3.1.jar,19,0,0,0,0,16,0,2.3.2
91959,org.freemarker.freemarker,2.3.2,2005-11-08,https://repo1.maven.org/maven2/freemarker/freemarker/2.3.2/freemarker-2.3.2.jar,19,0,0,0,0,0,0,2.3.3
91960,org.freemarker.freemarker,2.3.3,2005-11-08,https://repo1.maven.org/maven2/freemarker/freemarker/2.3.3/freemarker-2.3.3.jar,19,0,0,0,0,0,0,2.3.4
91961,org.freemarker.freemarker,2.3.4,2005-11-21,https://repo1.maven.org/maven2/freemarker/freemarker/2.3.4/freemarker-2.3.4.jar,19,0,0,0,0,0,0,2.3.6
91962,org.freemarker.freemarker,2.3.6,2006-04-12,https://repo1.maven.org/maven2/freemarker/freemarker/2.3.6/freemarker-2.3.6.jar,19,0,0,0,0,0,0,2.3.8
91963,org.freemarker.freemarker,2.3.8,2006-08-31,https://repo1.maven.org/maven2/freemarker/freemarker/2.3.8/freemarker-2.3.8.jar,20,1,0,0,0,0,0,2.3.9
87602,org.freemarker.freemarker,2.3.9,2007-03-15,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.9/freemarker-2.3.9.jar,20,0,0,0,0,0,0,2.3.10
87601,org.freemarker.freemarker,2.3.10,2007-04-24,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.10/freemarker-2.3.10.jar,20,0,0,0,0,0,0,2.3.11
87600,org.freemarker.freemarker,2.3.11,2007-12-08,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.11/freemarker-2.3.11.jar,21,1,0,0,0,0,0,2.3.12
87599,org.freemarker.freemarker,2.3.12,2008-02-20,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.12/freemarker-2.3.12.jar,21,0,0,0,0,0,0,2.3.13
87598,org.freemarker.freemarker,2.3.13,2008-05-22,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.13/freemarker-2.3.13.jar,22,1,0,0,0,0,0,2.3.14
87597,org.freemarker.freemarker,2.3.14,2008-09-28,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.14/freemarker-2.3.14.jar,22,0,0,0,0,0,0,2.3.15
87596,org.freemarker.freemarker,2.3.15,2008-12-16,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.15/freemarker-2.3.15.jar,22,0,0,0,0,0,0,2.3.16
87595,org.freemarker.freemarker,2.3.16,2009-12-08,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.16/freemarker-2.3.16.jar,22,0,0,0,0,0,0,2.3.17
87594,org.freemarker.freemarker,2.3.17,2011-05-17,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.17/freemarker-2.3.17.jar,23,0,0,0,0,1,0,2.3.18
87593,org.freemarker.freemarker,2.3.18,2011-05-21,https://repo1.maven.org/maven2/org/freemarker/freemarker/2.3.18/freemarker-2.3.18.jar,23,0,0,0,0,0,0,2.3.19
