,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
92069,org.hibernate.validator.hibernate-validator,3.0.0,2007-09-21,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/3.0.0.GA/hibernate-validator-3.0.0.GA.jar,19,,,,,,,3.1.0
92070,org.hibernate.validator.hibernate-validator,3.1.0,2009-07-08,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/3.1.0.GA/hibernate-validator-3.1.0.GA.jar,19,0,0,0,0,1,1,4.0.0
92071,org.hibernate.validator.hibernate-validator,4.0.0,2009-10-08,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/4.0.0.GA/hibernate-validator-4.0.0.GA.jar,4,0,0,0,0,4,19,4.0.1
92072,org.hibernate.validator.hibernate-validator,4.0.1,2009-10-28,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/4.0.1.GA/hibernate-validator-4.0.1.GA.jar,4,0,0,0,0,0,0,4.0.2
92073,org.hibernate.validator.hibernate-validator,4.0.2,2009-11-06,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/4.0.2.GA/hibernate-validator-4.0.2.GA.jar,4,0,0,0,0,0,0,4.1.0
92064,org.hibernate.validator.hibernate-validator,4.1.0,2010-06-28,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/4.1.0.Final/hibernate-validator-4.1.0.Final.jar,5,1,0,0,0,0,0,4.2.0
92062,org.hibernate.validator.hibernate-validator,4.2.0,2011-06-20,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/4.2.0.Final/hibernate-validator-4.2.0.Final.jar,9,0,0,0,0,4,0,4.3.0
92063,org.hibernate.validator.hibernate-validator,4.3.0,2012-05-09,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/4.3.0.Final/hibernate-validator-4.3.0.Final.jar,14,0,0,0,0,14,9,4.3.1
92065,org.hibernate.validator.hibernate-validator,4.3.1,2012-11-28,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/4.3.1.Final/hibernate-validator-4.3.1.Final.jar,14,0,0,0,0,0,0,4.3.2
92066,org.hibernate.validator.hibernate-validator,4.3.2,2014-07-25,https://repo1.maven.org/maven2/org/hibernate/hibernate-validator/4.3.2.Final/hibernate-validator-4.3.2.Final.jar,14,0,0,0,0,0,0,5.0.0
