,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
28498,org.hjson.hjson,1.0.0,2015-04-15,https://repo1.maven.org/maven2/org/hjson/hjson/1.0.0/hjson-1.0.0.jar,6,,,,,,,1.0.1
28499,org.hjson.hjson,1.0.1,2015-04-16,https://repo1.maven.org/maven2/org/hjson/hjson/1.0.1/hjson-1.0.1.jar,6,0,0,0,0,0,0,1.1.0
28500,org.hjson.hjson,1.1.0,2015-05-07,https://repo1.maven.org/maven2/org/hjson/hjson/1.1.0/hjson-1.1.0.jar,6,0,0,0,0,0,0,1.1.2
28501,org.hjson.hjson,1.1.2,2015-08-21,https://repo1.maven.org/maven2/org/hjson/hjson/1.1.2/hjson-1.1.2.jar,6,0,0,0,0,0,0,1.1.3
28502,org.hjson.hjson,1.1.3,2016-02-02,https://repo1.maven.org/maven2/org/hjson/hjson/1.1.3/hjson-1.1.3.jar,6,0,0,0,0,0,0,1.1.4
28503,org.hjson.hjson,1.1.4,2016-04-29,https://repo1.maven.org/maven2/org/hjson/hjson/1.1.4/hjson-1.1.4.jar,6,0,0,0,0,0,0,2.0.0
28504,org.hjson.hjson,2.0.0,2016-08-01,https://repo1.maven.org/maven2/org/hjson/hjson/2.0.0/hjson-2.0.0.jar,6,0,0,0,0,0,0,2.0.1
28505,org.hjson.hjson,2.0.1,2016-08-19,https://repo1.maven.org/maven2/org/hjson/hjson/2.0.1/hjson-2.0.1.jar,6,0,0,0,0,0,0,2.1.0
28506,org.hjson.hjson,2.1.0,2016-09-19,https://repo1.maven.org/maven2/org/hjson/hjson/2.1.0/hjson-2.1.0.jar,7,0,0,0,0,1,0,2.1.1
28507,org.hjson.hjson,2.1.1,2017-01-18,https://repo1.maven.org/maven2/org/hjson/hjson/2.1.1/hjson-2.1.1.jar,7,0,0,0,0,0,0,3.0.0
28508,org.hjson.hjson,3.0.0,2017-07-17,https://repo1.maven.org/maven2/org/hjson/hjson/3.0.0/hjson-3.0.0.jar,7,0,0,0,0,0,0,3.0.1
28509,org.hjson.hjson,3.0.1,2023-08-17,https://repo1.maven.org/maven2/org/hjson/hjson/3.0.1/hjson-3.0.1.jar,7,0,0,0,0,0,0,3.1.0
28510,org.hjson.hjson,3.1.0,2023-10-14,https://repo1.maven.org/maven2/org/hjson/hjson/3.1.0/hjson-3.1.0.jar,: 7,0,0,0,0,0,0,
