,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
33133,org.http4k.http4k-core,0.21.0,2017-05-09,https://repo1.maven.org/maven2/org/http4k/http4k-core/0.21.0/http4k-core-0.21.0.jar,,,,,,,,0.22.0
33134,org.http4k.http4k-core,0.22.0,2017-05-10,https://repo1.maven.org/maven2/org/http4k/http4k-core/0.22.0/http4k-core-0.22.0.jar,,,,,,,,1.0.0
33135,org.http4k.http4k-core,1.0.0,2017-05-10,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.0.0/http4k-core-1.0.0.jar,,,,,,,,1.1.0
33136,org.http4k.http4k-core,1.1.0,2017-05-10,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.1.0/http4k-core-1.1.0.jar,,,,,,,,1.2.0
33137,org.http4k.http4k-core,1.2.0,2017-05-10,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.2.0/http4k-core-1.2.0.jar,,,,,,,,1.3.0
33138,org.http4k.http4k-core,1.3.0,2017-05-11,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.3.0/http4k-core-1.3.0.jar,,,,,,,,1.4.0
33139,org.http4k.http4k-core,1.4.0,2017-05-11,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.4.0/http4k-core-1.4.0.jar,,,,,,,,1.5.0
33140,org.http4k.http4k-core,1.5.0,2017-05-12,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.5.0/http4k-core-1.5.0.jar,,,,,,,,1.6.0
33141,org.http4k.http4k-core,1.6.0,2017-05-12,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.6.0/http4k-core-1.6.0.jar,,,,,,,,1.7.0
33142,org.http4k.http4k-core,1.7.0,2017-05-12,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.7.0/http4k-core-1.7.0.jar,,,,,,,,1.8.0
33143,org.http4k.http4k-core,1.8.0,2017-05-15,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.8.0/http4k-core-1.8.0.jar,,,,,,,,1.9.0
33144,org.http4k.http4k-core,1.9.0,2017-05-16,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.9.0/http4k-core-1.9.0.jar,,,,,,,,1.10.0
33145,org.http4k.http4k-core,1.10.0,2017-05-17,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.10.0/http4k-core-1.10.0.jar,,,,,,,,1.11.0
33146,org.http4k.http4k-core,1.11.0,2017-05-18,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.11.0/http4k-core-1.11.0.jar,,,,,,,,1.13.0
33147,org.http4k.http4k-core,1.13.0,2017-05-18,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.13.0/http4k-core-1.13.0.jar,,,,,,,,1.14.0
33148,org.http4k.http4k-core,1.14.0,2017-05-19,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.14.0/http4k-core-1.14.0.jar,,,,,,,,1.15.0
33149,org.http4k.http4k-core,1.15.0,2017-05-20,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.15.0/http4k-core-1.15.0.jar,,,,,,,,1.16.0
33150,org.http4k.http4k-core,1.16.0,2017-05-20,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.16.0/http4k-core-1.16.0.jar,,,,,,,,1.17.0
33152,org.http4k.http4k-core,1.17.0,2017-05-20,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.17.0/http4k-core-1.17.0.jar,,,,,,,,1.18.0
33176,org.http4k.http4k-core,1.18.0,2017-05-21,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.18.0/http4k-core-1.18.0.jar,,,,,,,,1.19.0
33177,org.http4k.http4k-core,1.19.0,2017-05-21,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.19.0/http4k-core-1.19.0.jar,,,,,,,,1.19.1
33178,org.http4k.http4k-core,1.19.1,2017-05-21,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.19.1/http4k-core-1.19.1.jar,,,,,,,,1.20.0
33206,org.http4k.http4k-core,1.20.0,2017-05-21,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.20.0/http4k-core-1.20.0.jar,,,,,,,,1.21.0
33207,org.http4k.http4k-core,1.21.0,2017-05-22,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.21.0/http4k-core-1.21.0.jar,,,,,,,,1.21.1
33208,org.http4k.http4k-core,1.21.1,2017-05-22,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.21.1/http4k-core-1.21.1.jar,,,,,,,,1.22.0
33209,org.http4k.http4k-core,1.22.0,2017-05-23,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.22.0/http4k-core-1.22.0.jar,,,,,,,,1.22.2
33210,org.http4k.http4k-core,1.22.2,2017-05-24,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.22.2/http4k-core-1.22.2.jar,,,,,,,,1.23.0
33211,org.http4k.http4k-core,1.23.0,2017-05-25,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.23.0/http4k-core-1.23.0.jar,,,,,,,,1.24.0
33212,org.http4k.http4k-core,1.24.0,2017-05-26,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.24.0/http4k-core-1.24.0.jar,,,,,,,,1.25.0
33213,org.http4k.http4k-core,1.25.0,2017-05-27,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.25.0/http4k-core-1.25.0.jar,,,,,,,,1.25.1
33214,org.http4k.http4k-core,1.25.1,2017-05-28,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.25.1/http4k-core-1.25.1.jar,,,,,,,,1.26.0
33215,org.http4k.http4k-core,1.26.0,2017-05-30,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.26.0/http4k-core-1.26.0.jar,,,,,,,,1.26.1
33216,org.http4k.http4k-core,1.26.1,2017-05-31,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.26.1/http4k-core-1.26.1.jar,,,,,,,,1.26.2
33218,org.http4k.http4k-core,1.26.2,2017-06-01,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.26.2/http4k-core-1.26.2.jar,,,,,,,,1.27.0
33230,org.http4k.http4k-core,1.27.0,2017-06-01,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.27.0/http4k-core-1.27.0.jar,,,,,,,,1.28.0
33219,org.http4k.http4k-core,1.28.0,2017-06-01,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.28.0/http4k-core-1.28.0.jar,,,,,,,,1.30.0
33220,org.http4k.http4k-core,1.30.0,2017-06-02,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.30.0/http4k-core-1.30.0.jar,,,,,,,,1.31.0
33221,org.http4k.http4k-core,1.31.0,2017-06-02,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.31.0/http4k-core-1.31.0.jar,,,,,,,,1.32.0
33222,org.http4k.http4k-core,1.32.0,2017-06-02,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.32.0/http4k-core-1.32.0.jar,,,,,,,,1.32.1
33223,org.http4k.http4k-core,1.32.1,2017-06-02,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.32.1/http4k-core-1.32.1.jar,,,,,,,,1.32.2
33224,org.http4k.http4k-core,1.32.2,2017-06-02,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.32.2/http4k-core-1.32.2.jar,,,,,,,,1.33.0
33225,org.http4k.http4k-core,1.33.0,2017-06-05,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.33.0/http4k-core-1.33.0.jar,,,,,,,,1.33.1
33226,org.http4k.http4k-core,1.33.1,2017-06-05,https://repo1.maven.org/maven2/org/http4k/http4k-core/1.33.1/http4k-core-1.33.1.jar,,,,,,,,2.0.0
33227,org.http4k.http4k-core,2.0.0,2017-06-05,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.0.0/http4k-core-2.0.0.jar,,,,,,,,2.0.1
33228,org.http4k.http4k-core,2.0.1,2017-06-05,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.0.1/http4k-core-2.0.1.jar,,,,,,,,2.0.2
33229,org.http4k.http4k-core,2.0.2,2017-06-05,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.0.2/http4k-core-2.0.2.jar,,,,,,,,2.0.3
33205,org.http4k.http4k-core,2.0.3,2017-06-05,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.0.3/http4k-core-2.0.3.jar,,,,,,,,2.0.4
33204,org.http4k.http4k-core,2.0.4,2017-06-06,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.0.4/http4k-core-2.0.4.jar,,,,,,,,2.0.5
33203,org.http4k.http4k-core,2.0.5,2017-06-06,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.0.5/http4k-core-2.0.5.jar,,,,,,,,2.1.0
33202,org.http4k.http4k-core,2.1.0,2017-06-07,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.1.0/http4k-core-2.1.0.jar,,,,,,,,2.1.1
33179,org.http4k.http4k-core,2.1.1,2017-06-08,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.1.1/http4k-core-2.1.1.jar,,,,,,,,2.1.2
33180,org.http4k.http4k-core,2.1.2,2017-06-08,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.1.2/http4k-core-2.1.2.jar,,,,,,,,2.2.0
33181,org.http4k.http4k-core,2.2.0,2017-06-08,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.2.0/http4k-core-2.2.0.jar,,,,,,,,2.2.1
33182,org.http4k.http4k-core,2.2.1,2017-06-09,https://repo1.maven.org/maven2/org/http4k/http4k-core/2.2.1/http4k-core-2.2.1.jar,,,,,,,,2.3.0
