,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
20378,org.http4s.http4s-core,0.1.0,2014-04-16,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.10/0.1.0/http4s-core_2.10-0.1.0.jar,,,,,,,,0.2.0
20379,org.http4s.http4s-core,0.2.0,2014-07-16,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.2.0/http4s-core_2.11-0.2.0.jar,,,,,,,,0.3.0
20380,org.http4s.http4s-core,0.3.0,2014-08-29,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.3.0/http4s-core_2.11-0.3.0.jar,,,,,,,,0.4.0
20381,org.http4s.http4s-core,0.4.0,2014-11-18,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.4.0/http4s-core_2.11-0.4.0.jar,,,,,,,,0.4.1
20382,org.http4s.http4s-core,0.4.1,2014-11-21,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.4.1/http4s-core_2.11-0.4.1.jar,,,,,,,,0.4.2
20383,org.http4s.http4s-core,0.4.2,2014-12-02,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.4.2/http4s-core_2.11-0.4.2.jar,,,,,,,,0.5.0
20384,org.http4s.http4s-core,0.5.0,2014-12-11,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.5.0/http4s-core_2.11-0.5.0.jar,,,,,,,,0.5.1
20385,org.http4s.http4s-core,0.5.1,2014-12-23,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.5.1/http4s-core_2.11-0.5.1.jar,,,,,,,,0.5.2
20386,org.http4s.http4s-core,0.5.2,2015-01-02,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.5.2/http4s-core_2.11-0.5.2.jar,,,,,,,,0.5.3
20387,org.http4s.http4s-core,0.5.3,2015-01-05,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.5.3/http4s-core_2.11-0.5.3.jar,,,,,,,,0.5.4
20388,org.http4s.http4s-core,0.5.4,2015-01-08,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.5.4/http4s-core_2.11-0.5.4.jar,,,,,,,,0.6.0
20389,org.http4s.http4s-core,0.6.0,2015-01-27,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.6.0/http4s-core_2.11-0.6.0.jar,,,,,,,,0.6.1
20390,org.http4s.http4s-core,0.6.1,2015-02-04,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.6.1/http4s-core_2.11-0.6.1.jar,,,,,,,,0.6.2
20391,org.http4s.http4s-core,0.6.2,2015-02-28,https://repo1.maven.org/maven2/org/http4s/http4s-core_2.11/0.6.2/http4s-core_2.11-0.6.2.jar,,,,,,,,0.6.3
