,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
104502,org.jboss.as.jboss-as-server,5.0.0,2008-12-05,https://repo1.maven.org/maven2/org/jboss/jbossas/jboss-as-server/5.0.0.GA/jboss-as-server-5.0.0.GA.jar,40,,,,,,,5.0.1
104503,org.jboss.as.jboss-as-server,5.0.1,2009-02-24,https://repo1.maven.org/maven2/org/jboss/jbossas/jboss-as-server/5.0.1.GA/jboss-as-server-5.0.1.GA.jar,40,0,0,0,0,0,0,5.1.0
104504,org.jboss.as.jboss-as-server,5.1.0,2009-05-23,https://repo1.maven.org/maven2/org/jboss/jbossas/jboss-as-server/5.1.0.GA/jboss-as-server-5.1.0.GA.jar,40,0,0,0,0,0,0,6.0.0
104522,org.jboss.as.jboss-as-server,6.0.0,2010-12-28,https://repo1.maven.org/maven2/org/jboss/jbossas/jboss-as-server/6.0.0.Final/jboss-as-server-6.0.0.Final.jar,40,0,0,0,0,1,1,6.1.0
104523,org.jboss.as.jboss-as-server,6.1.0,2011-08-16,https://repo1.maven.org/maven2/org/jboss/jbossas/jboss-as-server/6.1.0.Final/jboss-as-server-6.1.0.Final.jar,40,0,0,0,0,0,0,7.0.0
58614,org.jboss.as.jboss-as-server,7.0.0,2011-07-12,https://repo1.maven.org/maven2/org/jboss/as/jboss-as-server/7.0.0.Final/jboss-as-server-7.0.0.Final.jar,5,0,0,0,0,5,42,7.0.1
58621,org.jboss.as.jboss-as-server,7.0.1,2011-08-18,https://repo1.maven.org/maven2/org/jboss/as/jboss-as-server/7.0.1.Final/jboss-as-server-7.0.1.Final.jar,5,0,0,0,0,0,0,7.0.2
58615,org.jboss.as.jboss-as-server,7.0.2,2011-09-23,https://repo1.maven.org/maven2/org/jboss/as/jboss-as-server/7.0.2.Final/jboss-as-server-7.0.2.Final.jar,5,0,0,0,0,0,0,7.1.0
58616,org.jboss.as.jboss-as-server,7.1.0,2012-02-16,https://repo1.maven.org/maven2/org/jboss/as/jboss-as-server/7.1.0.Final/jboss-as-server-7.1.0.Final.jar,7,0,0,0,0,2,0,7.1.1
58617,org.jboss.as.jboss-as-server,7.1.1,2012-03-10,https://repo1.maven.org/maven2/org/jboss/as/jboss-as-server/7.1.1.Final/jboss-as-server-7.1.1.Final.jar,7,0,0,0,0,0,0,7.1.2
58618,org.jboss.as.jboss-as-server,7.1.2,2012-07-18,https://repo1.maven.org/maven2/org/jboss/as/jboss-as-server/7.1.2.Final/jboss-as-server-7.1.2.Final.jar,14,0,0,0,0,7,0,7.1.3
58619,org.jboss.as.jboss-as-server,7.1.3,2013-01-10,https://repo1.maven.org/maven2/org/jboss/as/jboss-as-server/7.1.3.Final/jboss-as-server-7.1.3.Final.jar,23,0,0,0,0,9,0,7.2.0
58620,org.jboss.as.jboss-as-server,7.2.0,2013-03-08,https://repo1.maven.org/maven2/org/jboss/as/jboss-as-server/7.2.0.Final/jboss-as-server-7.2.0.Final.jar,: 7,0,0,0,0,1,17,
