,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
26558,org.jboss.jboss-transaction-spi,7.0.0,2012-02-06,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.0.0.Final/jboss-transaction-spi-7.0.0.Final.jar,,,,,,,,7.0.1
26559,org.jboss.jboss-transaction-spi,7.0.1,2013-05-28,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.0.1.Final/jboss-transaction-spi-7.0.1.Final.jar,,,,,,,,7.0.2
26560,org.jboss.jboss-transaction-spi,7.0.2,2013-09-13,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.0.2.Final/jboss-transaction-spi-7.0.2.Final.jar,,,,,,,,7.1.0
26561,org.jboss.jboss-transaction-spi,7.1.0,2013-10-19,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.1.0.Final/jboss-transaction-spi-7.1.0.Final.jar,,,,,,,,7.1.1
26562,org.jboss.jboss-transaction-spi,7.1.1,2015-04-20,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.1.1.Final/jboss-transaction-spi-7.1.1.Final.jar,,,,,,,,7.2.0
26563,org.jboss.jboss-transaction-spi,7.2.0,2015-07-02,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.2.0.Final/jboss-transaction-spi-7.2.0.Final.jar,1,,,,,,,7.3.0
26564,org.jboss.jboss-transaction-spi,7.3.0,2015-07-21,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.3.0.Final/jboss-transaction-spi-7.3.0.Final.jar,1,0,0,0,0,0,0,7.3.1
26565,org.jboss.jboss-transaction-spi,7.3.1,2015-08-26,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.3.1.Final/jboss-transaction-spi-7.3.1.Final.jar,1,0,0,0,0,0,0,7.3.2
26566,org.jboss.jboss-transaction-spi,7.3.2,2016-06-30,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.3.2.Final/jboss-transaction-spi-7.3.2.Final.jar,,0,0,0,0,0,0,7.3.3
26567,org.jboss.jboss-transaction-spi,7.3.3,2016-08-19,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.3.3.Final/jboss-transaction-spi-7.3.3.Final.jar,,,,,,,,7.3.4
26568,org.jboss.jboss-transaction-spi,7.3.4,2016-09-07,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.3.4.Final/jboss-transaction-spi-7.3.4.Final.jar,,,,,,,,7.4.0
26569,org.jboss.jboss-transaction-spi,7.4.0,2016-09-16,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.4.0.Final/jboss-transaction-spi-7.4.0.Final.jar,,,,,,,,7.5.0
26570,org.jboss.jboss-transaction-spi,7.5.0,2016-09-23,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.5.0.Final/jboss-transaction-spi-7.5.0.Final.jar,,,,,,,,7.5.1
26571,org.jboss.jboss-transaction-spi,7.5.1,2017-02-27,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.5.1.Final/jboss-transaction-spi-7.5.1.Final.jar,,,,,,,,7.5.2
26572,org.jboss.jboss-transaction-spi,7.5.2,2017-03-09,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.5.2.Final/jboss-transaction-spi-7.5.2.Final.jar,,,,,,,,7.6.0
26573,org.jboss.jboss-transaction-spi,7.6.0,2017-04-04,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.6.0.Final/jboss-transaction-spi-7.6.0.Final.jar,,,,,,,,7.6.1
26574,org.jboss.jboss-transaction-spi,7.6.1,2021-04-23,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/7.6.1.Final/jboss-transaction-spi-7.6.1.Final.jar,,,,,,,,8.0.0
26557,org.jboss.jboss-transaction-spi,8.0.0,2023-02-01,https://repo1.maven.org/maven2/org/jboss/jboss-transaction-spi/8.0.0.Final/jboss-transaction-spi-8.0.0.Final.jar,,,,,,,,
