,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
57,org.jenkins-ci.plugins.token-macro,1.0,2011-03-01,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.0/token-macro-1.0.jar,,,,,,,,1.1
58,org.jenkins-ci.plugins.token-macro,1.1,2011-03-15,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.1/token-macro-1.1.jar,,,,,,,,1.10
164,org.jenkins-ci.plugins.token-macro,1.10,2014-02-14,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.10/token-macro-1.10.jar,,,,,,,,1.11
283,org.jenkins-ci.plugins.token-macro,1.11,2015-10-17,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.11/token-macro-1.11.jar,,,,,,,,1.12
284,org.jenkins-ci.plugins.token-macro,1.12,2015-12-11,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.12/token-macro-1.12.jar,,,,,,,,1.12.1
285,org.jenkins-ci.plugins.token-macro,1.12.1,2015-12-14,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.12.1/token-macro-1.12.1.jar,,,,,,,,1.2
59,org.jenkins-ci.plugins.token-macro,1.2,2011-05-23,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.2/token-macro-1.2.jar,,,,,,,,1.3
60,org.jenkins-ci.plugins.token-macro,1.3,2011-06-16,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.3/token-macro-1.3.jar,,,,,,,,1.4
61,org.jenkins-ci.plugins.token-macro,1.4,2011-07-07,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.4/token-macro-1.4.jar,,,,,,,,1.5
62,org.jenkins-ci.plugins.token-macro,1.5,2011-11-28,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.5/token-macro-1.5.jar,,,,,,,,1.5.1
63,org.jenkins-ci.plugins.token-macro,1.5.1,2011-11-29,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.5.1/token-macro-1.5.1.jar,,,,,,,,1.6
64,org.jenkins-ci.plugins.token-macro,1.6,2013-02-25,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.6/token-macro-1.6.jar,,,,,,,,1.7
65,org.jenkins-ci.plugins.token-macro,1.7,2013-05-23,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.7/token-macro-1.7.jar,,,,,,,,1.8
72,org.jenkins-ci.plugins.token-macro,1.8,2013-07-17,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.8/token-macro-1.8.jar,,,,,,,,1.8.1
162,org.jenkins-ci.plugins.token-macro,1.8.1,2013-07-20,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.8.1/token-macro-1.8.1.jar,,,,,,,,1.9
163,org.jenkins-ci.plugins.token-macro,1.9,2013-10-29,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/1.9/token-macro-1.9.jar,,,,,,,,2.0
286,org.jenkins-ci.plugins.token-macro,2.0,2016-09-20,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.0/token-macro-2.0.jar,,,,,,,,2.1
287,org.jenkins-ci.plugins.token-macro,2.1,2017-04-04,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.1/token-macro-2.1.jar,,,,,,,,2.10
296,org.jenkins-ci.plugins.token-macro,2.10,2019-10-22,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.10/token-macro-2.10.jar,,,,,,,,2.11
297,org.jenkins-ci.plugins.token-macro,2.11,2020-02-18,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.11/token-macro-2.11.jar,,,,,,,,2.12
298,org.jenkins-ci.plugins.token-macro,2.12,2020-03-03,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.12/token-macro-2.12.jar,,,,,,,,2.13
299,org.jenkins-ci.plugins.token-macro,2.13,2020-12-21,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.13/token-macro-2.13.jar,,,,,,,,2.14
300,org.jenkins-ci.plugins.token-macro,2.14,2021-01-06,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.14/token-macro-2.14.jar,,,,,,,,2.15
301,org.jenkins-ci.plugins.token-macro,2.15,2021-01-31,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.15/token-macro-2.15.jar,,,,,,,,2.2
288,org.jenkins-ci.plugins.token-macro,2.2,2017-08-22,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.2/token-macro-2.2.jar,,,,,,,,2.3
289,org.jenkins-ci.plugins.token-macro,2.3,2017-09-02,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.3/token-macro-2.3.jar,,,,,,,,2.4
290,org.jenkins-ci.plugins.token-macro,2.4,2018-03-28,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.4/token-macro-2.4.jar,,,,,,,,2.5
291,org.jenkins-ci.plugins.token-macro,2.5,2018-04-11,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.5/token-macro-2.5.jar,,,,,,,,2.6
292,org.jenkins-ci.plugins.token-macro,2.6,2019-01-15,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.6/token-macro-2.6.jar,,,,,,,,2.7
293,org.jenkins-ci.plugins.token-macro,2.7,2019-03-07,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.7/token-macro-2.7.jar,,,,,,,,2.8
294,org.jenkins-ci.plugins.token-macro,2.8,2019-06-06,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.8/token-macro-2.8.jar,,,,,,,,2.9
295,org.jenkins-ci.plugins.token-macro,2.9,2019-10-21,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/2.9/token-macro-2.9.jar,,,,,,,,270.v8c2ce50dc4fc
302,org.jenkins-ci.plugins.token-macro,270.v8c2ce50dc4fc,2022-02-07,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/270.v8c2ce50dc4fc/token-macro-270.v8c2ce50dc4fc.jar,,,,,,,,442.v4f452dc3c7c0
265,org.jenkins-ci.plugins.token-macro,442.v4f452dc3c7c0,2025-02-02,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/442.v4f452dc3c7c0/token-macro-442.v4f452dc3c7c0.jar,,,,,,,,444.v52de7e9c573d
266,org.jenkins-ci.plugins.token-macro,444.v52de7e9c573d,2025-02-04,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/token-macro/444.v52de7e9c573d/token-macro-444.v52de7e9c573d.jar,,,,,,,,
