,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
4711,org.jenkins-ci.plugins.workflow.workflow-cps,1.0,2014-11-25,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.0/workflow-cps-1.0.jar,13,,,,,,,1.1
4712,org.jenkins-ci.plugins.workflow.workflow-cps,1.1,2014-12-09,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.1/workflow-cps-1.1.jar,13,0,0,0,0,0,0,1.10
4695,org.jenkins-ci.plugins.workflow.workflow-cps,1.10,2015-08-31,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.10/workflow-cps-1.10.jar,13,0,0,0,0,0,0,1.10.1
4672,org.jenkins-ci.plugins.workflow.workflow-cps,1.10.1,2015-10-15,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.10.1/workflow-cps-1.10.1.jar,13,0,0,0,0,0,0,1.11
4673,org.jenkins-ci.plugins.workflow.workflow-cps,1.11,2015-11-12,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.11/workflow-cps-1.11.jar,14,0,0,0,0,1,0,1.12
4674,org.jenkins-ci.plugins.workflow.workflow-cps,1.12,2015-12-15,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.12/workflow-cps-1.12.jar,14,0,0,0,0,0,0,1.13
4675,org.jenkins-ci.plugins.workflow.workflow-cps,1.13,2016-01-19,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.13/workflow-cps-1.13.jar,14,0,0,0,0,0,0,1.14
4676,org.jenkins-ci.plugins.workflow.workflow-cps,1.14,2016-02-25,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.14/workflow-cps-1.14.jar,14,0,0,0,0,0,0,1.14.1
4677,org.jenkins-ci.plugins.workflow.workflow-cps,1.14.1,2016-05-24,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.14.1/workflow-cps-1.14.1.jar,14,0,0,0,0,0,0,1.14.2
4678,org.jenkins-ci.plugins.workflow.workflow-cps,1.14.2,2016-06-01,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-cps/1.14.2/workflow-cps-1.14.2.jar,14,0,0,0,0,0,0,1.15
