,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
801,org.jenkins-ci.plugins.workflow.workflow-support,1.0,2014-11-25,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.0/workflow-support-1.0.jar,5,,,,,,,1.1
802,org.jenkins-ci.plugins.workflow.workflow-support,1.1,2014-12-09,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.1/workflow-support-1.1.jar,5,0,0,0,0,0,0,1.10
785,org.jenkins-ci.plugins.workflow.workflow-support,1.10,2015-08-31,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.10/workflow-support-1.10.jar,6,0,0,0,0,1,0,1.10.1
762,org.jenkins-ci.plugins.workflow.workflow-support,1.10.1,2015-10-15,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.10.1/workflow-support-1.10.1.jar,6,0,0,0,0,0,0,1.11
763,org.jenkins-ci.plugins.workflow.workflow-support,1.11,2015-11-12,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.11/workflow-support-1.11.jar,6,0,0,0,0,0,0,1.12
764,org.jenkins-ci.plugins.workflow.workflow-support,1.12,2015-12-15,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.12/workflow-support-1.12.jar,6,0,0,0,0,0,0,1.13
765,org.jenkins-ci.plugins.workflow.workflow-support,1.13,2016-01-19,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.13/workflow-support-1.13.jar,6,0,0,0,0,0,0,1.14
766,org.jenkins-ci.plugins.workflow.workflow-support,1.14,2016-02-25,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.14/workflow-support-1.14.jar,6,0,0,0,0,0,0,1.14.1
767,org.jenkins-ci.plugins.workflow.workflow-support,1.14.1,2016-05-24,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.14.1/workflow-support-1.14.1.jar,6,0,0,0,0,0,0,1.14.2
768,org.jenkins-ci.plugins.workflow.workflow-support,1.14.2,2016-06-01,https://repo.jenkins-ci.org/releases/org/jenkins-ci/plugins/workflow/workflow-support/1.14.2/workflow-support-1.14.2.jar,6,0,0,0,0,0,0,1.15
