,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
99723,org.jetbrains.annotations,5.1,2006-06-12,https://repo1.maven.org/maven2/com/intellij/annotations/5.1/annotations-5.1.jar,,,,,,,,6.0.3
99722,org.jetbrains.annotations,6.0.3,2007-01-13,https://repo1.maven.org/maven2/com/intellij/annotations/6.0.3/annotations-6.0.3.jar,,,,,,,,6.0.5
99721,org.jetbrains.annotations,6.0.5,2007-08-11,https://repo1.maven.org/maven2/com/intellij/annotations/6.0.5/annotations-6.0.5.jar,,,,,,,,7.0.3
99737,org.jetbrains.annotations,7.0.3,2008-07-20,https://repo1.maven.org/maven2/com/intellij/annotations/7.0.3/annotations-7.0.3.jar,,,,,,,,9.0.4
99766,org.jetbrains.annotations,9.0.4,2011-06-14,https://repo1.maven.org/maven2/com/intellij/annotations/9.0.4/annotations-9.0.4.jar,,,,,,,,12.0
99767,org.jetbrains.annotations,12.0,2013-02-24,https://repo1.maven.org/maven2/com/intellij/annotations/12.0/annotations-12.0.jar,,,,,,,,13.0
68020,org.jetbrains.annotations,13.0,2013-12-17,https://repo1.maven.org/maven2/org/jetbrains/annotations/13.0/annotations-13.0.jar,,,,,,,,15.0
68021,org.jetbrains.annotations,15.0,2015-10-15,https://repo1.maven.org/maven2/org/jetbrains/annotations/15.0/annotations-15.0.jar,,,,,,,,16.0.1
68022,org.jetbrains.annotations,16.0.1,2018-03-12,https://repo1.maven.org/maven2/org/jetbrains/annotations/16.0.1/annotations-16.0.1.jar,,,,,,,,16.0.2
68023,org.jetbrains.annotations,16.0.2,2018-05-17,https://repo1.maven.org/maven2/org/jetbrains/annotations/16.0.2/annotations-16.0.2.jar,,,,,,,,16.0.3
68025,org.jetbrains.annotations,16.0.3,2018-09-18,https://repo1.maven.org/maven2/org/jetbrains/annotations/16.0.3/annotations-16.0.3.jar,,,,,,,,17.0.0
68049,org.jetbrains.annotations,17.0.0,2019-01-30,https://repo1.maven.org/maven2/org/jetbrains/annotations/17.0.0/annotations-17.0.0.jar,,,,,,,,18.0.0
68050,org.jetbrains.annotations,18.0.0,2019-11-07,https://repo1.maven.org/maven2/org/jetbrains/annotations/18.0.0/annotations-18.0.0.jar,,,,,,,,19.0.0
68051,org.jetbrains.annotations,19.0.0,2020-02-14,https://repo1.maven.org/maven2/org/jetbrains/annotations/19.0.0/annotations-19.0.0.jar,,,,,,,,20.0.0
68076,org.jetbrains.annotations,20.0.0,2020-08-10,https://repo1.maven.org/maven2/org/jetbrains/annotations/20.0.0/annotations-20.0.0.jar,,,,,,,,20.1.0
68077,org.jetbrains.annotations,20.1.0,2020-09-02,https://repo1.maven.org/maven2/org/jetbrains/annotations/20.1.0/annotations-20.1.0.jar,,,,,,,,21.0.0
68078,org.jetbrains.annotations,21.0.0,2021-05-20,https://repo1.maven.org/maven2/org/jetbrains/annotations/21.0.0/annotations-21.0.0.jar,,,,,,,,21.0.1
68079,org.jetbrains.annotations,21.0.1,2021-05-25,https://repo1.maven.org/maven2/org/jetbrains/annotations/21.0.1/annotations-21.0.1.jar,,,,,,,,22.0.0
68080,org.jetbrains.annotations,22.0.0,2021-08-12,https://repo1.maven.org/maven2/org/jetbrains/annotations/22.0.0/annotations-22.0.0.jar,,,,,,,,23.0.0
68081,org.jetbrains.annotations,23.0.0,2021-11-10,https://repo1.maven.org/maven2/org/jetbrains/annotations/23.0.0/annotations-23.0.0.jar,,,,,,,,23.1.0
68082,org.jetbrains.annotations,23.1.0,2022-12-08,https://repo1.maven.org/maven2/org/jetbrains/annotations/23.1.0/annotations-23.1.0.jar,,,,,,,,24.0.0
68083,org.jetbrains.annotations,24.0.0,2023-01-11,https://repo1.maven.org/maven2/org/jetbrains/annotations/24.0.0/annotations-24.0.0.jar,,,,,,,,24.0.1
68090,org.jetbrains.annotations,24.0.1,2023-03-02,https://repo1.maven.org/maven2/org/jetbrains/annotations/24.0.1/annotations-24.0.1.jar,,,,,,,,24.1.0
68091,org.jetbrains.annotations,24.1.0,2023-11-15,https://repo1.maven.org/maven2/org/jetbrains/annotations/24.1.0/annotations-24.1.0.jar,,,,,,,,25.0.0
68092,org.jetbrains.annotations,25.0.0,2024-09-25,https://repo1.maven.org/maven2/org/jetbrains/annotations/25.0.0/annotations-25.0.0.jar,,,,,,,,26.0.0
68093,org.jetbrains.annotations,26.0.0,2024-10-08,https://repo1.maven.org/maven2/org/jetbrains/annotations/26.0.0/annotations-26.0.0.jar,,,,,,,,26.0.1
68094,org.jetbrains.annotations,26.0.1,2024-10-14,https://repo1.maven.org/maven2/org/jetbrains/annotations/26.0.1/annotations-26.0.1.jar,,,,,,,,26.0.2
68095,org.jetbrains.annotations,26.0.2,2025-01-22,https://repo1.maven.org/maven2/org/jetbrains/annotations/26.0.2/annotations-26.0.2.jar,,,,,,,,
