,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
74418,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.0,2017-03-01,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.0/kotlin-stdlib-js-1.1.0.jar,,,,,,,,
74437,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.1,2017-03-14,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.1/kotlin-stdlib-js-1.1.1.jar,,,,,,,,
74436,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.2,2017-04-25,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.2/kotlin-stdlib-js-1.1.2.jar,,,,,,,,
74435,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.2.2,2017-04-28,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.2-2/kotlin-stdlib-js-1.1.2-2.jar,,,,,,,,
74434,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.2.3,2017-05-04,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.2-3/kotlin-stdlib-js-1.1.2-3.jar,,,,,,,,
74433,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.2.4,2017-05-17,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.2-4/kotlin-stdlib-js-1.1.2-4.jar,,,,,,,,
74432,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.2.5,2017-06-09,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.2-5/kotlin-stdlib-js-1.1.2-5.jar,,,,,,,,
74431,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.3,2017-06-23,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.3/kotlin-stdlib-js-1.1.3.jar,,,,,,,,
74430,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.3.2,2017-07-04,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.3-2/kotlin-stdlib-js-1.1.3-2.jar,,,,,,,,
74429,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.4,2017-08-14,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.4/kotlin-stdlib-js-1.1.4.jar,,,,,,,,
74428,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.4.2,2017-08-18,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.4-2/kotlin-stdlib-js-1.1.4-2.jar,,,,,,,,
74427,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.4.3,2017-08-29,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.4-3/kotlin-stdlib-js-1.1.4-3.jar,,,,,,,,
74426,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.50,2017-09-21,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.50/kotlin-stdlib-js-1.1.50.jar,,,,,,,,
74425,org.jetbrains.kotlin.kotlin-stdlib-js,1.1.51,2017-09-28,https://repo1.maven.org/maven2/org/jetbrains/kotlin/kotlin-stdlib-js/1.1.51/kotlin-stdlib-js-1.1.51.jar,,,,,,,,
