,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
68590,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.3.9,2020-08-14,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.3.9/kotlinx-coroutines-core-jvm-1.3.9.jar,1,,,,,,,1.4.0
68605,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.4.0,2020-10-26,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.4.0/kotlinx-coroutines-core-jvm-1.4.0.jar,1,0,0,0,0,0,0,1.4.1
68606,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.4.1,2020-11-04,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.4.1/kotlinx-coroutines-core-jvm-1.4.1.jar,1,0,0,0,0,0,0,1.4.2
68607,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.4.2,2020-11-26,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.4.2/kotlinx-coroutines-core-jvm-1.4.2.jar,1,0,0,0,0,0,0,1.4.3
68608,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.4.3,2021-03-03,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.4.3/kotlinx-coroutines-core-jvm-1.4.3.jar,1,0,0,0,0,0,0,1.5.0
68609,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.5.0,2021-05-14,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.5.0/kotlinx-coroutines-core-jvm-1.5.0.jar,1,0,0,0,0,0,0,1.5.1
68610,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.5.1,2021-07-09,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.5.1/kotlinx-coroutines-core-jvm-1.5.1.jar,1,0,0,0,0,0,0,1.5.2
68611,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.5.2,2021-09-02,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.5.2/kotlinx-coroutines-core-jvm-1.5.2.jar,1,0,0,0,0,0,0,1.6.0
68612,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.6.0,2021-12-22,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.6.0/kotlinx-coroutines-core-jvm-1.6.0.jar,1,0,0,0,0,0,0,1.6.1
68604,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.6.1,2022-04-04,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.6.1/kotlinx-coroutines-core-jvm-1.6.1.jar,1,0,0,0,0,0,0,1.6.2
68603,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.6.2,2022-05-28,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.6.2/kotlinx-coroutines-core-jvm-1.6.2.jar,1,0,0,0,0,0,0,1.6.3
68591,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.6.3,2022-06-20,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.6.3/kotlinx-coroutines-core-jvm-1.6.3.jar,1,0,0,0,0,0,0,1.6.4
68592,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.6.4,2022-07-13,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.6.4/kotlinx-coroutines-core-jvm-1.6.4.jar,1,0,0,0,0,0,0,1.7.0
68593,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.7.0,2023-05-05,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.7.0/kotlinx-coroutines-core-jvm-1.7.0.jar,1,0,0,0,0,0,0,1.7.1
68594,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.7.1,2023-05-12,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.7.1/kotlinx-coroutines-core-jvm-1.7.1.jar,1,0,0,0,0,0,0,1.7.2
68595,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.7.2,2023-06-29,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.7.2/kotlinx-coroutines-core-jvm-1.7.2.jar,1,0,0,0,0,0,0,1.7.3
68596,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.7.3,2023-07-25,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.7.3/kotlinx-coroutines-core-jvm-1.7.3.jar,1,0,0,0,0,0,0,1.8.0
68602,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.8.0,2024-02-15,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.8.0/kotlinx-coroutines-core-jvm-1.8.0.jar,1,0,0,0,0,0,0,1.8.1
68597,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.8.1,2024-05-10,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.8.1/kotlinx-coroutines-core-jvm-1.8.1.jar,1,0,0,0,0,0,0,1.9.0
68598,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm,1.9.0,2024-09-13,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core-jvm/1.9.0/kotlinx-coroutines-core-jvm-1.9.0.jar,1,0,0,0,0,0,0,1.10.0
