,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
99740,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.0,2018-11-15,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.0/kotlinx-coroutines-io-0.1.0.jar,,,,,,,,
99741,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.1,2018-12-04,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.1/kotlinx-coroutines-io-0.1.1.jar,,,,,,,,
99742,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.2,2018-12-24,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.2/kotlinx-coroutines-io-0.1.2.jar,,,,,,,,
99749,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.3,2018-12-25,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.3/kotlinx-coroutines-io-0.1.3.jar,,,,,,,,
99743,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.4,2019-01-24,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.4/kotlinx-coroutines-io-0.1.4.jar,,,,,,,,
99744,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.5,2019-02-12,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.5/kotlinx-coroutines-io-0.1.5.jar,,,,,,,,
99745,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.6,2019-02-20,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.6/kotlinx-coroutines-io-0.1.6.jar,,,,,,,,
99746,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.7,2019-03-06,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.7/kotlinx-coroutines-io-0.1.7.jar,,,,,,,,
99747,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.8,2019-04-13,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.8/kotlinx-coroutines-io-0.1.8.jar,,,,,,,,
99748,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.10,2019-06-19,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.10/kotlinx-coroutines-io-0.1.10.jar,,,,,,,,
99765,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.11,2019-07-09,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.11/kotlinx-coroutines-io-0.1.11.jar,,,,,,,,
99953,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.12,2019-07-23,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.12/kotlinx-coroutines-io-0.1.12.jar,,,,,,,,
99954,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.13,2019-07-25,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.13/kotlinx-coroutines-io-0.1.13.jar,,,,,,,,
99955,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.14,2019-09-02,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.14/kotlinx-coroutines-io-0.1.14.jar,,,,,,,,
100233,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.15,2019-09-25,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.15/kotlinx-coroutines-io-0.1.15.jar,,,,,,,,
100234,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.1.16,2019-11-20,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-io/0.1.16/kotlinx-coroutines-io-0.1.16.jar,,,,,,,,
71303,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.19,2017-09-29,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.19/kotlinx-coroutines-core-0.19.jar,,,,,,,,0.19.1
71304,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.19.1,2017-10-07,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.19.1/kotlinx-coroutines-core-0.19.1.jar,,,,,,,,0.19.2
71305,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.19.2,2017-10-21,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.19.2/kotlinx-coroutines-core-0.19.2.jar,,,,,,,,0.19.3
71306,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.19.3,2017-10-27,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.19.3/kotlinx-coroutines-core-0.19.3.jar,,,,,,,,0.20
71307,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.20,2017-12-04,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.20/kotlinx-coroutines-core-0.20.jar,,,,,,,,0.21
71317,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.21,2017-12-28,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.21/kotlinx-coroutines-core-0.21.jar,,,,,,,,0.21.1
71308,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.21.1,2018-01-13,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.21.1/kotlinx-coroutines-core-0.21.1.jar,,,,,,,,0.21.2
71309,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.21.2,2018-01-15,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.21.2/kotlinx-coroutines-core-0.21.2.jar,,,,,,,,0.22
71310,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.22,2018-01-24,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.22/kotlinx-coroutines-core-0.22.jar,,,,,,,,0.22.1
71311,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.22.1,2018-01-29,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.22.1/kotlinx-coroutines-core-0.22.1.jar,,,,,,,,0.22.2
71312,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.22.2,2018-02-07,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.22.2/kotlinx-coroutines-core-0.22.2.jar,,,,,,,,0.22.3
71313,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.22.3,2018-02-23,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.22.3/kotlinx-coroutines-core-0.22.3.jar,,,,,,,,0.22.4
71314,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.22.4,2018-03-05,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.22.4/kotlinx-coroutines-core-0.22.4.jar,,,,,,,,0.22.5
71315,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.22.5,2018-03-06,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.22.5/kotlinx-coroutines-core-0.22.5.jar,,,,,,,,0.23.0
71316,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.23.0,2018-06-08,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.23.0/kotlinx-coroutines-core-0.23.0.jar,,,,,,,,0.23.1
71277,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.23.1,2018-06-12,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.23.1/kotlinx-coroutines-core-0.23.1.jar,,,,,,,,0.23.3
71276,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.23.3,2018-06-15,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.23.3/kotlinx-coroutines-core-0.23.3.jar,,,,,,,,0.23.4
71275,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.23.4,2018-06-28,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.23.4/kotlinx-coroutines-core-0.23.4.jar,,,,,,,,0.24.0
71242,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.24.0,2018-07-26,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.24.0/kotlinx-coroutines-core-0.24.0.jar,,,,,,,,0.25.0
71243,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.25.0,2018-08-23,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.25.0/kotlinx-coroutines-core-0.25.0.jar,,,,,,,,0.25.3
71244,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.25.3,2018-09-04,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.25.3/kotlinx-coroutines-core-0.25.3.jar,,,,,,,,0.26.0
71245,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.26.0,2018-09-12,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.26.0/kotlinx-coroutines-core-0.26.0.jar,,,,,,,,0.26.1
71246,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.26.1,2018-09-19,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.26.1/kotlinx-coroutines-core-0.26.1.jar,,,,,,,,0.27.0
71252,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.27.0,2018-09-26,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.27.0/kotlinx-coroutines-core-0.27.0.jar,,,,,,,,0.30.0
71247,org.jetbrains.kotlinx.kotlinx-coroutines-core,0.30.0,2018-09-28,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/0.30.0/kotlinx-coroutines-core-0.30.0.jar,,,,,,,,0.30.1
