,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
15988,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.1.0,2021-04-26,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.1.0/kotlinx-datetime-jvm-0.1.0.jar,,,,,,,,0.1.1
15989,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.1.1,2021-03-09,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.1.1/kotlinx-datetime-jvm-0.1.1.jar,,,,,,,,0.2.0
15990,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.2.0,2021-04-27,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.2.0/kotlinx-datetime-jvm-0.2.0.jar,,,,,,,,0.2.1
15991,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.2.1,2021-05-26,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.2.1/kotlinx-datetime-jvm-0.2.1.jar,,,,,,,,0.3.0
15993,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.3.0,2021-09-27,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.3.0/kotlinx-datetime-jvm-0.3.0.jar,,,,,,,,0.3.1
16021,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.3.1,2021-10-27,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.3.1/kotlinx-datetime-jvm-0.3.1.jar,,,,,,,,0.3.2
16046,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.3.2,2022-01-12,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.3.2/kotlinx-datetime-jvm-0.3.2.jar,,,,,,,,0.3.3
16022,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.3.3,2022-05-05,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.3.3/kotlinx-datetime-jvm-0.3.3.jar,,,,,,,,0.4.0
16049,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.4.0,2022-06-24,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.4.0/kotlinx-datetime-jvm-0.4.0.jar,,,,,,,,0.4.1
16050,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.4.1,2023-09-01,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.4.1/kotlinx-datetime-jvm-0.4.1.jar,,,,,,,,0.5.0
16051,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.5.0,2023-12-01,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.5.0/kotlinx-datetime-jvm-0.5.0.jar,,,,,,,,0.6.0
16052,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.6.0,2024-05-14,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.6.0/kotlinx-datetime-jvm-0.6.0.jar,,,,,,,,0.6.1
16053,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.6.1,2024-08-20,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.6.1/kotlinx-datetime-jvm-0.6.1.jar,,,,,,,,0.6.2
16054,org.jetbrains.kotlinx.kotlinx-datetime-jvm,0.6.2,2025-02-10,https://repo1.maven.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime-jvm/0.6.2/kotlinx-datetime-jvm-0.6.2.jar,,,,,,,,
