,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
99818,org.jline.jline,0.9.0,2005-11-08,https://repo1.maven.org/maven2/jline/jline/0.9.0/jline-0.9.0.jar,,,,,,,,0.9.1
99811,org.jline.jline,0.9.1,2005-11-08,https://repo1.maven.org/maven2/jline/jline/0.9.1/jline-0.9.1.jar,,,,,,,,0.9.5
99809,org.jline.jline,0.9.5,2006-05-08,https://repo1.maven.org/maven2/jline/jline/0.9.5/jline-0.9.5.jar,,,,,,,,0.9.9
99808,org.jline.jline,0.9.9,2006-07-22,https://repo1.maven.org/maven2/jline/jline/0.9.9/jline-0.9.9.jar,,,,,,,,0.9.91
99807,org.jline.jline,0.9.91,2007-03-13,https://repo1.maven.org/maven2/jline/jline/0.9.91/jline-0.9.91.jar,,,,,,,,0.9.92
99806,org.jline.jline,0.9.92,2007-11-13,https://repo1.maven.org/maven2/jline/jline/0.9.92/jline-0.9.92.jar,,,,,,,,0.9.93
99805,org.jline.jline,0.9.93,2007-11-13,https://repo1.maven.org/maven2/jline/jline/0.9.93/jline-0.9.93.jar,,,,,,,,0.9.94
99804,org.jline.jline,0.9.94,2008-02-22,https://repo1.maven.org/maven2/jline/jline/0.9.94/jline-0.9.94.jar,,,,,,,,1.0
99810,org.jline.jline,1.0,2011-10-28,https://repo1.maven.org/maven2/jline/jline/1.0/jline-1.0.jar,,,,,,,,2.6
99819,org.jline.jline,2.6,2012-02-21,https://repo1.maven.org/maven2/jline/jline/2.6/jline-2.6.jar,,,,,,,,2.7
99820,org.jline.jline,2.7,2012-06-11,https://repo1.maven.org/maven2/jline/jline/2.7/jline-2.7.jar,,,,,,,,2.8
99821,org.jline.jline,2.8,2012-08-19,https://repo1.maven.org/maven2/jline/jline/2.8/jline-2.8.jar,,,,,,,,2.9
