,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
41491,org.joml.joml,1.4.0,2015-07-12,https://repo1.maven.org/maven2/org/joml/joml/1.4.0/joml-1.4.0.jar,1,,,,,,,1.5.0
41492,org.joml.joml,1.5.0,2015-08-08,https://repo1.maven.org/maven2/org/joml/joml/1.5.0/joml-1.5.0.jar,1,0,0,0,0,0,0,1.6.0
41493,org.joml.joml,1.6.0,2015-08-29,https://repo1.maven.org/maven2/org/joml/joml/1.6.0/joml-1.6.0.jar,1,0,0,0,0,0,0,1.6.5
41494,org.joml.joml,1.6.5,2015-09-27,https://repo1.maven.org/maven2/org/joml/joml/1.6.5/joml-1.6.5.jar,1,0,0,0,0,0,0,1.6.6
41495,org.joml.joml,1.6.6,2015-11-01,https://repo1.maven.org/maven2/org/joml/joml/1.6.6/joml-1.6.6.jar,1,0,0,0,0,0,0,1.6.7
41496,org.joml.joml,1.6.7,2016-01-02,https://repo1.maven.org/maven2/org/joml/joml/1.6.7/joml-1.6.7.jar,,0,0,0,0,0,0,1.6.8
41479,org.joml.joml,1.6.8,2016-01-16,https://repo1.maven.org/maven2/org/joml/joml/1.6.8/joml-1.6.8.jar,,,,,,,,1.7.0
41497,org.joml.joml,1.7.0,2016-02-08,https://repo1.maven.org/maven2/org/joml/joml/1.7.0/joml-1.7.0.jar,,,,,,,,1.7.1
41478,org.joml.joml,1.7.1,2016-02-27,https://repo1.maven.org/maven2/org/joml/joml/1.7.1/joml-1.7.1.jar,,,,,,,,1.8.0
41476,org.joml.joml,1.8.0,2016-06-03,https://repo1.maven.org/maven2/org/joml/joml/1.8.0/joml-1.8.0.jar,,,,,,,,1.8.1
41453,org.joml.joml,1.8.1,2016-07-01,https://repo1.maven.org/maven2/org/joml/joml/1.8.1/joml-1.8.1.jar,,,,,,,,1.8.2
41454,org.joml.joml,1.8.2,2016-07-31,https://repo1.maven.org/maven2/org/joml/joml/1.8.2/joml-1.8.2.jar,,,,,,,,1.8.3
41455,org.joml.joml,1.8.3,2016-09-13,https://repo1.maven.org/maven2/org/joml/joml/1.8.3/joml-1.8.3.jar,,,,,,,,1.8.4
41456,org.joml.joml,1.8.4,2016-09-24,https://repo1.maven.org/maven2/org/joml/joml/1.8.4/joml-1.8.4.jar,,,,,,,,1.8.5
41457,org.joml.joml,1.8.5,2016-10-13,https://repo1.maven.org/maven2/org/joml/joml/1.8.5/joml-1.8.5.jar,,,,,,,,1.8.6
41458,org.joml.joml,1.8.6,2016-10-18,https://repo1.maven.org/maven2/org/joml/joml/1.8.6/joml-1.8.6.jar,,,,,,,,1.9.0
41459,org.joml.joml,1.9.0,2016-10-31,https://repo1.maven.org/maven2/org/joml/joml/1.9.0/joml-1.9.0.jar,,,,,,,,1.9.1
41460,org.joml.joml,1.9.1,2017-01-01,https://repo1.maven.org/maven2/org/joml/joml/1.9.1/joml-1.9.1.jar,,,,,,,,1.9.2
41461,org.joml.joml,1.9.2,2017-01-24,https://repo1.maven.org/maven2/org/joml/joml/1.9.2/joml-1.9.2.jar,,,,,,,,1.9.3
41462,org.joml.joml,1.9.3,2017-04-27,https://repo1.maven.org/maven2/org/joml/joml/1.9.3/joml-1.9.3.jar,,,,,,,,1.9.4
41463,org.joml.joml,1.9.4,2017-07-22,https://repo1.maven.org/maven2/org/joml/joml/1.9.4/joml-1.9.4.jar,,,,,,,,1.9.5
41464,org.joml.joml,1.9.5,2017-10-31,https://repo1.maven.org/maven2/org/joml/joml/1.9.5/joml-1.9.5.jar,,,,,,,,1.9.6
41465,org.joml.joml,1.9.6,2017-10-31,https://repo1.maven.org/maven2/org/joml/joml/1.9.6/joml-1.9.6.jar,,,,,,,,1.9.7
41466,org.joml.joml,1.9.7,2017-12-30,https://repo1.maven.org/maven2/org/joml/joml/1.9.7/joml-1.9.7.jar,,,,,,,,1.9.8
41467,org.joml.joml,1.9.8,2018-01-28,https://repo1.maven.org/maven2/org/joml/joml/1.9.8/joml-1.9.8.jar,,,,,,,,1.9.9
41468,org.joml.joml,1.9.9,2018-03-20,https://repo1.maven.org/maven2/org/joml/joml/1.9.9/joml-1.9.9.jar,,,,,,,,1.9.10
