,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
81236,org.jooq.jooq-codegen,1.5.7,2011-04-17,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.5.7/jooq-codegen-1.5.7.jar,,,,,,,,1.5.7.1
81237,org.jooq.jooq-codegen,1.5.7.1,2011-04-19,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.5.7.1/jooq-codegen-1.5.7.1.jar,,,,,,,,1.5.8
81238,org.jooq.jooq-codegen,1.5.8,2011-04-29,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.5.8/jooq-codegen-1.5.8.jar,,,,,,,,1.5.9
81239,org.jooq.jooq-codegen,1.5.9,2011-05-15,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.5.9/jooq-codegen-1.5.9.jar,,,,,,,,1.6.0
81240,org.jooq.jooq-codegen,1.6.0,2011-06-05,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.0/jooq-codegen-1.6.0.jar,,,,,,,,1.6.1
81241,org.jooq.jooq-codegen,1.6.1,2011-06-19,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.1/jooq-codegen-1.6.1.jar,,,,,,,,1.6.2
81242,org.jooq.jooq-codegen,1.6.2,2011-07-10,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.2/jooq-codegen-1.6.2.jar,,,,,,,,1.6.3
81243,org.jooq.jooq-codegen,1.6.3,2011-07-24,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.3/jooq-codegen-1.6.3.jar,,,,,,,,1.6.4
81244,org.jooq.jooq-codegen,1.6.4,2011-08-07,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.4/jooq-codegen-1.6.4.jar,,,,,,,,1.6.5
81245,org.jooq.jooq-codegen,1.6.5,2011-08-28,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.5/jooq-codegen-1.6.5.jar,,,,,,,,1.6.6
81246,org.jooq.jooq-codegen,1.6.6,2011-09-12,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.6/jooq-codegen-1.6.6.jar,,,,,,,,1.6.7
81247,org.jooq.jooq-codegen,1.6.7,2011-09-25,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.7/jooq-codegen-1.6.7.jar,,,,,,,,1.6.8
81248,org.jooq.jooq-codegen,1.6.8,2011-10-22,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.8/jooq-codegen-1.6.8.jar,,,,,,,,1.6.9
81056,org.jooq.jooq-codegen,1.6.9,2011-11-07,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.6.9/jooq-codegen-1.6.9.jar,,,,,,,,1.7.0
81189,org.jooq.jooq-codegen,1.7.0,2011-11-25,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/1.7.0/jooq-codegen-1.7.0.jar,,,,,,,,2.0.0
81055,org.jooq.jooq-codegen,2.0.0,2011-11-27,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.0.0/jooq-codegen-2.0.0.jar,,,,,,,,2.0.1
80891,org.jooq.jooq-codegen,2.0.1,2011-12-23,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.0.1/jooq-codegen-2.0.1.jar,,,,,,,,2.0.2
80825,org.jooq.jooq-codegen,2.0.2,2012-01-08,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.0.2/jooq-codegen-2.0.2.jar,,,,,,,,2.0.3
80826,org.jooq.jooq-codegen,2.0.3,2012-01-29,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.0.3/jooq-codegen-2.0.3.jar,,,,,,,,2.0.4
80827,org.jooq.jooq-codegen,2.0.4,2012-02-12,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.0.4/jooq-codegen-2.0.4.jar,,,,,,,,2.0.5
80828,org.jooq.jooq-codegen,2.0.5,2012-02-26,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.0.5/jooq-codegen-2.0.5.jar,,,,,,,,2.0.6
80829,org.jooq.jooq-codegen,2.0.6,2012-04-22,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.0.6/jooq-codegen-2.0.6.jar,,,,,,,,2.1.0
80830,org.jooq.jooq-codegen,2.1.0,2012-03-18,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.1.0/jooq-codegen-2.1.0.jar,,,,,,,,2.1.1
80831,org.jooq.jooq-codegen,2.1.1,2012-04-22,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.1.1/jooq-codegen-2.1.1.jar,,,,,,,,2.2.0
80832,org.jooq.jooq-codegen,2.2.0,2012-04-09,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.2.0/jooq-codegen-2.2.0.jar,,,,,,,,2.2.1
80833,org.jooq.jooq-codegen,2.2.1,2012-04-12,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.2.1/jooq-codegen-2.2.1.jar,,,,,,,,2.2.2
80834,org.jooq.jooq-codegen,2.2.2,2012-04-22,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.2.2/jooq-codegen-2.2.2.jar,,,,,,,,2.2.3
80835,org.jooq.jooq-codegen,2.2.3,2012-07-01,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.2.3/jooq-codegen-2.2.3.jar,,,,,,,,2.3.0
80836,org.jooq.jooq-codegen,2.3.0,2012-05-06,https://repo1.maven.org/maven2/org/jooq/jooq-codegen/2.3.0/jooq-codegen-2.3.0.jar,,,,,,,,2.3.1
