,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
27699,org.jooq.jooq,1.5.7,2011-04-17,https://repo1.maven.org/maven2/org/jooq/jooq/1.5.7/jooq-1.5.7.jar,172,,,,,,,1.5.8
27700,org.jooq.jooq,1.5.8,2011-04-29,https://repo1.maven.org/maven2/org/jooq/jooq/1.5.8/jooq-1.5.8.jar,185,0,0,0,0,59,7,1.5.9
27701,org.jooq.jooq,1.5.9,2011-05-15,https://repo1.maven.org/maven2/org/jooq/jooq/1.5.9/jooq-1.5.9.jar,216,0,0,0,0,65,0,1.6.0
27702,org.jooq.jooq,1.6.0,2011-06-05,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.0/jooq-1.6.0.jar,223,0,0,4,0,32,52,1.6.1
27703,org.jooq.jooq,1.6.1,2011-06-19,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.1/jooq-1.6.1.jar,269,0,0,0,2,253,25,1.6.2
27704,org.jooq.jooq,1.6.2,2011-07-10,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.2/jooq-1.6.2.jar,275,0,0,0,0,59,38,1.6.3
27705,org.jooq.jooq,1.6.3,2011-07-24,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.3/jooq-1.6.3.jar,276,0,0,0,0,7,0,1.6.4
27706,org.jooq.jooq,1.6.4,2011-08-07,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.4/jooq-1.6.4.jar,283,0,0,0,0,14,0,1.6.5
27707,org.jooq.jooq,1.6.5,2011-08-28,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.5/jooq-1.6.5.jar,283,0,0,0,0,0,0,1.6.6
27708,org.jooq.jooq,1.6.6,2011-09-12,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.6/jooq-1.6.6.jar,287,0,0,0,0,9,0,1.6.7
27709,org.jooq.jooq,1.6.7,2011-09-25,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.7/jooq-1.6.7.jar,287,0,0,0,0,0,0,1.6.8
27710,org.jooq.jooq,1.6.8,2011-10-22,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.8/jooq-1.6.8.jar,286,0,0,0,0,20,28,1.6.9
27711,org.jooq.jooq,1.6.9,2011-11-07,https://repo1.maven.org/maven2/org/jooq/jooq/1.6.9/jooq-1.6.9.jar,286,0,0,0,0,0,0,1.7.0
27712,org.jooq.jooq,1.7.0,2011-11-25,https://repo1.maven.org/maven2/org/jooq/jooq/1.7.0/jooq-1.7.0.jar,286,0,0,0,0,0,0,2.0.0
27713,org.jooq.jooq,2.0.0,2011-11-27,https://repo1.maven.org/maven2/org/jooq/jooq/2.0.0/jooq-2.0.0.jar,293,0,0,0,0,85,32,2.0.1
27714,org.jooq.jooq,2.0.1,2011-12-23,https://repo1.maven.org/maven2/org/jooq/jooq/2.0.1/jooq-2.0.1.jar,305,0,0,4,0,24,6,2.0.2
