,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
29260,org.jooq.joor,0.9.0,2011-12-29,https://repo1.maven.org/maven2/org/jooq/joor/0.9.0/joor-0.9.0.jar,,,,,,,,0.9.1
29261,org.jooq.joor,0.9.1,2012-01-17,https://repo1.maven.org/maven2/org/jooq/joor/0.9.1/joor-0.9.1.jar,,,,,,,,0.9.2
29262,org.jooq.joor,0.9.2,2012-03-23,https://repo1.maven.org/maven2/org/jooq/joor/0.9.2/joor-0.9.2.jar,,,,,,,,0.9.3
29263,org.jooq.joor,0.9.3,2012-04-29,https://repo1.maven.org/maven2/org/jooq/joor/0.9.3/joor-0.9.3.jar,,,,,,,,0.9.4
29264,org.jooq.joor,0.9.4,2014-06-25,https://repo1.maven.org/maven2/org/jooq/joor/0.9.4/joor-0.9.4.jar,,,,,,,,0.9.5
29265,org.jooq.joor,0.9.5,2015-03-05,https://repo1.maven.org/maven2/org/jooq/joor/0.9.5/joor-0.9.5.jar,,,,,,,,0.9.6
29266,org.jooq.joor,0.9.6,2016-07-06,https://repo1.maven.org/maven2/org/jooq/joor/0.9.6/joor-0.9.6.jar,,,,,,,,0.9.7
29267,org.jooq.joor,0.9.7,2017-11-30,https://repo1.maven.org/maven2/org/jooq/joor/0.9.7/joor-0.9.7.jar,,,,,,,,0.9.8
29268,org.jooq.joor,0.9.8,2018-04-04,https://repo1.maven.org/maven2/org/jooq/joor/0.9.8/joor-0.9.8.jar,,,,,,,,0.9.9
29269,org.jooq.joor,0.9.9,2018-06-12,https://repo1.maven.org/maven2/org/jooq/joor/0.9.9/joor-0.9.9.jar,,,,,,,,0.9.10
29270,org.jooq.joor,0.9.10,2018-12-04,https://repo1.maven.org/maven2/org/jooq/joor/0.9.10/joor-0.9.10.jar,,,,,,,,0.9.11
29271,org.jooq.joor,0.9.11,2019-04-04,https://repo1.maven.org/maven2/org/jooq/joor/0.9.11/joor-0.9.11.jar,,,,,,,,0.9.12
29272,org.jooq.joor,0.9.12,2019-07-08,https://repo1.maven.org/maven2/org/jooq/joor/0.9.12/joor-0.9.12.jar,,,,,,,,0.9.13
29273,org.jooq.joor,0.9.13,2020-04-21,https://repo1.maven.org/maven2/org/jooq/joor/0.9.13/joor-0.9.13.jar,,,,,,,,0.9.14
29274,org.jooq.joor,0.9.14,2021-04-08,https://repo1.maven.org/maven2/org/jooq/joor/0.9.14/joor-0.9.14.jar,,,,,,,,0.9.15
29275,org.jooq.joor,0.9.15,2023-08-24,https://repo1.maven.org/maven2/org/jooq/joor/0.9.15/joor-0.9.15.jar,,,,,,,,
