,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
5787,org.jruby.jruby,0.8.3,2006-05-26,https://repo1.maven.org/maven2/org/jruby/jruby/0.8.3/jruby-0.8.3.jar,100,,,,,,,0.9.1
5788,org.jruby.jruby,0.9.1,2006-10-22,https://repo1.maven.org/maven2/org/jruby/jruby/0.9.1/jruby-0.9.1.jar,101,1,0,0,0,0,0,0.9.2
5789,org.jruby.jruby,0.9.2,2006-12-30,https://repo1.maven.org/maven2/org/jruby/jruby/0.9.2/jruby-0.9.2.jar,106,0,0,0,0,6,1,0.9.8
5790,org.jruby.jruby,0.9.8,2008-01-27,https://repo1.maven.org/maven2/org/jruby/jruby/0.9.8/jruby-0.9.8.jar,112,0,0,0,0,7,1,0.9.9
5792,org.jruby.jruby,0.9.9,2007-04-24,https://repo1.maven.org/maven2/org/jruby/jruby/0.9.9/jruby-0.9.9.jar,115,0,0,0,0,3,0,1.0
5804,org.jruby.jruby,1.0,2007-06-11,https://repo1.maven.org/maven2/org/jruby/jruby/1.0/jruby-1.0.jar,115,0,0,0,0,0,0,1.0.1
5830,org.jruby.jruby,1.0.1,2007-08-24,https://repo1.maven.org/maven2/org/jruby/jruby/1.0.1/jruby-1.0.1.jar,115,0,0,0,0,1,1,1.0.2
5805,org.jruby.jruby,1.0.2,2007-11-03,https://repo1.maven.org/maven2/org/jruby/jruby/1.0.2/jruby-1.0.2.jar,13,0,1,0,101,0,0,1.0.3
5833,org.jruby.jruby,1.0.3,2007-12-15,https://repo1.maven.org/maven2/org/jruby/jruby/1.0.3/jruby-1.0.3.jar,13,0,0,0,0,0,0,1.1
5834,org.jruby.jruby,1.1,2008-04-06,https://repo1.maven.org/maven2/org/jruby/jruby/1.1/jruby-1.1.jar,176,1,1,73,0,103,3,1.1.1
5835,org.jruby.jruby,1.1.1,2008-04-23,https://repo1.maven.org/maven2/org/jruby/jruby/1.1.1/jruby-1.1.1.jar,176,0,0,0,0,0,0,1.1.2
5836,org.jruby.jruby,1.1.2,2008-05-28,https://repo1.maven.org/maven2/org/jruby/jruby/1.1.2/jruby-1.1.2.jar,179,0,0,0,0,3,0,1.1.3
