,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
104490,org.json.json,0.7.1,2006-08-14,https://repo1.maven.org/maven2/net/sf/json-lib/json-lib/0.7.1/json-lib-0.7.1.jar,3,,,,,,,0.8
104489,org.json.json,0.8,2006-08-30,https://repo1.maven.org/maven2/net/sf/json-lib/json-lib/0.8/json-lib-0.8.jar,3,0,0,0,0,0,0,0.9
104488,org.json.json,0.9,2006-10-19,https://repo1.maven.org/maven2/net/sf/json-lib/json-lib/0.9/json-lib-0.9.jar,3,0,0,0,0,2,2,2.2.3
104487,org.json.json,2.2.3,2008-12-09,https://repository.mulesoft.org/nexus/content/repositories/public/net/sf/json-lib/json-lib/2.2.3/json-lib-2.2.3.jar,,0,0,0,0,0,2,20070829
53673,org.json.json,20070829,2007-11-12,https://repo1.maven.org/maven2/org/json/json/20070829/json-20070829.jar,,,,,,,,20080701
53674,org.json.json,20080701,2008-07-20,https://repo1.maven.org/maven2/org/json/json/20080701/json-20080701.jar,,,,,,,,20090211
53675,org.json.json,20090211,2009-02-26,https://repo1.maven.org/maven2/org/json/json/20090211/json-20090211.jar,,,,,,,,20131018
53676,org.json.json,20131018,2013-10-18,https://repo1.maven.org/maven2/org/json/json/20131018/json-20131018.jar,,,,,,,,20140107
53677,org.json.json,20140107,2014-01-07,https://repo1.maven.org/maven2/org/json/json/20140107/json-20140107.jar,,,,,,,,20141113
53678,org.json.json,20141113,2014-11-13,https://repo1.maven.org/maven2/org/json/json/20141113/json-20141113.jar,,,,,,,,20150729
55636,org.json.json,20150729,2015-09-27,https://repo1.maven.org/maven2/org/json/json/20150729/json-20150729.jar,,,,,,,,20151123
61081,org.json.json,20151123,2015-11-24,https://repo1.maven.org/maven2/org/json/json/20151123/json-20151123.jar,,,,,,,,20160212
61082,org.json.json,20160212,2016-02-14,https://repo1.maven.org/maven2/org/json/json/20160212/json-20160212.jar,,,,,,,,20160807
61083,org.json.json,20160807,2016-08-07,https://repo1.maven.org/maven2/org/json/json/20160807/json-20160807.jar,,,,,,,,20160810
68938,org.json.json,20160810,2016-08-10,https://repo1.maven.org/maven2/org/json/json/20160810/json-20160810.jar,,,,,,,,20170516
68939,org.json.json,20170516,2017-05-16,https://repo1.maven.org/maven2/org/json/json/20170516/json-20170516.jar,,,,,,,,20171018
68940,org.json.json,20171018,2017-10-19,https://repo1.maven.org/maven2/org/json/json/20171018/json-20171018.jar,,,,,,,,20180130
68941,org.json.json,20180130,2018-02-03,https://repo1.maven.org/maven2/org/json/json/20180130/json-20180130.jar,,,,,,,,20180813
68942,org.json.json,20180813,2018-08-14,https://repo1.maven.org/maven2/org/json/json/20180813/json-20180813.jar,,,,,,,,20190722
68943,org.json.json,20190722,2019-08-07,https://repo1.maven.org/maven2/org/json/json/20190722/json-20190722.jar,,,,,,,,20200518
68944,org.json.json,20200518,2020-05-22,https://repo1.maven.org/maven2/org/json/json/20200518/json-20200518.jar,,,,,,,,20201115
68945,org.json.json,20201115,2020-11-15,https://repo1.maven.org/maven2/org/json/json/20201115/json-20201115.jar,,,,,,,,20210307
68946,org.json.json,20210307,2021-03-09,https://repo1.maven.org/maven2/org/json/json/20210307/json-20210307.jar,,,,,,,,20211205
68947,org.json.json,20211205,2021-12-05,https://repo1.maven.org/maven2/org/json/json/20211205/json-20211205.jar,,,,,,,,20220320
68948,org.json.json,20220320,2022-03-20,https://repo1.maven.org/maven2/org/json/json/20220320/json-20220320.jar,,,,,,,,20220924
68949,org.json.json,20220924,2022-09-24,https://repo1.maven.org/maven2/org/json/json/20220924/json-20220924.jar,,,,,,,,20230227
68950,org.json.json,20230227,2023-02-27,https://repo1.maven.org/maven2/org/json/json/20230227/json-20230227.jar,,,,,,,,20230618
68951,org.json.json,20230618,2023-06-18,https://repo1.maven.org/maven2/org/json/json/20230618/json-20230618.jar,,,,,,,,20231013
68952,org.json.json,20231013,2023-10-14,https://repo1.maven.org/maven2/org/json/json/20231013/json-20231013.jar,,,,,,,,20240205
68953,org.json.json,20240205,2024-02-06,https://repo1.maven.org/maven2/org/json/json/20240205/json-20240205.jar,,,,,,,,20240303
68954,org.json.json,20240303,2024-03-03,https://repo1.maven.org/maven2/org/json/json/20240303/json-20240303.jar,,,,,,,,20241224
68955,org.json.json,20241224,2025-01-01,https://repo1.maven.org/maven2/org/json/json/20241224/json-20241224.jar,,,,,,,,20250107
68956,org.json.json,20250107,2025-01-08,https://repo1.maven.org/maven2/org/json/json/20250107/json-20250107.jar,,,,,,,,
