,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
1466,org.json4s.json4s-native,3.0.0,2012-10-11,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.9.2/3.0.0/json4s-native_2.9.2-3.0.0.jar,,,,,,,,3.1.0
1467,org.json4s.json4s-native,3.1.0,2012-12-29,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.1.0/json4s-native_2.10-3.1.0.jar,,,,,,,,3.2.0
1468,org.json4s.json4s-native,3.2.0,2013-03-19,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.0/json4s-native_2.10-3.2.0.jar,,,,,,,,3.2.1
1469,org.json4s.json4s-native,3.2.1,2013-03-22,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.1/json4s-native_2.10-3.2.1.jar,,,,,,,,3.2.2
1470,org.json4s.json4s-native,3.2.2,2013-03-26,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.2/json4s-native_2.10-3.2.2.jar,,,,,,,,3.2.3
1471,org.json4s.json4s-native,3.2.3,2013-03-27,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.3/json4s-native_2.10-3.2.3.jar,,,,,,,,3.2.4
1472,org.json4s.json4s-native,3.2.4,2013-04-04,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.4/json4s-native_2.10-3.2.4.jar,,,,,,,,3.2.5
1473,org.json4s.json4s-native,3.2.5,2013-07-31,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.5/json4s-native_2.10-3.2.5.jar,,,,,,,,3.2.6
1474,org.json4s.json4s-native,3.2.6,2013-12-01,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.6/json4s-native_2.10-3.2.6.jar,,,,,,,,3.2.7
1475,org.json4s.json4s-native,3.2.7,2014-02-17,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.7/json4s-native_2.10-3.2.7.jar,,,,,,,,3.2.8
1477,org.json4s.json4s-native,3.2.8,2014-03-25,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.10/3.2.8/json4s-native_2.10-3.2.8.jar,,,,,,,,3.2.9
1504,org.json4s.json4s-native,3.2.9,2014-04-22,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.11/3.2.9/json4s-native_2.11-3.2.9.jar,,,,,,,,3.2.10
1514,org.json4s.json4s-native,3.2.10,2014-05-13,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.11/3.2.10/json4s-native_2.11-3.2.10.jar,,,,,,,,3.2.11
1505,org.json4s.json4s-native,3.2.11,2017-07-29,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.2.11/json4s-native_2.12-3.2.11.jar,,,,,,,,3.3.0
1517,org.json4s.json4s-native,3.3.0,2015-10-03,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.11/3.3.0/json4s-native_2.11-3.3.0.jar,,,,,,,,3.4.0
1518,org.json4s.json4s-native,3.4.0,2016-06-18,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.11/3.4.0/json4s-native_2.11-3.4.0.jar,,,,,,,,3.4.1
1519,org.json4s.json4s-native,3.4.1,2016-09-22,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.11/3.4.1/json4s-native_2.11-3.4.1.jar,,,,,,,,3.4.2
1520,org.json4s.json4s-native,3.4.2,2016-11-02,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.4.2/json4s-native_2.12-3.4.2.jar,,,,,,,,3.5.0
1521,org.json4s.json4s-native,3.5.0,2016-11-04,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.5.0/json4s-native_2.12-3.5.0.jar,,,,,,,,3.5.1
1522,org.json4s.json4s-native,3.5.1,2017-03-18,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.5.1/json4s-native_2.12-3.5.1.jar,,,,,,,,3.5.2
1523,org.json4s.json4s-native,3.5.2,2017-05-04,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.5.2/json4s-native_2.12-3.5.2.jar,,,,,,,,3.5.3
1524,org.json4s.json4s-native,3.5.3,2017-07-29,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.5.3/json4s-native_2.12-3.5.3.jar,,,,,,,,3.5.4
1525,org.json4s.json4s-native,3.5.4,2018-05-19,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.5.4/json4s-native_2.12-3.5.4.jar,,,,,,,,3.5.5
1526,org.json4s.json4s-native,3.5.5,2019-06-08,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/3.5.5/json4s-native_2.13-3.5.5.jar,,,,,,,,3.6.0
1527,org.json4s.json4s-native,3.6.0,2018-07-25,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.6.0/json4s-native_2.12-3.6.0.jar,,,,,,,,3.6.1
1528,org.json4s.json4s-native,3.6.1,2018-09-04,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.6.1/json4s-native_2.12-3.6.1.jar,,,,,,,,3.6.2
1529,org.json4s.json4s-native,3.6.2,2018-11-01,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.6.2/json4s-native_2.12-3.6.2.jar,,,,,,,,3.6.3
1530,org.json4s.json4s-native,3.6.3,2018-12-26,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.6.3/json4s-native_2.12-3.6.3.jar,,,,,,,,3.6.4
1531,org.json4s.json4s-native,3.6.4,2019-01-26,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.6.4/json4s-native_2.12-3.6.4.jar,,,,,,,,3.6.5
1532,org.json4s.json4s-native,3.6.5,2019-02-22,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.12/3.6.5/json4s-native_2.12-3.6.5.jar,,,,,,,,3.6.6
1533,org.json4s.json4s-native,3.6.6,2019-06-08,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/3.6.6/json4s-native_2.13-3.6.6.jar,34,,,,,,,3.6.7
1534,org.json4s.json4s-native,3.6.7,2019-06-27,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/3.6.7/json4s-native_2.13-3.6.7.jar,34,0,0,0,0,0,0,3.6.8
1535,org.json4s.json4s-native,3.6.8,2020-05-05,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/3.6.8/json4s-native_2.13-3.6.8.jar,34,0,0,0,0,0,0,3.6.9
1516,org.json4s.json4s-native,3.6.9,2020-06-15,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/3.6.9/json4s-native_2.13-3.6.9.jar,34,0,0,0,0,0,0,3.6.10
1536,org.json4s.json4s-native,3.6.10,2020-09-29,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/3.6.10/json4s-native_2.13-3.6.10.jar,34,0,0,0,0,0,0,3.6.11
1515,org.json4s.json4s-native,3.6.11,2021-03-02,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/3.6.11/json4s-native_2.13-3.6.11.jar,34,0,0,0,0,0,0,3.6.12
1513,org.json4s.json4s-native,3.6.12,2021-11-05,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/3.6.12/json4s-native_2.13-3.6.12.jar,,0,0,0,0,0,0,4.0.0
1506,org.json4s.json4s-native,4.0.0,2021-05-26,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/4.0.0/json4s-native_2.13-4.0.0.jar,,,,,,,,4.0.1
1507,org.json4s.json4s-native,4.0.1,2021-06-29,https://repo1.maven.org/maven2/org/json4s/json4s-native_2.13/4.0.1/json4s-native_2.13-4.0.1.jar,,,,,,,,4.0.2
