,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
77121,org.jsoup.jsoup,0.2.2,2010-02-07,https://repo1.maven.org/maven2/org/jsoup/jsoup/0.2.2/jsoup-0.2.2.jar,,,,,,,,0.3.1
77120,org.jsoup.jsoup,0.3.1,2010-02-20,https://repo1.maven.org/maven2/org/jsoup/jsoup/0.3.1/jsoup-0.3.1.jar,,,,,,,,1.1.1
77119,org.jsoup.jsoup,1.1.1,2010-06-08,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.1.1/jsoup-1.1.1.jar,,,,,,,,1.2.1
77118,org.jsoup.jsoup,1.2.1,2010-06-21,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.2.1/jsoup-1.2.1.jar,,,,,,,,1.2.2
77117,org.jsoup.jsoup,1.2.2,2010-07-11,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.2.2/jsoup-1.2.2.jar,,,,,,,,1.2.3
77116,org.jsoup.jsoup,1.2.3,2010-08-04,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.2.3/jsoup-1.2.3.jar,,,,,,,,1.3.1
77123,org.jsoup.jsoup,1.3.1,2010-08-23,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.3.1/jsoup-1.3.1.jar,,,,,,,,1.3.2
77133,org.jsoup.jsoup,1.3.2,2010-08-30,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.3.2/jsoup-1.3.2.jar,,,,,,,,1.3.3
77134,org.jsoup.jsoup,1.3.3,2010-09-19,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.3.3/jsoup-1.3.3.jar,,,,,,,,1.4.1
77135,org.jsoup.jsoup,1.4.1,2010-11-23,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.4.1/jsoup-1.4.1.jar,,,,,,,,1.5.1
77154,org.jsoup.jsoup,1.5.1,2011-02-19,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.5.1/jsoup-1.5.1.jar,,,,,,,,1.5.2
77153,org.jsoup.jsoup,1.5.2,2011-02-27,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.5.2/jsoup-1.5.2.jar,,,,,,,,1.6.0
77152,org.jsoup.jsoup,1.6.0,2011-06-13,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.6.0/jsoup-1.6.0.jar,,,,,,,,1.6.1
77151,org.jsoup.jsoup,1.6.1,2011-07-02,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.6.1/jsoup-1.6.1.jar,,,,,,,,1.6.2
77150,org.jsoup.jsoup,1.6.2,2012-03-28,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.6.2/jsoup-1.6.2.jar,,,,,,,,1.6.3
77149,org.jsoup.jsoup,1.6.3,2012-05-28,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.6.3/jsoup-1.6.3.jar,,,,,,,,1.7.1
77148,org.jsoup.jsoup,1.7.1,2012-09-24,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.7.1/jsoup-1.7.1.jar,,,,,,,,1.7.2
77147,org.jsoup.jsoup,1.7.2,2013-01-28,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.7.2/jsoup-1.7.2.jar,,,,,,,,1.7.3
77146,org.jsoup.jsoup,1.7.3,2013-11-11,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.7.3/jsoup-1.7.3.jar,,,,,,,,1.8.1
77145,org.jsoup.jsoup,1.8.1,2014-09-28,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.8.1/jsoup-1.8.1.jar,,,,,,,,1.8.2
77144,org.jsoup.jsoup,1.8.2,2015-04-14,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.8.2/jsoup-1.8.2.jar,,,,,,,,1.8.3
77143,org.jsoup.jsoup,1.8.3,2015-08-02,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.8.3/jsoup-1.8.3.jar,,,,,,,,1.9.1
77142,org.jsoup.jsoup,1.9.1,2016-04-17,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.9.1/jsoup-1.9.1.jar,,,,,,,,1.9.2
77141,org.jsoup.jsoup,1.9.2,2016-05-18,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.9.2/jsoup-1.9.2.jar,,,,,,,,1.10.1
77140,org.jsoup.jsoup,1.10.1,2016-10-23,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.10.1/jsoup-1.10.1.jar,,,,,,,,1.10.2
77139,org.jsoup.jsoup,1.10.2,2017-01-02,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.10.2/jsoup-1.10.2.jar,,,,,,,,1.10.3
77138,org.jsoup.jsoup,1.10.3,2017-06-11,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.10.3/jsoup-1.10.3.jar,,,,,,,,1.11.1
77137,org.jsoup.jsoup,1.11.1,2017-11-04,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.11.1/jsoup-1.11.1.jar,,,,,,,,1.11.2
77136,org.jsoup.jsoup,1.11.2,2017-11-20,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.11.2/jsoup-1.11.2.jar,,,,,,,,1.11.3
77179,org.jsoup.jsoup,1.11.3,2018-04-15,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.11.3/jsoup-1.11.3.jar,,,,,,,,1.12.1
77199,org.jsoup.jsoup,1.12.1,2019-05-13,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.12.1/jsoup-1.12.1.jar,,,,,,,,1.12.2
77200,org.jsoup.jsoup,1.12.2,2020-02-09,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.12.2/jsoup-1.12.2.jar,,,,,,,,1.13.1
77201,org.jsoup.jsoup,1.13.1,2020-03-01,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.13.1/jsoup-1.13.1.jar,,,,,,,,1.14.1
77251,org.jsoup.jsoup,1.14.1,2021-07-10,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.14.1/jsoup-1.14.1.jar,,,,,,,,1.14.2
77250,org.jsoup.jsoup,1.14.2,2021-08-15,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.14.2/jsoup-1.14.2.jar,,,,,,,,1.14.3
77249,org.jsoup.jsoup,1.14.3,2021-09-30,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.14.3/jsoup-1.14.3.jar,,,,,,,,1.15.1
77248,org.jsoup.jsoup,1.15.1,2022-05-15,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.15.1/jsoup-1.15.1.jar,,,,,,,,1.15.2
77247,org.jsoup.jsoup,1.15.2,2022-07-04,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.15.2/jsoup-1.15.2.jar,,,,,,,,1.15.3
77246,org.jsoup.jsoup,1.15.3,2022-08-24,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.15.3/jsoup-1.15.3.jar,,,,,,,,1.15.4
77245,org.jsoup.jsoup,1.15.4,2023-02-18,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.15.4/jsoup-1.15.4.jar,,,,,,,,1.16.1
77244,org.jsoup.jsoup,1.16.1,2023-04-29,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.16.1/jsoup-1.16.1.jar,,,,,,,,1.16.2
77243,org.jsoup.jsoup,1.16.2,2023-10-20,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.16.2/jsoup-1.16.2.jar,,,,,,,,1.17.1
77242,org.jsoup.jsoup,1.17.1,2023-11-27,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.17.1/jsoup-1.17.1.jar,,,,,,,,1.17.2
77241,org.jsoup.jsoup,1.17.2,2023-12-29,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.17.2/jsoup-1.17.2.jar,,,,,,,,1.18.1
77240,org.jsoup.jsoup,1.18.1,2024-07-10,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.18.1/jsoup-1.18.1.jar,,,,,,,,1.18.2
77239,org.jsoup.jsoup,1.18.2,2024-11-27,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.18.2/jsoup-1.18.2.jar,,,,,,,,1.18.3
77238,org.jsoup.jsoup,1.18.3,2024-12-01,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.18.3/jsoup-1.18.3.jar,,,,,,,,
