,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
50230,org.kohsuke.access-modifier-annotation,1.0,2010-05-20,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.0/access-modifier-annotation-1.0.jar,,,,,,,,1.3
50231,org.kohsuke.access-modifier-annotation,1.3,2012-08-27,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.3/access-modifier-annotation-1.3.jar,,,,,,,,1.4
50232,org.kohsuke.access-modifier-annotation,1.4,2013-02-14,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.4/access-modifier-annotation-1.4.jar,,,,,,,,1.7
50233,org.kohsuke.access-modifier-annotation,1.7,2015-03-23,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.7/access-modifier-annotation-1.7.jar,,,,,,,,1.8
50234,org.kohsuke.access-modifier-annotation,1.8,2017-05-04,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.8/access-modifier-annotation-1.8.jar,,,,,,,,1.11
50235,org.kohsuke.access-modifier-annotation,1.11,2017-05-04,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.11/access-modifier-annotation-1.11.jar,,,,,,,,1.12
50236,org.kohsuke.access-modifier-annotation,1.12,2017-05-31,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.12/access-modifier-annotation-1.12.jar,,,,,,,,1.13
50237,org.kohsuke.access-modifier-annotation,1.13,2018-03-09,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.13/access-modifier-annotation-1.13.jar,,,,,,,,1.14
50238,org.kohsuke.access-modifier-annotation,1.14,2018-04-03,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.14/access-modifier-annotation-1.14.jar,,,,,,,,1.15
50247,org.kohsuke.access-modifier-annotation,1.15,2018-06-08,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.15/access-modifier-annotation-1.15.jar,,,,,,,,1.16
50239,org.kohsuke.access-modifier-annotation,1.16,2018-10-05,https://repo1.maven.org/maven2/org/kohsuke/access-modifier-annotation/1.16/access-modifier-annotation-1.16.jar,,,,,,,,
