,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
8057,org.log4s.log4s,1.0.3,2014-07-30,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.0.3/log4s_2.11-1.0.3.jar,,,,,,,,1.0.4
8058,org.log4s.log4s,1.0.4,2014-08-18,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.0.4/log4s_2.11-1.0.4.jar,,,,,,,,1.0.5
7986,org.log4s.log4s,1.0.5,2014-08-19,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.0.5/log4s_2.11-1.0.5.jar,,,,,,,,1.1.0
7985,org.log4s.log4s,1.1.0,2014-08-25,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.1.0/log4s_2.11-1.1.0.jar,,,,,,,,1.1.1
7984,org.log4s.log4s,1.1.1,2014-09-04,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.1.1/log4s_2.11-1.1.1.jar,,,,,,,,1.1.2
7930,org.log4s.log4s,1.1.2,2014-11-05,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.1.2/log4s_2.11-1.1.2.jar,,,,,,,,1.1.3
7909,org.log4s.log4s,1.1.3,2014-11-06,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.1.3/log4s_2.11-1.1.3.jar,,,,,,,,1.1.4
7910,org.log4s.log4s,1.1.4,2015-03-05,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.1.4/log4s_2.11-1.1.4.jar,,,,,,,,1.1.5
7911,org.log4s.log4s,1.1.5,2015-05-02,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.1.5/log4s_2.11-1.1.5.jar,,,,,,,,1.2.0
7912,org.log4s.log4s,1.2.0,2015-08-17,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.2.0/log4s_2.11-1.2.0.jar,,,,,,,,1.2.1
7913,org.log4s.log4s,1.2.1,2015-11-04,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.2.1/log4s_2.11-1.2.1.jar,,,,,,,,1.3.0
7914,org.log4s.log4s,1.3.0,2016-04-14,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.3.0/log4s_2.11-1.3.0.jar,,,,,,,,1.3.1
7915,org.log4s.log4s,1.3.1,2016-09-26,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.3.1/log4s_2.11-1.3.1.jar,,,,,,,,1.3.2
7916,org.log4s.log4s,1.3.2,2016-10-20,https://repo1.maven.org/maven2/org/log4s/log4s_2.11/1.3.2/log4s_2.11-1.3.2.jar,,,,,,,,1.3.3
7917,org.log4s.log4s,1.3.3,2016-11-03,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.3.3/log4s_2.12-1.3.3.jar,,,,,,,,1.3.4
7918,org.log4s.log4s,1.3.4,2016-12-06,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.3.4/log4s_2.12-1.3.4.jar,,,,,,,,1.3.5
7919,org.log4s.log4s,1.3.5,2017-06-02,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.3.5/log4s_2.12-1.3.5.jar,,,,,,,,1.3.6
7920,org.log4s.log4s,1.3.6,2017-07-03,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.3.6/log4s_2.12-1.3.6.jar,,,,,,,,1.4.0
7921,org.log4s.log4s,1.4.0,2017-10-02,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.4.0/log4s_2.12-1.4.0.jar,,,,,,,,1.5.0
7922,org.log4s.log4s,1.5.0,2018-03-02,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.5.0/log4s_2.12-1.5.0.jar,,,,,,,,1.6.0
7923,org.log4s.log4s,1.6.0,2018-03-16,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.6.0/log4s_2.12-1.6.0.jar,,,,,,,,1.6.1
7924,org.log4s.log4s,1.6.1,2018-03-21,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.6.1/log4s_2.12-1.6.1.jar,,,,,,,,1.7.0
7925,org.log4s.log4s,1.7.0,2019-02-06,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.7.0/log4s_2.12-1.7.0.jar,,,,,,,,1.8.0
7926,org.log4s.log4s,1.8.0,2019-05-24,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.8.0/log4s_2.12-1.8.0.jar,,,,,,,,1.8.1
7927,org.log4s.log4s,1.8.1,2019-06-04,https://repo1.maven.org/maven2/org/log4s/log4s_2.12/1.8.1/log4s_2.12-1.8.1.jar,,,,,,,,1.8.2
7928,org.log4s.log4s,1.8.2,2019-06-10,https://repo1.maven.org/maven2/org/log4s/log4s_2.13/1.8.2/log4s_2.13-1.8.2.jar,5,,,,,,,1.9.0
7929,org.log4s.log4s,1.9.0,2020-10-30,https://repo1.maven.org/maven2/org/log4s/log4s_2.13/1.9.0/log4s_2.13-1.9.0.jar,5,0,0,0,0,0,0,1.10.0
7888,org.log4s.log4s,1.10.0,2021-05-17,https://repo1.maven.org/maven2/org/log4s/log4s_3/1.10.0/log4s_3-1.10.0.jar,: 15,9,0,0,0,1,0,
