,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
106820,org.lz4.lz4-java,0.4,2017-02-13,https://repo1.maven.org/maven2/org/mindrot/jbcrypt/0.4/jbcrypt-0.4.jar,,,,,,,,1.0.0
106819,org.lz4.lz4-java,1.0.0,2013-01-08,https://repo1.maven.org/maven2/net/jpountz/lz4/lz4/1.0.0/lz4-1.0.0.jar,,,,,,,,1.1.0
106818,org.lz4.lz4-java,1.1.0,2013-02-09,https://repo1.maven.org/maven2/net/jpountz/lz4/lz4/1.1.0/lz4-1.1.0.jar,,,,,,,,1.1.1
106788,org.lz4.lz4-java,1.1.1,2013-02-12,https://repo1.maven.org/maven2/net/jpountz/lz4/lz4/1.1.1/lz4-1.1.1.jar,,,,,,,,1.1.2
106723,org.lz4.lz4-java,1.1.2,2013-05-01,https://repo1.maven.org/maven2/net/jpountz/lz4/lz4/1.1.2/lz4-1.1.2.jar,,,,,,,,1.2.0
106724,org.lz4.lz4-java,1.2.0,2013-08-08,https://repo1.maven.org/maven2/net/jpountz/lz4/lz4/1.2.0/lz4-1.2.0.jar,,,,,,,,1.3
106725,org.lz4.lz4-java,1.3,2014-11-26,https://repo1.maven.org/maven2/net/jpountz/lz4/lz4/1.3/lz4-1.3.jar,,,,,,,,1.3.0
106726,org.lz4.lz4-java,1.3.0,2014-11-26,https://repo1.maven.org/maven2/net/jpountz/lz4/lz4/1.3.0/lz4-1.3.0.jar,,,,,,,,1.4
82069,org.lz4.lz4-java,1.4,2017-08-02,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.4/lz4-java-1.4.jar,,,,,,,,1.4.0
82070,org.lz4.lz4-java,1.4.0,2017-08-03,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.4.0/lz4-java-1.4.0.jar,,,,,,,,1.4.1
82071,org.lz4.lz4-java,1.4.1,2018-01-05,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.4.1/lz4-java-1.4.1.jar,,,,,,,,1.5.0
82072,org.lz4.lz4-java,1.5.0,2018-09-25,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.5.0/lz4-java-1.5.0.jar,,,,,,,,1.5.1
82073,org.lz4.lz4-java,1.5.1,2019-02-26,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.5.1/lz4-java-1.5.1.jar,,,,,,,,1.6.0
82074,org.lz4.lz4-java,1.6.0,2019-05-15,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.6.0/lz4-java-1.6.0.jar,,,,,,,,1.7.0
82075,org.lz4.lz4-java,1.7.0,2019-12-07,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.7.0/lz4-java-1.7.0.jar,,,,,,,,1.7.1
82076,org.lz4.lz4-java,1.7.1,2020-01-18,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.7.1/lz4-java-1.7.1.jar,,,,,,,,1.8.0
82077,org.lz4.lz4-java,1.8.0,2021-06-19,https://repo1.maven.org/maven2/org/lz4/lz4-java/1.8.0/lz4-java-1.8.0.jar,,,,,,,,
