,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
44415,org.mongodb.mongodb-driver-async,3.0.0,2015-03-31,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.0.0/mongodb-driver-async-3.0.0.jar,,,,,,,,3.0.1
44416,org.mongodb.mongodb-driver-async,3.0.1,2015-05-05,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.0.1/mongodb-driver-async-3.0.1.jar,,,,,,,,3.0.2
44417,org.mongodb.mongodb-driver-async,3.0.2,2015-05-28,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.0.2/mongodb-driver-async-3.0.2.jar,,,,,,,,3.0.3
44418,org.mongodb.mongodb-driver-async,3.0.3,2015-07-16,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.0.3/mongodb-driver-async-3.0.3.jar,,,,,,,,3.0.4
44419,org.mongodb.mongodb-driver-async,3.0.4,2015-09-14,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.0.4/mongodb-driver-async-3.0.4.jar,,,,,,,,3.1.0
44420,org.mongodb.mongodb-driver-async,3.1.0,2015-10-06,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.1.0/mongodb-driver-async-3.1.0.jar,,,,,,,,3.1.1
44421,org.mongodb.mongodb-driver-async,3.1.1,2015-11-12,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.1.1/mongodb-driver-async-3.1.1.jar,,,,,,,,3.2.0
44422,org.mongodb.mongodb-driver-async,3.2.0,2015-12-07,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.2.0/mongodb-driver-async-3.2.0.jar,,,,,,,,3.2.1
44423,org.mongodb.mongodb-driver-async,3.2.1,2016-01-13,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.2.1/mongodb-driver-async-3.2.1.jar,,,,,,,,3.2.2
44425,org.mongodb.mongodb-driver-async,3.2.2,2016-02-15,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.2.2/mongodb-driver-async-3.2.2.jar,,,,,,,,3.3.0
44453,org.mongodb.mongodb-driver-async,3.3.0,2016-07-18,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.3.0/mongodb-driver-async-3.3.0.jar,,,,,,,,3.4.0
44478,org.mongodb.mongodb-driver-async,3.4.0,2016-11-27,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.4.0/mongodb-driver-async-3.4.0.jar,,,,,,,,3.4.1
44454,org.mongodb.mongodb-driver-async,3.4.1,2016-12-19,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.4.1/mongodb-driver-async-3.4.1.jar,,,,,,,,3.4.2
44481,org.mongodb.mongodb-driver-async,3.4.2,2017-01-26,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.4.2/mongodb-driver-async-3.4.2.jar,,,,,,,,3.4.3
44482,org.mongodb.mongodb-driver-async,3.4.3,2017-07-31,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.4.3/mongodb-driver-async-3.4.3.jar,,,,,,,,3.5.0
44483,org.mongodb.mongodb-driver-async,3.5.0,2017-08-03,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.5.0/mongodb-driver-async-3.5.0.jar,,,,,,,,3.6.0
44484,org.mongodb.mongodb-driver-async,3.6.0,2017-12-05,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.6.0/mongodb-driver-async-3.6.0.jar,,,,,,,,3.6.1
44485,org.mongodb.mongodb-driver-async,3.6.1,2017-12-20,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.6.1/mongodb-driver-async-3.6.1.jar,,,,,,,,3.6.2
44486,org.mongodb.mongodb-driver-async,3.6.2,2018-02-02,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.6.2/mongodb-driver-async-3.6.2.jar,,,,,,,,3.6.3
44487,org.mongodb.mongodb-driver-async,3.6.3,2018-02-13,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.6.3/mongodb-driver-async-3.6.3.jar,,,,,,,,3.6.4
44488,org.mongodb.mongodb-driver-async,3.6.4,2018-05-29,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.6.4/mongodb-driver-async-3.6.4.jar,,,,,,,,3.7.0
44489,org.mongodb.mongodb-driver-async,3.7.0,2018-05-02,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.7.0/mongodb-driver-async-3.7.0.jar,,,,,,,,3.7.1
44490,org.mongodb.mongodb-driver-async,3.7.1,2018-05-29,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.7.1/mongodb-driver-async-3.7.1.jar,,,,,,,,3.8.0
44491,org.mongodb.mongodb-driver-async,3.8.0,2018-06-26,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.8.0/mongodb-driver-async-3.8.0.jar,,,,,,,,3.8.1
44492,org.mongodb.mongodb-driver-async,3.8.1,2018-08-20,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.8.1/mongodb-driver-async-3.8.1.jar,,,,,,,,3.8.2
44493,org.mongodb.mongodb-driver-async,3.8.2,2018-09-19,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.8.2/mongodb-driver-async-3.8.2.jar,,,,,,,,3.9.0
44494,org.mongodb.mongodb-driver-async,3.9.0,2018-11-07,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.9.0/mongodb-driver-async-3.9.0.jar,,,,,,,,3.9.1
44495,org.mongodb.mongodb-driver-async,3.9.1,2018-11-27,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.9.1/mongodb-driver-async-3.9.1.jar,,,,,,,,3.10.0
44496,org.mongodb.mongodb-driver-async,3.10.0,2019-02-05,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.10.0/mongodb-driver-async-3.10.0.jar,,,,,,,,3.10.1
44497,org.mongodb.mongodb-driver-async,3.10.1,2019-02-11,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.10.1/mongodb-driver-async-3.10.1.jar,,,,,,,,3.10.2
44498,org.mongodb.mongodb-driver-async,3.10.2,2019-04-08,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.10.2/mongodb-driver-async-3.10.2.jar,,,,,,,,3.11.0
44499,org.mongodb.mongodb-driver-async,3.11.0,2019-08-13,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.11.0/mongodb-driver-async-3.11.0.jar,,,,,,,,3.11.1
44500,org.mongodb.mongodb-driver-async,3.11.1,2019-10-12,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.11.1/mongodb-driver-async-3.11.1.jar,,,,,,,,3.11.2
44501,org.mongodb.mongodb-driver-async,3.11.2,2019-11-05,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.11.2/mongodb-driver-async-3.11.2.jar,,,,,,,,3.11.3
44502,org.mongodb.mongodb-driver-async,3.11.3,2021-02-18,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.11.3/mongodb-driver-async-3.11.3.jar,,,,,,,,3.12.0
44503,org.mongodb.mongodb-driver-async,3.12.0,2019-12-10,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.12.0/mongodb-driver-async-3.12.0.jar,,,,,,,,3.12.1
44480,org.mongodb.mongodb-driver-async,3.12.1,2020-01-17,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.12.1/mongodb-driver-async-3.12.1.jar,,,,,,,,3.12.2
44504,org.mongodb.mongodb-driver-async,3.12.2,2020-03-04,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.12.2/mongodb-driver-async-3.12.2.jar,,,,,,,,3.12.3
44479,org.mongodb.mongodb-driver-async,3.12.3,2020-04-07,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.12.3/mongodb-driver-async-3.12.3.jar,,,,,,,,3.12.4
44477,org.mongodb.mongodb-driver-async,3.12.4,2020-05-06,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.12.4/mongodb-driver-async-3.12.4.jar,,,,,,,,3.12.5
44455,org.mongodb.mongodb-driver-async,3.12.5,2020-06-02,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.12.5/mongodb-driver-async-3.12.5.jar,,,,,,,,3.12.6
44456,org.mongodb.mongodb-driver-async,3.12.6,2020-07-08,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.12.6/mongodb-driver-async-3.12.6.jar,,,,,,,,3.12.7
44457,org.mongodb.mongodb-driver-async,3.12.7,2020-08-04,https://repo1.maven.org/maven2/org/mongodb/mongodb-driver-async/3.12.7/mongodb-driver-async-3.12.7.jar,,,,,,,,3.12.8
