,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
104273,org.mozilla.rhino,1.5.3,2007-04-26,https://repo1.maven.org/maven2/rhino/js/1.5R3/js-1.5R3.jar,35,,,,,,,1.5.4.1
104272,org.mozilla.rhino,1.5.4.1,2005-11-08,https://repo1.maven.org/maven2/rhino/js/1.5R4.1/js-1.5R4.1.jar,39,1,1,0,0,4,0,1.6.1
104271,org.mozilla.rhino,1.6.1,2005-11-08,https://repo1.maven.org/maven2/rhino/js/1.6R1/js-1.6R1.jar,58,3,0,2,1,19,4,1.6.2
104253,org.mozilla.rhino,1.6.2,2005-11-08,https://repo1.maven.org/maven2/rhino/js/1.6R2/js-1.6R2.jar,58,0,0,0,0,0,0,1.6.3
104252,org.mozilla.rhino,1.6.3,2006-08-02,https://repo1.maven.org/maven2/rhino/js/1.6R3/js-1.6R3.jar,62,3,0,1,0,0,0,1.6.5
104251,org.mozilla.rhino,1.6.5,2006-11-28,https://repo1.maven.org/maven2/rhino/js/1.6R5/js-1.6R5.jar,62,0,0,0,0,0,0,1.6.6
104231,org.mozilla.rhino,1.6.6,2007-08-11,https://repo1.maven.org/maven2/rhino/js/1.6R6/js-1.6R6.jar,72,1,0,0,0,10,1,1.6.7
104230,org.mozilla.rhino,1.6.7,2007-08-26,https://repo1.maven.org/maven2/rhino/js/1.6R7/js-1.6R7.jar,72,0,0,0,0,0,0,1.7.1
104229,org.mozilla.rhino,1.7.1,2008-03-23,https://repo1.maven.org/maven2/rhino/js/1.7R1/js-1.7R1.jar,76,1,0,0,0,3,0,1.7.2
104228,org.mozilla.rhino,1.7.2,2009-08-21,https://repo1.maven.org/maven2/rhino/js/1.7R2/js-1.7R2.jar,84,6,0,0,0,3,1,1.7.3
7011,org.mozilla.rhino,1.7.3,2011-07-20,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7R3/rhino-1.7R3.jar,103,0,0,1,0,18,0,1.7.4
7012,org.mozilla.rhino,1.7.4,2012-06-20,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7R4/rhino-1.7R4.jar,105,0,0,0,0,2,0,1.7.5
7013,org.mozilla.rhino,1.7.5,2015-01-30,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7R5/rhino-1.7R5.jar,105,0,0,0,0,0,0,1.7.6
6991,org.mozilla.rhino,1.7.6,2015-04-15,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.6/rhino-1.7.6.jar,110,0,0,0,0,15,10,1.7.7
7014,org.mozilla.rhino,1.7.7,2015-06-17,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.7/rhino-1.7.7.jar,110,0,0,0,0,0,0,1.7.7.1
6990,org.mozilla.rhino,1.7.7.1,2016-02-01,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.7.1/rhino-1.7.7.1.jar,110,0,0,0,0,0,0,1.7.7.2
6988,org.mozilla.rhino,1.7.7.2,2017-08-24,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.7.2/rhino-1.7.7.2.jar,119,0,0,0,0,9,0,1.7.8
6966,org.mozilla.rhino,1.7.8,2018-01-23,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.8/rhino-1.7.8.jar,118,0,0,0,0,0,1,1.7.9
6967,org.mozilla.rhino,1.7.9,2018-03-15,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.9/rhino-1.7.9.jar,118,0,0,0,0,0,0,1.7.10
6968,org.mozilla.rhino,1.7.10,2018-04-10,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.10/rhino-1.7.10.jar,118,0,0,0,0,0,0,1.7.11
6969,org.mozilla.rhino,1.7.11,2019-05-30,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.11/rhino-1.7.11.jar,125,0,0,0,0,7,0,1.7.12
6970,org.mozilla.rhino,1.7.12,2020-01-13,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.12/rhino-1.7.12.jar,128,3,0,0,0,0,0,1.7.13
6971,org.mozilla.rhino,1.7.13,2020-09-02,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.13/rhino-1.7.13.jar,131,0,0,0,0,3,0,1.7.14
6972,org.mozilla.rhino,1.7.14,2022-01-07,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.14/rhino-1.7.14.jar,142,0,0,0,0,13,2,1.7.15
6973,org.mozilla.rhino,1.7.15,2024-05-04,https://repo1.maven.org/maven2/org/mozilla/rhino/1.7.15/rhino-1.7.15.jar,144,0,0,0,0,3,1,1.8.0
6974,org.mozilla.rhino,1.8.0,2025-01-03,https://repo1.maven.org/maven2/org/mozilla/rhino/1.8.0/rhino-1.8.0.jar,: 127,0,0,0,0,7,24,
