,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
91058,org.msgpack.msgpack-core,0.6.0,2011-10-03,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.0/msgpack-0.6.0.jar,,,,,,,,0.6.1
91057,org.msgpack.msgpack-core,0.6.1,2011-10-06,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.1/msgpack-0.6.1.jar,,,,,,,,0.6.2
91067,org.msgpack.msgpack-core,0.6.2,2011-10-24,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.2/msgpack-0.6.2.jar,,,,,,,,0.6.3
91068,org.msgpack.msgpack-core,0.6.3,2011-11-08,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.3/msgpack-0.6.3.jar,,,,,,,,0.6.4
91069,org.msgpack.msgpack-core,0.6.4,2012-01-04,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.4/msgpack-0.6.4.jar,,,,,,,,0.6.5
91070,org.msgpack.msgpack-core,0.6.5,2012-01-12,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.5/msgpack-0.6.5.jar,,,,,,,,0.6.6
91086,org.msgpack.msgpack-core,0.6.6,2012-05-09,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.6/msgpack-0.6.6.jar,,,,,,,,0.6.7
91085,org.msgpack.msgpack-core,0.6.7,2012-12-09,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.7/msgpack-0.6.7.jar,,,,,,,,0.6.8
91084,org.msgpack.msgpack-core,0.6.8,2013-08-20,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.8/msgpack-0.6.8.jar,1,,,,,,,0.6.9
91083,org.msgpack.msgpack-core,0.6.9,2013-12-18,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.9/msgpack-0.6.9.jar,1,0,0,0,0,0,0,0.6.10
91082,org.msgpack.msgpack-core,0.6.10,2014-02-26,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.10/msgpack-0.6.10.jar,1,0,0,0,0,0,0,0.6.11
91081,org.msgpack.msgpack-core,0.6.11,2014-04-20,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.11/msgpack-0.6.11.jar,1,0,0,0,0,0,0,0.6.12
91080,org.msgpack.msgpack-core,0.6.12,2015-05-17,https://repo1.maven.org/maven2/org/msgpack/msgpack/0.6.12/msgpack-0.6.12.jar,,0,0,0,0,0,0,0.7.0
28574,org.msgpack.msgpack-core,0.7.0,2014-10-26,https://repo1.maven.org/maven2/org/msgpack/msgpack-core/0.7.0-p1/msgpack-core-0.7.0-p1.jar,,,,,,,,0.7.1
28575,org.msgpack.msgpack-core,0.7.1,2015-11-12,https://repo1.maven.org/maven2/org/msgpack/msgpack-core/0.7.1/msgpack-core-0.7.1.jar,,,,,,,,0.8.0
28576,org.msgpack.msgpack-core,0.8.0,2016-01-05,https://repo1.maven.org/maven2/org/msgpack/msgpack-core/0.8.0/msgpack-core-0.8.0.jar,,,,,,,,0.8.1
28577,org.msgpack.msgpack-core,0.8.1,2016-01-07,https://repo1.maven.org/maven2/org/msgpack/msgpack-core/0.8.1/msgpack-core-0.8.1.jar,,,,,,,,0.8.2
28578,org.msgpack.msgpack-core,0.8.2,2016-01-22,https://repo1.maven.org/maven2/org/msgpack/msgpack-core/0.8.2/msgpack-core-0.8.2.jar,,,,,,,,0.8.3
