,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
102732,org.mule.runtime.mule-core,3.5.0,2017-01-01,https://repo1.maven.org/maven2/org/mule/mule-core/3.5.0/mule-core-3.5.0.jar,67,,,,,,,3.5.1
100392,org.mule.runtime.mule-core,3.5.1,2014-07-03,https://repository.mulesoft.org/nexus/content/repositories/public/org/mule/mule-core/3.5.1/mule-core-3.5.1.jar,67,0,0,0,0,0,0,3.6.0
96919,org.mule.runtime.mule-core,3.6.0,2017-01-01,https://repo1.maven.org/maven2/org/mule/mule-core/3.6.0/mule-core-3.6.0.jar,70,0,0,0,0,3,0,3.6.1
96918,org.mule.runtime.mule-core,3.6.1,2015-02-13,https://repository.mulesoft.org/nexus/content/repositories/public/org/mule/mule-core/3.6.1/mule-core-3.6.1.jar,69,0,0,0,0,0,1,3.7.0
96917,org.mule.runtime.mule-core,3.7.0,2017-01-01,https://repo1.maven.org/maven2/org/mule/mule-core/3.7.0/mule-core-3.7.0.jar,71,0,0,0,0,2,0,3.8.0
96916,org.mule.runtime.mule-core,3.8.0,2017-01-01,https://repo1.maven.org/maven2/org/mule/mule-core/3.8.0/mule-core-3.8.0.jar,76,0,0,0,0,5,0,3.8.1
96914,org.mule.runtime.mule-core,3.8.1,2017-01-01,https://repo1.maven.org/maven2/org/mule/mule-core/3.8.1/mule-core-3.8.1.jar,76,0,0,0,0,0,0,3.8.1.20210217
96915,org.mule.runtime.mule-core,3.8.1.20210217,2021-03-22,https://repository.mulesoft.org/nexus/content/repositories/public/org/mule/mule-core/3.8.1-20210217/mule-core-3.8.1-20210217.jar,76,0,0,0,0,0,0,3.9.0
96913,org.mule.runtime.mule-core,3.9.0,2017-10-07,https://repo1.maven.org/maven2/org/mule/mule-core/3.9.0/mule-core-3.9.0.jar,77,0,0,0,0,1,0,3.9.0.20210217
96920,org.mule.runtime.mule-core,3.9.0.20210217,2021-03-22,https://repository.mulesoft.org/nexus/content/repositories/public/org/mule/mule-core/3.9.0-20210217/mule-core-3.9.0-20210217.jar,77,0,0,0,0,0,0,3.9.5
96911,org.mule.runtime.mule-core,3.9.5,2021-02-24,https://repository.mulesoft.org/nexus/content/repositories/public/org/mule/mule-core/3.9.5/mule-core-3.9.5.jar,79,0,0,0,0,2,0,4.0.0
19460,org.mule.runtime.mule-core,4.0.0,2017-11-16,https://repository.mulesoft.org/nexus/content/repositories/public/org/mule/runtime/mule-core/4.0.0/mule-core-4.0.0.jar,38,0,0,0,0,38,88,4.1.0
19461,org.mule.runtime.mule-core,4.1.0,2018-01-24,https://repository.mulesoft.org/nexus/content/repositories/public/org/mule/runtime/mule-core/4.1.0/mule-core-4.1.0.jar,39,1,0,0,0,0,0,4.1.1
