,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
27410,org.picketbox.picketbox,4.0.0,2011-07-06,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.0.Final/picketbox-4.0.0.Final.jar,36,,,,,,,4.0.1
27434,org.picketbox.picketbox,4.0.1,2011-08-01,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.1/picketbox-4.0.1.jar,36,0,0,0,0,0,0,4.0.2
27435,org.picketbox.picketbox,4.0.2,2011-08-25,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.2.final/picketbox-4.0.2.final.jar,36,0,0,0,0,0,0,4.0.3
27436,org.picketbox.picketbox,4.0.3,2011-09-22,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.3/picketbox-4.0.3.jar,36,0,0,0,0,0,0,4.0.4
27437,org.picketbox.picketbox,4.0.4,2011-09-28,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.4.Final/picketbox-4.0.4.Final.jar,36,0,0,0,0,0,0,4.0.5
27438,org.picketbox.picketbox,4.0.5,2011-10-07,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.5.Final/picketbox-4.0.5.Final.jar,36,0,0,0,0,0,0,4.0.6
27439,org.picketbox.picketbox,4.0.6,2012-01-25,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.6.final/picketbox-4.0.6.final.jar,36,0,0,0,0,0,0,4.0.7
27440,org.picketbox.picketbox,4.0.7,2012-03-05,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.7.Final/picketbox-4.0.7.Final.jar,36,0,0,0,0,0,0,4.0.8
27441,org.picketbox.picketbox,4.0.8,2012-04-24,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.8.Final/picketbox-4.0.8.Final.jar,36,0,0,0,0,0,0,4.0.9
27442,org.picketbox.picketbox,4.0.9,2012-04-28,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.9.Final/picketbox-4.0.9.Final.jar,36,0,0,0,0,0,0,4.0.10
27443,org.picketbox.picketbox,4.0.10,2012-08-10,https://repo1.maven.org/maven2/org/picketbox/picketbox/4.0.10.Final/picketbox-4.0.10.Final.jar,38,0,0,0,0,2,0,4.0.11
