,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
90888,org.playframework.play-server,2.5.10,2024-08-21,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.11/2.5.10/play-server_2.11-2.5.10.jar,,,,,,,,2.8.0
90889,org.playframework.play-server,2.8.0,2024-11-08,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.8.0/play-server_2.13-2.8.0.jar,46,,,,,,,2.8.1
90890,org.playframework.play-server,2.8.1,2024-12-04,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.8.1/play-server_2.13-2.8.1.jar,,0,0,0,0,0,0,2.8.2
90891,org.playframework.play-server,2.8.2,2024-02-21,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.12/2.8.2/play-server_2.12-2.8.2.jar,,,,,,,,2.8.8
90875,org.playframework.play-server,2.8.8,2024-02-20,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.8.8/play-server_2.13-2.8.8.jar,46,,,,,,,2.8.11
90883,org.playframework.play-server,2.8.11,2024-02-21,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.8.11/play-server_2.13-2.8.11.jar,46,0,0,0,0,0,0,2.8.19
90874,org.playframework.play-server,2.8.19,2024-07-19,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.8.19/play-server_2.13-2.8.19.jar,46,0,0,0,0,0,0,2.8.21
90865,org.playframework.play-server,2.8.21,2023-12-20,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.8.21/play-server_2.13-2.8.21.jar,46,0,0,0,0,0,0,2.9.0
90858,org.playframework.play-server,2.9.0,2024-11-16,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.9.0/play-server_2.13-2.9.0.jar,46,0,0,0,0,1,1,2.9.1
90859,org.playframework.play-server,2.9.1,2024-09-02,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.9.1/play-server_2.13-2.9.1.jar,46,0,0,0,0,0,0,2.9.2
90860,org.playframework.play-server,2.9.2,2024-03-01,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.9.2/play-server_2.13-2.9.2.jar,46,0,0,0,0,0,0,2.9.3
90861,org.playframework.play-server,2.9.3,2024-05-07,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.9.3/play-server_2.13-2.9.3.jar,46,0,0,0,0,0,0,2.9.4
90862,org.playframework.play-server,2.9.4,2024-06-17,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.9.4/play-server_2.13-2.9.4.jar,46,0,0,0,0,0,0,2.9.5
90863,org.playframework.play-server,2.9.5,2024-07-28,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.9.5/play-server_2.13-2.9.5.jar,46,0,0,0,0,0,0,2.9.6
90864,org.playframework.play-server,2.9.6,2024-11-29,https://repo1.maven.org/maven2/com/typesafe/play/play-server_2.13/2.9.6/play-server_2.13-2.9.6.jar,46,0,0,0,0,0,0,3.0.0
48827,org.playframework.play-server,3.0.0,2023-10-25,https://repo1.maven.org/maven2/org/playframework/play-server_3/3.0.0/play-server_3-3.0.0.jar,61,17,0,0,0,1,3,3.0.1
48828,org.playframework.play-server,3.0.1,2023-12-19,https://repo1.maven.org/maven2/org/playframework/play-server_3/3.0.1/play-server_3-3.0.1.jar,61,0,0,0,0,0,0,3.0.2
48829,org.playframework.play-server,3.0.2,2024-03-01,https://repo1.maven.org/maven2/org/playframework/play-server_3/3.0.2/play-server_3-3.0.2.jar,61,0,0,0,0,0,0,3.0.3
48830,org.playframework.play-server,3.0.3,2024-05-07,https://repo1.maven.org/maven2/org/playframework/play-server_3/3.0.3/play-server_3-3.0.3.jar,61,0,0,0,0,0,0,3.0.4
48831,org.playframework.play-server,3.0.4,2024-06-17,https://repo1.maven.org/maven2/org/playframework/play-server_3/3.0.4/play-server_3-3.0.4.jar,61,0,0,0,0,0,0,3.0.5
48832,org.playframework.play-server,3.0.5,2024-07-24,https://repo1.maven.org/maven2/org/playframework/play-server_3/3.0.5/play-server_3-3.0.5.jar,61,0,0,0,0,0,0,3.0.6
48833,org.playframework.play-server,3.0.6,2024-11-28,https://repo1.maven.org/maven2/org/playframework/play-server_3/3.0.6/play-server_3-3.0.6.jar,: 61,0,0,0,0,0,0,
