,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
109994,org.postgresql.postgresql,7.2,2005-11-08,https://repo1.maven.org/maven2/postgresql/postgresql/7.2/postgresql-7.2.jar,9,,,,,,,9.4.1207
73008,org.postgresql.postgresql,9.4.1207,2015-12-22,https://repo1.maven.org/maven2/org/postgresql/postgresql/9.4.1207/postgresql-9.4.1207.jar,19,0,0,0,0,11,0,9.4.1208
73007,org.postgresql.postgresql,9.4.1208,2016-02-19,https://repo1.maven.org/maven2/org/postgresql/postgresql/9.4.1208/postgresql-9.4.1208.jar,19,0,0,0,0,0,0,9.4.1209
73006,org.postgresql.postgresql,9.4.1209,2016-07-15,https://repo1.maven.org/maven2/org/postgresql/postgresql/9.4.1209/postgresql-9.4.1209.jar,19,0,0,0,0,0,0,9.4.1210
73005,org.postgresql.postgresql,9.4.1210,2016-09-06,https://repo1.maven.org/maven2/org/postgresql/postgresql/9.4.1210/postgresql-9.4.1210.jar,19,0,0,0,0,0,0,9.4.1211
73016,org.postgresql.postgresql,9.4.1211,2016-09-18,https://repo1.maven.org/maven2/org/postgresql/postgresql/9.4.1211/postgresql-9.4.1211.jar,19,0,0,0,0,0,0,9.4.1212
73015,org.postgresql.postgresql,9.4.1212,2016-11-02,https://repo1.maven.org/maven2/org/postgresql/postgresql/9.4.1212/postgresql-9.4.1212.jar,19,0,0,0,0,0,0,42.0.0
73014,org.postgresql.postgresql,42.0.0,2017-02-18,https://repo1.maven.org/maven2/org/postgresql/postgresql/42.0.0/postgresql-42.0.0.jar,19,0,0,0,0,0,0,42.1.0
73013,org.postgresql.postgresql,42.1.0,2017-05-04,https://repo1.maven.org/maven2/org/postgresql/postgresql/42.1.0/postgresql-42.1.0.jar,19,0,0,0,0,0,0,42.1.1
73012,org.postgresql.postgresql,42.1.1,2017-05-05,https://repo1.maven.org/maven2/org/postgresql/postgresql/42.1.1/postgresql-42.1.1.jar,19,0,0,0,0,0,0,42.1.2
73011,org.postgresql.postgresql,42.1.2,2017-07-12,https://repo1.maven.org/maven2/org/postgresql/postgresql/42.1.2/postgresql-42.1.2.jar,18,0,1,0,0,0,0,42.1.3
73010,org.postgresql.postgresql,42.1.3,2017-07-14,https://repo1.maven.org/maven2/org/postgresql/postgresql/42.1.3/postgresql-42.1.3.jar,18,0,0,0,0,0,0,42.1.4
