,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
84010,org.projectlombok.lombok,0.9.3,2011-03-08,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.9.3/lombok-0.9.3.jar,,,,,,,,0.10.0
84024,org.projectlombok.lombok,0.10.0,2011-08-19,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.10.0/lombok-0.10.0.jar,,,,,,,,0.10.1
84025,org.projectlombok.lombok,0.10.1,2011-10-03,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.10.1/lombok-0.10.1.jar,,,,,,,,0.10.2
84041,org.projectlombok.lombok,0.10.2,2011-10-31,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.10.2/lombok-0.10.2.jar,,,,,,,,0.10.4
84040,org.projectlombok.lombok,0.10.4,2011-11-21,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.10.4/lombok-0.10.4.jar,,,,,,,,0.10.6
84039,org.projectlombok.lombok,0.10.6,2011-12-19,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.10.6/lombok-0.10.6.jar,,,,,,,,0.10.8
84038,org.projectlombok.lombok,0.10.8,2012-01-19,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.10.8/lombok-0.10.8.jar,,,,,,,,0.11.0
84037,org.projectlombok.lombok,0.11.0,2012-03-26,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.11.0/lombok-0.11.0.jar,,,,,,,,0.11.2
84036,org.projectlombok.lombok,0.11.2,2012-07-02,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.11.2/lombok-0.11.2.jar,,,,,,,,0.11.4
84035,org.projectlombok.lombok,0.11.4,2012-08-13,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.11.4/lombok-0.11.4.jar,,,,,,,,0.11.6
84042,org.projectlombok.lombok,0.11.6,2012-10-29,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.11.6/lombok-0.11.6.jar,,,,,,,,0.11.8
84034,org.projectlombok.lombok,0.11.8,2013-04-23,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.11.8/lombok-0.11.8.jar,,,,,,,,0.12.0
84032,org.projectlombok.lombok,0.12.0,2013-07-15,https://repo1.maven.org/maven2/org/projectlombok/lombok/0.12.0/lombok-0.12.0.jar,,,,,,,,1.12.2
84031,org.projectlombok.lombok,1.12.2,2013-10-10,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.12.2/lombok-1.12.2.jar,,,,,,,,1.12.4
84030,org.projectlombok.lombok,1.12.4,2014-01-15,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.12.4/lombok-1.12.4.jar,,,,,,,,1.12.6
84029,org.projectlombok.lombok,1.12.6,2014-03-06,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.12.6/lombok-1.12.6.jar,,,,,,,,1.14.0
84028,org.projectlombok.lombok,1.14.0,2014-05-27,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.14.0/lombok-1.14.0.jar,,,,,,,,1.14.2
84027,org.projectlombok.lombok,1.14.2,2014-06-10,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.14.2/lombok-1.14.2.jar,,,,,,,,1.14.4
84026,org.projectlombok.lombok,1.14.4,2014-07-01,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.14.4/lombok-1.14.4.jar,,,,,,,,1.14.6
84009,org.projectlombok.lombok,1.14.6,2014-09-02,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.14.6/lombok-1.14.6.jar,,,,,,,,1.14.8
84033,org.projectlombok.lombok,1.14.8,2014-09-15,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.14.8/lombok-1.14.8.jar,,,,,,,,1.16.0
84008,org.projectlombok.lombok,1.16.0,2015-01-26,https://repo1.maven.org/maven2/org/projectlombok/lombok/1.16.0/lombok-1.16.0.jar,,,,,,,,1.16.2
