,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
66240,org.renjin.stats4,0.7.1509,2015-03-18,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1509/stats4-0.7.1509.jar,,,,,,,,
66231,org.renjin.stats4,0.7.1510,2015-03-18,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1510/stats4-0.7.1510.jar,,,,,,,,
66232,org.renjin.stats4,0.7.1512,2015-04-08,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1512/stats4-0.7.1512.jar,,,,,,,,
66233,org.renjin.stats4,0.7.1513,2015-04-11,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1513/stats4-0.7.1513.jar,,,,,,,,
66234,org.renjin.stats4,0.7.1515,2015-04-13,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1515/stats4-0.7.1515.jar,,,,,,,,
66235,org.renjin.stats4,0.7.1516,2015-04-19,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1516/stats4-0.7.1516.jar,,,,,,,,
66236,org.renjin.stats4,0.7.1518,2015-04-23,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1518/stats4-0.7.1518.jar,,,,,,,,
66237,org.renjin.stats4,0.7.1519,2015-04-24,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1519/stats4-0.7.1519.jar,,,,,,,,
66238,org.renjin.stats4,0.7.1520,2015-04-24,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1520/stats4-0.7.1520.jar,,,,,,,,
66239,org.renjin.stats4,0.7.1521,2015-04-24,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1521/stats4-0.7.1521.jar,,,,,,,,
66241,org.renjin.stats4,0.7.1522,2015-04-24,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1522/stats4-0.7.1522.jar,,,,,,,,
66242,org.renjin.stats4,0.7.1523,2015-04-24,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1523/stats4-0.7.1523.jar,,,,,,,,
66289,org.renjin.stats4,0.7.1524,2015-04-30,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1524/stats4-0.7.1524.jar,,,,,,,,
66243,org.renjin.stats4,0.7.1525,2015-04-30,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1525/stats4-0.7.1525.jar,,,,,,,,
66268,org.renjin.stats4,0.7.1526,2015-05-29,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1526/stats4-0.7.1526.jar,,,,,,,,
66269,org.renjin.stats4,0.7.1527,2015-05-29,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1527/stats4-0.7.1527.jar,,,,,,,,
66270,org.renjin.stats4,0.7.1528,2015-05-29,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1528/stats4-0.7.1528.jar,,,,,,,,
66271,org.renjin.stats4,0.7.1529,2015-06-01,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1529/stats4-0.7.1529.jar,,,,,,,,
66272,org.renjin.stats4,0.7.1530,2015-06-03,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1530/stats4-0.7.1530.jar,,,,,,,,
66273,org.renjin.stats4,0.7.1531,2015-06-11,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1531/stats4-0.7.1531.jar,,,,,,,,
66274,org.renjin.stats4,0.7.1532,2015-06-11,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1532/stats4-0.7.1532.jar,,,,,,,,
66275,org.renjin.stats4,0.7.1533,2015-06-24,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1533/stats4-0.7.1533.jar,,,,,,,,
66276,org.renjin.stats4,0.7.1534,2015-06-24,https://nexus.bedatadriven.com/content/groups/public/org/renjin/stats4/0.7.1534/stats4-0.7.1534.jar,,,,,,,,
