,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
66902,org.renjin.tools,0.7.1550,2015-08-10,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1550/tools-0.7.1550.jar,,,,,,,,0.7.1551
66903,org.renjin.tools,0.7.1551,2015-08-10,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1551/tools-0.7.1551.jar,,,,,,,,0.7.1552
66904,org.renjin.tools,0.7.1552,2015-08-10,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1552/tools-0.7.1552.jar,,,,,,,,0.7.1553
66905,org.renjin.tools,0.7.1553,2015-08-10,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1553/tools-0.7.1553.jar,,,,,,,,0.7.1554
66906,org.renjin.tools,0.7.1554,2015-08-18,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1554/tools-0.7.1554.jar,,,,,,,,0.7.1555
66907,org.renjin.tools,0.7.1555,2015-08-18,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1555/tools-0.7.1555.jar,,,,,,,,0.7.1556
66908,org.renjin.tools,0.7.1556,2015-08-18,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1556/tools-0.7.1556.jar,,,,,,,,0.7.1557
66901,org.renjin.tools,0.7.1557,2015-08-18,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1557/tools-0.7.1557.jar,,,,,,,,0.7.1560
66900,org.renjin.tools,0.7.1560,2015-09-01,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1560/tools-0.7.1560.jar,,,,,,,,0.7.1561
66899,org.renjin.tools,0.7.1561,2015-09-03,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1561/tools-0.7.1561.jar,,,,,,,,0.7.1562
66887,org.renjin.tools,0.7.1562,2015-09-10,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1562/tools-0.7.1562.jar,,,,,,,,0.7.1563
66878,org.renjin.tools,0.7.1563,2015-09-15,https://nexus.bedatadriven.com/content/groups/public/org/renjin/tools/0.7.1563/tools-0.7.1563.jar,,,,,,,,0.7.1564
