,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
80117,org.roaringbitmap.RoaringBitmap,0.0.1,2014-03-03,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.0.1/RoaringBitmap-0.0.1.jar,3,,,,,,,0.0.2
80140,org.roaringbitmap.RoaringBitmap,0.0.2,2014-03-12,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.0.2/RoaringBitmap-0.0.2.jar,3,0,0,0,0,0,0,0.1.0
80141,org.roaringbitmap.RoaringBitmap,0.1.0,2014-03-21,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.1.0/RoaringBitmap-0.1.0.jar,6,0,0,0,0,3,0,0.1.1
80142,org.roaringbitmap.RoaringBitmap,0.1.1,2014-03-28,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.1.1/RoaringBitmap-0.1.1.jar,6,0,0,0,0,0,0,0.1.2
80143,org.roaringbitmap.RoaringBitmap,0.1.2,2014-04-15,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.1.2/RoaringBitmap-0.1.2.jar,6,0,0,0,0,0,0,0.1.3
80144,org.roaringbitmap.RoaringBitmap,0.1.3,2014-04-21,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.1.3/RoaringBitmap-0.1.3.jar,6,0,0,0,0,0,0,0.1.4
80145,org.roaringbitmap.RoaringBitmap,0.1.4,2014-04-28,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.1.4/RoaringBitmap-0.1.4.jar,6,0,0,0,0,0,0,0.1.5
80146,org.roaringbitmap.RoaringBitmap,0.1.5,2014-05-01,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.1.5/RoaringBitmap-0.1.5.jar,6,0,0,0,0,0,0,0.2.0
80147,org.roaringbitmap.RoaringBitmap,0.2.0,2014-05-07,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.2.0/RoaringBitmap-0.2.0.jar,6,0,0,0,0,3,3,0.2.1
80148,org.roaringbitmap.RoaringBitmap,0.2.1,2014-05-14,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.2.1/RoaringBitmap-0.2.1.jar,6,0,0,0,0,0,0,0.2.2
80149,org.roaringbitmap.RoaringBitmap,0.2.2,2014-05-14,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.2.2/RoaringBitmap-0.2.2.jar,6,0,0,0,0,0,0,0.3.2
80150,org.roaringbitmap.RoaringBitmap,0.3.2,2014-05-21,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.3.2/RoaringBitmap-0.3.2.jar,6,0,0,0,0,1,1,0.3.3
80151,org.roaringbitmap.RoaringBitmap,0.3.3,2014-05-23,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.3.3/RoaringBitmap-0.3.3.jar,6,0,0,0,0,0,0,0.3.4
80152,org.roaringbitmap.RoaringBitmap,0.3.4,2014-05-23,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.3.4/RoaringBitmap-0.3.4.jar,6,0,0,0,0,0,0,0.3.5
80153,org.roaringbitmap.RoaringBitmap,0.3.5,2014-06-12,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.3.5/RoaringBitmap-0.3.5.jar,6,0,0,0,0,0,0,0.3.6
80154,org.roaringbitmap.RoaringBitmap,0.3.6,2014-06-14,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.3.6/RoaringBitmap-0.3.6.jar,6,0,0,0,0,0,0,0.3.7
80155,org.roaringbitmap.RoaringBitmap,0.3.7,2014-08-13,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.3.7/RoaringBitmap-0.3.7.jar,6,0,0,0,0,0,0,0.4.0
80156,org.roaringbitmap.RoaringBitmap,0.4.0,2014-09-23,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.0/RoaringBitmap-0.4.0.jar,6,0,0,0,0,0,0,0.4.1
80157,org.roaringbitmap.RoaringBitmap,0.4.1,2014-10-20,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.1/RoaringBitmap-0.4.1.jar,6,0,0,0,0,0,0,0.4.2
80158,org.roaringbitmap.RoaringBitmap,0.4.2,2014-10-24,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.2/RoaringBitmap-0.4.2.jar,6,0,0,0,0,0,0,0.4.3
80139,org.roaringbitmap.RoaringBitmap,0.4.3,2014-10-24,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.3/RoaringBitmap-0.4.3.jar,6,0,0,0,0,0,0,0.4.4
80159,org.roaringbitmap.RoaringBitmap,0.4.4,2014-10-31,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.4/RoaringBitmap-0.4.4.jar,6,0,0,0,0,0,0,0.4.5
80138,org.roaringbitmap.RoaringBitmap,0.4.5,2014-10-31,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.5/RoaringBitmap-0.4.5.jar,6,0,0,0,0,0,0,0.4.6
80137,org.roaringbitmap.RoaringBitmap,0.4.6,2014-11-07,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.6/RoaringBitmap-0.4.6.jar,6,0,0,0,0,0,0,0.4.7
80118,org.roaringbitmap.RoaringBitmap,0.4.7,2014-11-21,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.7/RoaringBitmap-0.4.7.jar,6,0,0,0,0,0,0,0.4.8
80119,org.roaringbitmap.RoaringBitmap,0.4.8,2014-12-01,https://repo1.maven.org/maven2/org/roaringbitmap/RoaringBitmap/0.4.8/RoaringBitmap-0.4.8.jar,6,0,0,0,0,0,0,0.4.9
