,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
76377,org.scala-lang.scala-reflect,2.10.0,2012-12-20,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.10.0/scala-reflect-2.10.0.jar,,,,,,,,2.10.1
76390,org.scala-lang.scala-reflect,2.10.1,2013-03-12,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.10.1/scala-reflect-2.10.1.jar,,,,,,,,2.10.2
76410,org.scala-lang.scala-reflect,2.10.2,2013-06-06,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.10.2/scala-reflect-2.10.2.jar,,,,,,,,2.10.3
76440,org.scala-lang.scala-reflect,2.10.3,2013-09-27,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.10.3/scala-reflect-2.10.3.jar,,,,,,,,2.10.4
76439,org.scala-lang.scala-reflect,2.10.4,2014-03-18,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.10.4/scala-reflect-2.10.4.jar,,,,,,,,2.10.5
76438,org.scala-lang.scala-reflect,2.10.5,2015-02-27,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.10.5/scala-reflect-2.10.5.jar,,,,,,,,2.10.6
76437,org.scala-lang.scala-reflect,2.10.6,2015-09-18,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.10.6/scala-reflect-2.10.6.jar,,,,,,,,2.10.7
76436,org.scala-lang.scala-reflect,2.10.7,2017-11-03,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.10.7/scala-reflect-2.10.7.jar,,,,,,,,2.11.0
76441,org.scala-lang.scala-reflect,2.11.0,2014-04-16,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.0/scala-reflect-2.11.0.jar,,,,,,,,2.11.1
76453,org.scala-lang.scala-reflect,2.11.1,2014-05-20,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.1/scala-reflect-2.11.1.jar,,,,,,,,2.11.2
76452,org.scala-lang.scala-reflect,2.11.2,2014-07-23,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.2/scala-reflect-2.11.2.jar,,,,,,,,2.11.3
76451,org.scala-lang.scala-reflect,2.11.3,2014-10-10,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.3/scala-reflect-2.11.3.jar,,,,,,,,2.11.4
76450,org.scala-lang.scala-reflect,2.11.4,2014-10-23,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.4/scala-reflect-2.11.4.jar,,,,,,,,2.11.5
76449,org.scala-lang.scala-reflect,2.11.5,2015-01-07,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.5/scala-reflect-2.11.5.jar,,,,,,,,2.11.6
76448,org.scala-lang.scala-reflect,2.11.6,2015-02-26,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.6/scala-reflect-2.11.6.jar,,,,,,,,2.11.7
76447,org.scala-lang.scala-reflect,2.11.7,2015-06-22,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.7/scala-reflect-2.11.7.jar,,,,,,,,2.11.8
76446,org.scala-lang.scala-reflect,2.11.8,2016-03-04,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.8/scala-reflect-2.11.8.jar,,,,,,,,2.11.9
76445,org.scala-lang.scala-reflect,2.11.9,2017-03-28,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.9/scala-reflect-2.11.9.jar,,,,,,,,2.11.10
76444,org.scala-lang.scala-reflect,2.11.10,2017-04-05,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.10/scala-reflect-2.11.10.jar,,,,,,,,2.11.11
76443,org.scala-lang.scala-reflect,2.11.11,2017-04-13,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.11/scala-reflect-2.11.11.jar,,,,,,,,2.11.12
76442,org.scala-lang.scala-reflect,2.11.12,2017-11-03,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.11.12/scala-reflect-2.11.12.jar,,,,,,,,2.12.0
76427,org.scala-lang.scala-reflect,2.12.0,2016-10-28,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.0/scala-reflect-2.12.0.jar,,,,,,,,2.12.1
76426,org.scala-lang.scala-reflect,2.12.1,2016-12-05,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.1/scala-reflect-2.12.1.jar,,,,,,,,2.12.2
76425,org.scala-lang.scala-reflect,2.12.2,2017-04-13,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.2/scala-reflect-2.12.2.jar,,,,,,,,2.12.3
76424,org.scala-lang.scala-reflect,2.12.3,2017-07-25,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.3/scala-reflect-2.12.3.jar,,,,,,,,2.12.4
76423,org.scala-lang.scala-reflect,2.12.4,2017-10-11,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.4/scala-reflect-2.12.4.jar,,,,,,,,2.12.5
76422,org.scala-lang.scala-reflect,2.12.5,2018-03-16,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.5/scala-reflect-2.12.5.jar,,,,,,,,2.12.6
76421,org.scala-lang.scala-reflect,2.12.6,2018-04-27,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.6/scala-reflect-2.12.6.jar,,,,,,,,2.12.7
76420,org.scala-lang.scala-reflect,2.12.7,2018-09-27,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.7/scala-reflect-2.12.7.jar,,,,,,,,2.12.8
76419,org.scala-lang.scala-reflect,2.12.8,2018-12-04,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.8/scala-reflect-2.12.8.jar,,,,,,,,2.12.9
76418,org.scala-lang.scala-reflect,2.12.9,2019-08-05,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.9/scala-reflect-2.12.9.jar,,,,,,,,2.12.10
76417,org.scala-lang.scala-reflect,2.12.10,2019-09-11,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.10/scala-reflect-2.12.10.jar,,,,,,,,2.12.11
76416,org.scala-lang.scala-reflect,2.12.11,2020-03-16,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.11/scala-reflect-2.12.11.jar,,,,,,,,2.12.12
76415,org.scala-lang.scala-reflect,2.12.12,2020-07-13,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.12/scala-reflect-2.12.12.jar,,,,,,,,2.12.13
76414,org.scala-lang.scala-reflect,2.12.13,2021-01-12,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.13/scala-reflect-2.12.13.jar,,,,,,,,2.12.14
76413,org.scala-lang.scala-reflect,2.12.14,2021-05-28,https://repo1.maven.org/maven2/org/scala-lang/scala-reflect/2.12.14/scala-reflect-2.12.14.jar,,,,,,,,2.12.15
