,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
93304,org.scala-lang.scala3-library,2.3.1,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.3.1/scala-library-2.3.1.jar,508,,,,,,,2.3.3
93305,org.scala-lang.scala3-library,2.3.3,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.3.3/scala-library-2.3.3.jar,591,0,0,0,0,102,15,2.4.0
93312,org.scala-lang.scala3-library,2.4.0,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.4.0/scala-library-2.4.0.jar,618,1,0,0,0,33,7,2.5.0
93311,org.scala-lang.scala3-library,2.5.0,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.5.0/scala-library-2.5.0.jar,682,0,0,0,0,79,15,2.5.1
93310,org.scala-lang.scala3-library,2.5.1,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.5.1/scala-library-2.5.1.jar,684,0,0,0,0,25,23,2.6.0
93309,org.scala-lang.scala3-library,2.6.0,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.6.0/scala-library-2.6.0.jar,997,3,0,3,0,314,7,2.6.1
93308,org.scala-lang.scala3-library,2.6.1,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.6.1/scala-library-2.6.1.jar,1131,0,0,2,1,824,691,2.7.0
93307,org.scala-lang.scala3-library,2.7.0,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.7.0/scala-library-2.7.0.jar,1137,0,0,0,0,271,264,2.7.1
93306,org.scala-lang.scala3-library,2.7.1,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.7.1/scala-library-2.7.1.jar,1226,1,0,0,0,107,19,2.7.2
93281,org.scala-lang.scala3-library,2.7.2,11/24/2008,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.7.2/scala-library-2.7.2.jar,655,8,621,2,1,78,27,2.7.3
93280,org.scala-lang.scala3-library,2.7.3,1/14/2009,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.7.3/scala-library-2.7.3.jar,652,0,6,0,0,4,1,2.7.4
93279,org.scala-lang.scala3-library,2.7.4,4/24/2009,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.7.4.final/scala-library-2.7.4.final.jar,1325,673,0,0,0,0,0,2.7.5
93278,org.scala-lang.scala3-library,2.7.5,6/2/2009,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.7.5/scala-library-2.7.5.jar,1325,0,0,0,0,0,0,2.7.6
93277,org.scala-lang.scala3-library,2.7.6,9/10/2009,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.7.6/scala-library-2.7.6.jar,1325,0,0,0,0,0,0,2.7.7
93276,org.scala-lang.scala3-library,2.7.7,10/28/2009,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.7.7/scala-library-2.7.7.jar,1354,0,0,0,0,33,1,2.8.0
93286,org.scala-lang.scala3-library,2.8.0,7/14/2010,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.8.0/scala-library-2.8.0.jar,2012,6,2,8,1,1311,609,2.8.1
93285,org.scala-lang.scala3-library,2.8.1,11/9/2010,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.8.1/scala-library-2.8.1.jar,2286,255,0,0,0,25,6,2.8.2
93693,org.scala-lang.scala3-library,2.8.2,9/27/2011,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.8.2/scala-library-2.8.2.jar,2285,0,0,0,0,0,1,2.9.0
93692,org.scala-lang.scala3-library,2.9.0,5/11/2011,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.9.0/scala-library-2.9.0.jar,2783,0,0,18,0,779,298,2.9.0.1
93691,org.scala-lang.scala3-library,2.9.0.1,5/24/2011,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.9.0-1/scala-library-2.9.0-1.jar,2777,0,0,0,0,0,6,2.9.1
93667,org.scala-lang.scala3-library,2.9.1,8/31/2011,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.9.1/scala-library-2.9.1.jar,2730,0,0,0,0,73,120,2.9.1.1
93657,org.scala-lang.scala3-library,2.9.1.1,3/4/2012,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.9.1-1/scala-library-2.9.1-1.jar,2730,0,0,0,0,0,0,2.9.2
93656,org.scala-lang.scala3-library,2.9.2,4/13/2012,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.9.2/scala-library-2.9.2.jar,2730,0,0,0,0,4,4,2.9.3
93658,org.scala-lang.scala3-library,2.9.3,2/28/2013,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.9.3/scala-library-2.9.3.jar,2799,0,0,0,0,73,4,2.10.0
93666,org.scala-lang.scala3-library,2.10.0,12/20/2012,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.10.0/scala-library-2.10.0.jar,2236,0,0,23,3,422,1009,2.10.1
93665,org.scala-lang.scala3-library,2.10.1,3/12/2013,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.10.1/scala-library-2.10.1.jar,2266,0,0,0,0,65,35,2.10.2
93664,org.scala-lang.scala3-library,2.10.2,6/6/2013,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.10.2/scala-library-2.10.2.jar,2270,0,0,0,0,4,0,2.10.3
93662,org.scala-lang.scala3-library,2.10.3,9/27/2013,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.10.3/scala-library-2.10.3.jar,2273,0,0,0,0,11,8,2.10.4
93661,org.scala-lang.scala3-library,2.10.4,3/18/2014,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.10.4/scala-library-2.10.4.jar,2274,0,0,0,0,5,4,2.10.5
93660,org.scala-lang.scala3-library,2.10.5,2/27/2015,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.10.5/scala-library-2.10.5.jar,2275,0,0,0,0,2,1,2.10.6
93659,org.scala-lang.scala3-library,2.10.6,9/18/2015,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.10.6/scala-library-2.10.6.jar,2273,0,0,0,0,0,2,2.10.7
93668,org.scala-lang.scala3-library,2.10.7,11/3/2017,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.10.7/scala-library-2.10.7.jar,2273,0,0,0,0,0,0,2.11.0
93737,org.scala-lang.scala3-library,2.11.0,4/16/2014,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.0/scala-library-2.11.0.jar,1618,1,0,6,1,116,777,2.11.1
93736,org.scala-lang.scala3-library,2.11.1,5/20/2014,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.1/scala-library-2.11.1.jar,1618,0,0,0,0,0,0,2.11.2
93735,org.scala-lang.scala3-library,2.11.2,7/23/2014,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.2/scala-library-2.11.2.jar,1619,0,0,0,0,1,0,2.11.3
93734,org.scala-lang.scala3-library,2.11.3,10/10/2014,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.3/scala-library-2.11.3.jar,1620,0,0,0,0,4,3,2.11.4
93733,org.scala-lang.scala3-library,2.11.4,10/23/2014,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.4/scala-library-2.11.4.jar,1620,0,0,0,0,0,0,2.11.5
93732,org.scala-lang.scala3-library,2.11.5,1/7/2015,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.5/scala-library-2.11.5.jar,1620,0,0,0,0,0,0,2.11.6
93731,org.scala-lang.scala3-library,2.11.6,2/26/2015,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.6/scala-library-2.11.6.jar,1618,0,0,0,0,1,3,2.11.7
93730,org.scala-lang.scala3-library,2.11.7,6/22/2015,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.7/scala-library-2.11.7.jar,1615,0,0,0,0,1,4,2.11.8
93729,org.scala-lang.scala3-library,2.11.8,3/4/2016,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.8/scala-library-2.11.8.jar,1616,0,0,0,0,2,1,2.11.9
93728,org.scala-lang.scala3-library,2.11.9,3/28/2017,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.9/scala-library-2.11.9.jar,1618,0,0,0,0,2,0,2.11.10
93738,org.scala-lang.scala3-library,2.11.10,4/5/2017,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.10/scala-library-2.11.10.jar,1618,0,0,0,0,0,0,2.11.11
93740,org.scala-lang.scala3-library,2.11.11,4/13/2017,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.11/scala-library-2.11.11.jar,1618,0,0,0,0,0,0,2.11.12
93749,org.scala-lang.scala3-library,2.11.12,11/3/2017,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.11.12/scala-library-2.11.12.jar,1618,0,0,0,0,0,0,2.12.0
93748,org.scala-lang.scala3-library,2.12.0,10/28/2016,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.0/scala-library-2.12.0.jar,729,0,0,13,2,124,1024,2.12.1
93747,org.scala-lang.scala3-library,2.12.1,12/5/2016,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.1/scala-library-2.12.1.jar,729,0,0,0,0,0,0,2.12.2
93746,org.scala-lang.scala3-library,2.12.2,4/13/2017,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.2/scala-library-2.12.2.jar,729,0,0,0,0,0,0,2.12.3
93745,org.scala-lang.scala3-library,2.12.3,7/25/2017,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.3/scala-library-2.12.3.jar,730,0,0,0,0,1,0,2.12.4
93744,org.scala-lang.scala3-library,2.12.4,10/11/2017,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.4/scala-library-2.12.4.jar,740,0,0,10,0,0,0,2.12.5
93743,org.scala-lang.scala3-library,2.12.5,3/16/2018,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.5/scala-library-2.12.5.jar,740,0,0,0,0,0,0,2.12.6
93742,org.scala-lang.scala3-library,2.12.6,4/27/2018,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.6/scala-library-2.12.6.jar,740,0,0,0,0,0,0,2.12.7
93741,org.scala-lang.scala3-library,2.12.7,9/27/2018,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.7/scala-library-2.12.7.jar,740,0,0,0,0,0,0,2.12.8
93727,org.scala-lang.scala3-library,2.12.8,12/4/2018,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.8/scala-library-2.12.8.jar,740,0,0,1,1,11,11,2.12.9
93726,org.scala-lang.scala3-library,2.12.9,8/5/2019,https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.9/scala-library-2.12.9.jar,740,0,0,0,0,0,0,2.12.10
