,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
74125,org.scoverage.scalac-scoverage-runtime,1.0.0,2014-11-20,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.11/1.0.0/scalac-scoverage-runtime_2.11-1.0.0.jar,,,,,,,,1.0.1
74126,org.scoverage.scalac-scoverage-runtime,1.0.1,2014-11-28,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.11/1.0.1/scalac-scoverage-runtime_2.11-1.0.1.jar,,,,,,,,1.0.2
74127,org.scoverage.scalac-scoverage-runtime,1.0.2,2014-12-22,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.11/1.0.2/scalac-scoverage-runtime_2.11-1.0.2.jar,,,,,,,,1.0.3
74128,org.scoverage.scalac-scoverage-runtime,1.0.3,2015-01-23,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.11/1.0.3/scalac-scoverage-runtime_2.11-1.0.3.jar,,,,,,,,1.0.4
74129,org.scoverage.scalac-scoverage-runtime,1.0.4,2015-01-24,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.11/1.0.4/scalac-scoverage-runtime_2.11-1.0.4.jar,,,,,,,,1.1.0
74130,org.scoverage.scalac-scoverage-runtime,1.1.0,2015-04-26,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.11/1.1.0/scalac-scoverage-runtime_2.11-1.1.0.jar,,,,,,,,1.1.1
74131,org.scoverage.scalac-scoverage-runtime,1.1.1,2015-07-22,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.11/1.1.1/scalac-scoverage-runtime_2.11-1.1.1.jar,,,,,,,,1.2.0
74132,org.scoverage.scalac-scoverage-runtime,1.2.0,2016-09-25,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.11/1.2.0/scalac-scoverage-runtime_2.11-1.2.0.jar,,,,,,,,1.3.0
74133,org.scoverage.scalac-scoverage-runtime,1.3.0,2016-11-06,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.12/1.3.0/scalac-scoverage-runtime_2.12-1.3.0.jar,,,,,,,,1.3.1
74134,org.scoverage.scalac-scoverage-runtime,1.3.1,2017-08-25,https://repo1.maven.org/maven2/org/scoverage/scalac-scoverage-runtime_2.12/1.3.1/scalac-scoverage-runtime_2.12-1.3.1.jar,,,,,,,,1.4.0
