,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
79136,org.skife.config.config-magic,0.4,2010-06-01,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.4/config-magic-0.4.jar,2,,,,,,,0.5
79137,org.skife.config.config-magic,0.5,2010-10-05,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.5/config-magic-0.5.jar,2,0,0,0,0,0,0,0.6
79138,org.skife.config.config-magic,0.6,2010-11-28,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.6/config-magic-0.6.jar,2,0,0,0,0,0,0,0.7
79139,org.skife.config.config-magic,0.7,2010-12-03,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.7/config-magic-0.7.jar,2,0,0,0,0,0,0,0.8
79140,org.skife.config.config-magic,0.8,2011-05-27,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.8/config-magic-0.8.jar,2,0,0,0,0,0,0,0.9
79141,org.skife.config.config-magic,0.9,2011-08-01,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.9/config-magic-0.9.jar,2,0,0,0,0,0,0,0.11
79142,org.skife.config.config-magic,0.11,2012-01-02,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.11/config-magic-0.11.jar,2,0,0,0,0,0,0,0.12
79124,org.skife.config.config-magic,0.12,2012-01-04,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.12/config-magic-0.12.jar,2,0,0,0,0,0,0,0.13
79143,org.skife.config.config-magic,0.13,2012-01-04,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.13/config-magic-0.13.jar,2,0,0,0,0,0,0,0.14
79123,org.skife.config.config-magic,0.14,2012-05-04,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.14/config-magic-0.14.jar,2,0,0,0,0,0,0,0.15
79121,org.skife.config.config-magic,0.15,2013-03-05,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.15/config-magic-0.15.jar,2,0,0,0,0,0,0,0.17
79104,org.skife.config.config-magic,0.17,2013-03-12,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.17/config-magic-0.17.jar,2,0,0,0,0,0,0,0.22
79105,org.skife.config.config-magic,0.22,2021-11-09,https://repo1.maven.org/maven2/org/skife/config/config-magic/0.22/config-magic-0.22.jar,: 2,0,0,0,0,0,0,
