,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
78816,org.slf4j.slf4j-api,1.1.0,2006-12-20,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.1.0/slf4j-api-1.1.0.jar,,,,,,,,1.2
78795,org.slf4j.slf4j-api,1.2,2007-01-24,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.2/slf4j-api-1.2.jar,2,,,,,,,1.3.0
78771,org.slf4j.slf4j-api,1.3.0,2007-02-25,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.3.0/slf4j-api-1.3.0.jar,2,0,0,0,0,1,1,1.3.1
78770,org.slf4j.slf4j-api,1.3.1,2007-04-15,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.3.1/slf4j-api-1.3.1.jar,2,0,0,0,0,0,0,1.4.0
78769,org.slf4j.slf4j-api,1.4.0,2007-05-22,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.4.0/slf4j-api-1.4.0.jar,2,0,0,0,0,0,0,1.4.1
78768,org.slf4j.slf4j-api,1.4.1,2007-07-04,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.4.1/slf4j-api-1.4.1.jar,2,0,0,0,0,0,0,1.4.2
78767,org.slf4j.slf4j-api,1.4.2,2007-07-12,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.4.2/slf4j-api-1.4.2.jar,2,0,0,0,0,0,0,1.4.3
78766,org.slf4j.slf4j-api,1.4.3,2007-08-20,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.4.3/slf4j-api-1.4.3.jar,2,0,0,0,0,0,0,1.5.0
78765,org.slf4j.slf4j-api,1.5.0,2008-02-26,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.0/slf4j-api-1.5.0.jar,2,0,0,0,0,0,0,1.5.2
78764,org.slf4j.slf4j-api,1.5.2,2008-06-09,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.2/slf4j-api-1.5.2.jar,2,0,0,0,0,0,0,1.5.3
78763,org.slf4j.slf4j-api,1.5.3,2008-09-12,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.3/slf4j-api-1.5.3.jar,5,0,0,1,0,2,0,1.5.4
78762,org.slf4j.slf4j-api,1.5.4,2008-10-16,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.4/slf4j-api-1.5.4.jar,5,0,0,0,0,0,0,1.5.5
78761,org.slf4j.slf4j-api,1.5.5,2008-10-17,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.5/slf4j-api-1.5.5.jar,5,0,0,0,0,0,0,1.5.6
78760,org.slf4j.slf4j-api,1.5.6,2008-11-21,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.6/slf4j-api-1.5.6.jar,5,0,0,0,0,0,0,1.5.7
78759,org.slf4j.slf4j-api,1.5.7,2009-06-10,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.7/slf4j-api-1.5.7.jar,5,0,0,0,0,0,0,1.5.8
78758,org.slf4j.slf4j-api,1.5.8,2009-06-11,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.8/slf4j-api-1.5.8.jar,5,0,0,0,0,0,0,1.5.10
78757,org.slf4j.slf4j-api,1.5.10,2009-12-02,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.10/slf4j-api-1.5.10.jar,5,0,0,0,0,0,0,1.5.11
78756,org.slf4j.slf4j-api,1.5.11,2010-02-25,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.5.11/slf4j-api-1.5.11.jar,5,0,0,0,0,0,0,1.6.0
78772,org.slf4j.slf4j-api,1.6.0,2010-05-08,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.6.0/slf4j-api-1.6.0.jar,5,0,0,0,0,0,0,1.6.1
78793,org.slf4j.slf4j-api,1.6.1,2010-07-05,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.6.1/slf4j-api-1.6.1.jar,5,0,0,0,0,0,0,1.6.2
78773,org.slf4j.slf4j-api,1.6.2,2011-08-18,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.6.2/slf4j-api-1.6.2.jar,5,0,0,0,0,0,0,1.6.3
78792,org.slf4j.slf4j-api,1.6.3,2011-10-17,https://repo1.maven.org/maven2/org/slf4j/slf4j-api/1.6.3/slf4j-api-1.6.3.jar,5,0,0,0,0,0,0,1.6.4
