,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
8875,org.slf4j.slf4j-ext,1.5.4,2008-10-16,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.5.4/slf4j-ext-1.5.4.jar,,,,,,,,1.5.5
8877,org.slf4j.slf4j-ext,1.5.5,2008-10-17,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.5.5/slf4j-ext-1.5.5.jar,,,,,,,,1.5.6
8889,org.slf4j.slf4j-ext,1.5.6,2008-11-21,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.5.6/slf4j-ext-1.5.6.jar,,,,,,,,1.5.7
8878,org.slf4j.slf4j-ext,1.5.7,2009-06-10,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.5.7/slf4j-ext-1.5.7.jar,1,,,,,,,1.5.8
8879,org.slf4j.slf4j-ext,1.5.8,2009-06-11,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.5.8/slf4j-ext-1.5.8.jar,1,0,0,0,0,0,0,1.5.10
8880,org.slf4j.slf4j-ext,1.5.10,2009-12-02,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.5.10/slf4j-ext-1.5.10.jar,1,0,0,0,0,0,0,1.5.11
8881,org.slf4j.slf4j-ext,1.5.11,2010-02-25,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.5.11/slf4j-ext-1.5.11.jar,1,0,0,0,0,0,0,1.6.0
8882,org.slf4j.slf4j-ext,1.6.0,2010-05-08,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.6.0/slf4j-ext-1.6.0.jar,1,0,0,0,0,0,0,1.6.1
8883,org.slf4j.slf4j-ext,1.6.1,2010-07-05,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.6.1/slf4j-ext-1.6.1.jar,1,0,0,0,0,0,0,1.6.2
8884,org.slf4j.slf4j-ext,1.6.2,2011-08-18,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.6.2/slf4j-ext-1.6.2.jar,1,0,0,0,0,0,0,1.6.3
8885,org.slf4j.slf4j-ext,1.6.3,2011-10-17,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.6.3/slf4j-ext-1.6.3.jar,1,0,0,0,0,0,0,1.6.4
8886,org.slf4j.slf4j-ext,1.6.4,2011-10-31,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.6.4/slf4j-ext-1.6.4.jar,1,0,0,0,0,0,0,1.6.5
8887,org.slf4j.slf4j-ext,1.6.5,2012-06-04,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.6.5/slf4j-ext-1.6.5.jar,1,0,0,0,0,0,0,1.6.6
8888,org.slf4j.slf4j-ext,1.6.6,2012-06-11,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.6.6/slf4j-ext-1.6.6.jar,1,0,0,0,0,0,0,1.7.0
8865,org.slf4j.slf4j-ext,1.7.0,2012-09-06,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.0/slf4j-ext-1.7.0.jar,1,0,0,0,0,0,0,1.7.1
8864,org.slf4j.slf4j-ext,1.7.1,2012-09-14,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.1/slf4j-ext-1.7.1.jar,1,0,0,0,0,0,0,1.7.2
8863,org.slf4j.slf4j-ext,1.7.2,2012-10-11,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.2/slf4j-ext-1.7.2.jar,1,0,0,0,0,0,0,1.7.3
8862,org.slf4j.slf4j-ext,1.7.3,2013-03-15,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.3/slf4j-ext-1.7.3.jar,1,0,0,0,0,0,0,1.7.4
8839,org.slf4j.slf4j-ext,1.7.4,2013-03-18,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.4/slf4j-ext-1.7.4.jar,1,0,0,0,0,0,0,1.7.5
8840,org.slf4j.slf4j-ext,1.7.5,2013-03-25,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.5/slf4j-ext-1.7.5.jar,1,0,0,0,0,0,0,1.7.6
8841,org.slf4j.slf4j-ext,1.7.6,2014-02-05,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.6/slf4j-ext-1.7.6.jar,1,0,0,0,0,0,0,1.7.7
8842,org.slf4j.slf4j-ext,1.7.7,2014-04-04,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.7/slf4j-ext-1.7.7.jar,1,0,0,0,0,0,0,1.7.8
8843,org.slf4j.slf4j-ext,1.7.8,2014-12-14,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.8/slf4j-ext-1.7.8.jar,1,0,0,0,0,0,0,1.7.9
8844,org.slf4j.slf4j-ext,1.7.9,2014-12-16,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.9/slf4j-ext-1.7.9.jar,1,0,0,0,0,0,0,1.7.10
8845,org.slf4j.slf4j-ext,1.7.10,2015-01-06,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.10/slf4j-ext-1.7.10.jar,1,0,0,0,0,0,0,1.7.11
8846,org.slf4j.slf4j-ext,1.7.11,2015-03-26,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.11/slf4j-ext-1.7.11.jar,1,0,0,0,0,0,0,1.7.12
8847,org.slf4j.slf4j-ext,1.7.12,2015-03-26,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.12/slf4j-ext-1.7.12.jar,1,0,0,0,0,0,0,1.7.13
8848,org.slf4j.slf4j-ext,1.7.13,2015-11-10,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.13/slf4j-ext-1.7.13.jar,1,0,0,0,0,0,0,1.7.14
8849,org.slf4j.slf4j-ext,1.7.14,2016-01-24,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.14/slf4j-ext-1.7.14.jar,1,0,0,0,0,0,0,1.7.15
8850,org.slf4j.slf4j-ext,1.7.15,2016-02-09,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.15/slf4j-ext-1.7.15.jar,1,0,0,0,0,0,0,1.7.16
8851,org.slf4j.slf4j-ext,1.7.16,2016-02-11,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.16/slf4j-ext-1.7.16.jar,1,0,0,0,0,0,0,1.7.18
8852,org.slf4j.slf4j-ext,1.7.18,2016-02-26,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.18/slf4j-ext-1.7.18.jar,1,0,0,0,0,0,0,1.7.19
8853,org.slf4j.slf4j-ext,1.7.19,2016-03-14,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.19/slf4j-ext-1.7.19.jar,1,0,0,0,0,0,0,1.7.20
8854,org.slf4j.slf4j-ext,1.7.20,2016-03-29,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.20/slf4j-ext-1.7.20.jar,1,0,0,0,0,0,0,1.7.21
8855,org.slf4j.slf4j-ext,1.7.21,2016-04-04,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.21/slf4j-ext-1.7.21.jar,1,0,0,0,0,0,0,1.7.22
8856,org.slf4j.slf4j-ext,1.7.22,2016-12-13,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.22/slf4j-ext-1.7.22.jar,1,0,0,0,0,0,0,1.7.23
8857,org.slf4j.slf4j-ext,1.7.23,2017-02-14,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.23/slf4j-ext-1.7.23.jar,1,0,0,0,0,0,0,1.7.24
8858,org.slf4j.slf4j-ext,1.7.24,2017-02-24,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.24/slf4j-ext-1.7.24.jar,1,0,0,0,0,0,0,1.7.25
8859,org.slf4j.slf4j-ext,1.7.25,2017-03-16,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.25/slf4j-ext-1.7.25.jar,,0,0,0,0,0,0,1.7.26
8860,org.slf4j.slf4j-ext,1.7.26,2019-02-19,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.26/slf4j-ext-1.7.26.jar,,,,,,,,1.7.27
8861,org.slf4j.slf4j-ext,1.7.27,2019-08-06,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.27/slf4j-ext-1.7.27.jar,,,,,,,,1.7.28
8785,org.slf4j.slf4j-ext,1.7.28,2019-08-10,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.28/slf4j-ext-1.7.28.jar,,,,,,,,1.7.29
8784,org.slf4j.slf4j-ext,1.7.29,2019-10-31,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.29/slf4j-ext-1.7.29.jar,,,,,,,,1.7.30
8783,org.slf4j.slf4j-ext,1.7.30,2019-12-16,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.30/slf4j-ext-1.7.30.jar,,,,,,,,1.7.31
8735,org.slf4j.slf4j-ext,1.7.31,2021-06-18,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.31/slf4j-ext-1.7.31.jar,,,,,,,,1.7.32
8711,org.slf4j.slf4j-ext,1.7.32,2021-07-20,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.32/slf4j-ext-1.7.32.jar,,,,,,,,1.7.33
8712,org.slf4j.slf4j-ext,1.7.33,2022-01-13,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.33/slf4j-ext-1.7.33.jar,,,,,,,,1.7.34
8713,org.slf4j.slf4j-ext,1.7.34,2022-01-25,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.34/slf4j-ext-1.7.34.jar,,,,,,,,1.7.35
8714,org.slf4j.slf4j-ext,1.7.35,2022-01-25,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.35/slf4j-ext-1.7.35.jar,,,,,,,,1.7.36
8715,org.slf4j.slf4j-ext,1.7.36,2022-02-08,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/1.7.36/slf4j-ext-1.7.36.jar,,,,,,,,2.0.0
8716,org.slf4j.slf4j-ext,2.0.0,2022-08-20,https://repo1.maven.org/maven2/org/slf4j/slf4j-ext/2.0.0/slf4j-ext-2.0.0.jar,,,,,,,,2.0.1
