,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
84431,org.slf4j.slf4j-jdk14,1.0,2006-04-30,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.0/slf4j-jdk14-1.0.jar,,,,,,,,1.0.1
84430,org.slf4j.slf4j-jdk14,1.0.1,2006-07-02,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.0.1/slf4j-jdk14-1.0.1.jar,,,,,,,,1.1.0
84632,org.slf4j.slf4j-jdk14,1.1.0,2006-12-20,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.1.0/slf4j-jdk14-1.1.0.jar,,,,,,,,1.2
84714,org.slf4j.slf4j-jdk14,1.2,2007-01-24,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.2/slf4j-jdk14-1.2.jar,,,,,,,,1.3.0
84713,org.slf4j.slf4j-jdk14,1.3.0,2007-02-25,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.3.0/slf4j-jdk14-1.3.0.jar,,,,,,,,1.3.1
84712,org.slf4j.slf4j-jdk14,1.3.1,2007-04-15,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.3.1/slf4j-jdk14-1.3.1.jar,,,,,,,,1.4.0
84711,org.slf4j.slf4j-jdk14,1.4.0,2007-05-22,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.4.0/slf4j-jdk14-1.4.0.jar,,,,,,,,1.4.1
84710,org.slf4j.slf4j-jdk14,1.4.1,2007-07-04,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.4.1/slf4j-jdk14-1.4.1.jar,,,,,,,,1.4.2
84709,org.slf4j.slf4j-jdk14,1.4.2,2007-07-12,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.4.2/slf4j-jdk14-1.4.2.jar,,,,,,,,1.4.3
84708,org.slf4j.slf4j-jdk14,1.4.3,2007-08-20,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.4.3/slf4j-jdk14-1.4.3.jar,,,,,,,,1.5.0
84707,org.slf4j.slf4j-jdk14,1.5.0,2008-02-26,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.5.0/slf4j-jdk14-1.5.0.jar,,,,,,,,1.5.2
84706,org.slf4j.slf4j-jdk14,1.5.2,2008-06-09,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.5.2/slf4j-jdk14-1.5.2.jar,,,,,,,,1.5.3
84705,org.slf4j.slf4j-jdk14,1.5.3,2008-09-12,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.5.3/slf4j-jdk14-1.5.3.jar,,,,,,,,1.5.4
84704,org.slf4j.slf4j-jdk14,1.5.4,2008-10-16,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.5.4/slf4j-jdk14-1.5.4.jar,,,,,,,,1.5.5
84703,org.slf4j.slf4j-jdk14,1.5.5,2008-10-17,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.5.5/slf4j-jdk14-1.5.5.jar,,,,,,,,1.5.6
84702,org.slf4j.slf4j-jdk14,1.5.6,2008-11-21,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.5.6/slf4j-jdk14-1.5.6.jar,,,,,,,,1.5.7
84701,org.slf4j.slf4j-jdk14,1.5.7,2009-06-10,https://repo1.maven.org/maven2/org/slf4j/slf4j-jdk14/1.5.7/slf4j-jdk14-1.5.7.jar,,,,,,,,1.5.8
