,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
37781,org.springframework.amqp.spring-amqp,1.0.0,2011-08-24,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.0.0.RELEASE/spring-amqp-1.0.0.RELEASE.jar,,,,,,,,1.1.0
37782,org.springframework.amqp.spring-amqp,1.1.0,2012-05-11,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.1.0.RELEASE/spring-amqp-1.1.0.RELEASE.jar,,,,,,,,1.1.1
37783,org.springframework.amqp.spring-amqp,1.1.1,2012-05-31,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.1.1.RELEASE/spring-amqp-1.1.1.RELEASE.jar,,,,,,,,1.1.2
37784,org.springframework.amqp.spring-amqp,1.1.2,2012-08-23,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.1.2.RELEASE/spring-amqp-1.1.2.RELEASE.jar,,,,,,,,1.1.3
37785,org.springframework.amqp.spring-amqp,1.1.3,2012-11-06,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.1.3.RELEASE/spring-amqp-1.1.3.RELEASE.jar,,,,,,,,1.1.4
37786,org.springframework.amqp.spring-amqp,1.1.4,2013-03-05,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.1.4.RELEASE/spring-amqp-1.1.4.RELEASE.jar,,,,,,,,1.2.0
37787,org.springframework.amqp.spring-amqp,1.2.0,2013-07-12,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.2.0.RELEASE/spring-amqp-1.2.0.RELEASE.jar,2,,,,,,,1.2.1
37788,org.springframework.amqp.spring-amqp,1.2.1,2014-01-13,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.2.1.RELEASE/spring-amqp-1.2.1.RELEASE.jar,2,0,0,0,0,0,0,1.2.2
37789,org.springframework.amqp.spring-amqp,1.2.2,2014-03-27,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.2.2.RELEASE/spring-amqp-1.2.2.RELEASE.jar,2,0,0,0,0,0,0,1.3.0
37790,org.springframework.amqp.spring-amqp,1.3.0,2014-03-27,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.0.RELEASE/spring-amqp-1.3.0.RELEASE.jar,2,0,0,0,0,0,0,1.3.1
37791,org.springframework.amqp.spring-amqp,1.3.1,2014-03-30,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.1.RELEASE/spring-amqp-1.3.1.RELEASE.jar,2,0,0,0,0,0,0,1.3.2
37793,org.springframework.amqp.spring-amqp,1.3.2,2014-04-24,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.2.RELEASE/spring-amqp-1.3.2.RELEASE.jar,2,0,0,0,0,0,0,1.3.3
37805,org.springframework.amqp.spring-amqp,1.3.3,2014-05-14,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.3.RELEASE/spring-amqp-1.3.3.RELEASE.jar,2,0,0,0,0,0,0,1.3.4
37794,org.springframework.amqp.spring-amqp,1.3.4,2014-05-29,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.4.RELEASE/spring-amqp-1.3.4.RELEASE.jar,2,0,0,0,0,0,0,1.3.5
37795,org.springframework.amqp.spring-amqp,1.3.5,2014-06-27,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.5.RELEASE/spring-amqp-1.3.5.RELEASE.jar,2,0,0,0,0,0,0,1.3.6
37796,org.springframework.amqp.spring-amqp,1.3.6,2014-09-04,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.6.RELEASE/spring-amqp-1.3.6.RELEASE.jar,2,0,0,0,0,0,0,1.3.7
37797,org.springframework.amqp.spring-amqp,1.3.7,2014-11-11,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.7.RELEASE/spring-amqp-1.3.7.RELEASE.jar,2,0,0,0,0,0,0,1.3.8
37798,org.springframework.amqp.spring-amqp,1.3.8,2015-01-08,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.8.RELEASE/spring-amqp-1.3.8.RELEASE.jar,2,0,0,0,0,0,0,1.3.9
37799,org.springframework.amqp.spring-amqp,1.3.9,2015-02-02,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.3.9.RELEASE/spring-amqp-1.3.9.RELEASE.jar,2,0,0,0,0,0,0,1.4.0
37800,org.springframework.amqp.spring-amqp,1.4.0,2014-11-11,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.4.0.RELEASE/spring-amqp-1.4.0.RELEASE.jar,2,0,0,0,0,0,0,1.4.1
37801,org.springframework.amqp.spring-amqp,1.4.1,2014-12-12,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.4.1.RELEASE/spring-amqp-1.4.1.RELEASE.jar,2,0,0,0,0,0,0,1.4.2
37802,org.springframework.amqp.spring-amqp,1.4.2,2015-01-08,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.4.2.RELEASE/spring-amqp-1.4.2.RELEASE.jar,2,0,0,0,0,0,0,1.4.3
37803,org.springframework.amqp.spring-amqp,1.4.3,2015-02-02,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.4.3.RELEASE/spring-amqp-1.4.3.RELEASE.jar,2,0,0,0,0,0,0,1.4.4
37804,org.springframework.amqp.spring-amqp,1.4.4,2015-04-03,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.4.4.RELEASE/spring-amqp-1.4.4.RELEASE.jar,2,0,0,0,0,0,0,1.4.5
37780,org.springframework.amqp.spring-amqp,1.4.5,2015-05-07,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.4.5.RELEASE/spring-amqp-1.4.5.RELEASE.jar,2,0,0,0,0,0,0,1.4.6
37779,org.springframework.amqp.spring-amqp,1.4.6,2015-10-02,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.4.6.RELEASE/spring-amqp-1.4.6.RELEASE.jar,2,0,0,0,0,0,0,1.5.0
37778,org.springframework.amqp.spring-amqp,1.5.0,2015-09-10,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.5.0.RELEASE/spring-amqp-1.5.0.RELEASE.jar,2,0,0,0,0,0,0,1.5.1
37777,org.springframework.amqp.spring-amqp,1.5.1,2015-10-02,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.5.1.RELEASE/spring-amqp-1.5.1.RELEASE.jar,2,0,0,0,0,0,0,1.5.2
37754,org.springframework.amqp.spring-amqp,1.5.2,2015-11-13,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.5.2.RELEASE/spring-amqp-1.5.2.RELEASE.jar,2,0,0,0,0,0,0,1.5.3
37755,org.springframework.amqp.spring-amqp,1.5.3,2015-12-23,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.5.3.RELEASE/spring-amqp-1.5.3.RELEASE.jar,2,0,0,0,0,0,0,1.5.4
37756,org.springframework.amqp.spring-amqp,1.5.4,2016-02-12,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.5.4.RELEASE/spring-amqp-1.5.4.RELEASE.jar,2,0,0,0,0,0,0,1.5.5
37757,org.springframework.amqp.spring-amqp,1.5.5,2016-03-24,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.5.5.RELEASE/spring-amqp-1.5.5.RELEASE.jar,2,0,0,0,0,0,0,1.5.6
37758,org.springframework.amqp.spring-amqp,1.5.6,2016-05-06,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.5.6.RELEASE/spring-amqp-1.5.6.RELEASE.jar,2,0,0,0,0,0,0,1.5.7
37759,org.springframework.amqp.spring-amqp,1.5.7,2017-09-08,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.5.7.RELEASE/spring-amqp-1.5.7.RELEASE.jar,2,0,0,0,0,0,0,1.6.0
37760,org.springframework.amqp.spring-amqp,1.6.0,2016-05-31,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.6.0.RELEASE/spring-amqp-1.6.0.RELEASE.jar,2,0,0,0,0,0,0,1.6.1
37761,org.springframework.amqp.spring-amqp,1.6.1,2016-07-20,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.6.1.RELEASE/spring-amqp-1.6.1.RELEASE.jar,2,0,0,0,0,0,0,1.6.2
37762,org.springframework.amqp.spring-amqp,1.6.2,2016-08-30,https://repo1.maven.org/maven2/org/springframework/amqp/spring-amqp/1.6.2.RELEASE/spring-amqp-1.6.2.RELEASE.jar,2,0,0,0,0,0,0,1.6.3
