,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
40508,org.springframework.amqp.spring-rabbit,1.0.0,2011-08-24,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.0.0.RELEASE/spring-rabbit-1.0.0.RELEASE.jar,,,,,,,,1.1.0
40509,org.springframework.amqp.spring-rabbit,1.1.0,2012-05-11,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.1.0.RELEASE/spring-rabbit-1.1.0.RELEASE.jar,,,,,,,,1.1.1
40510,org.springframework.amqp.spring-rabbit,1.1.1,2012-05-31,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.1.1.RELEASE/spring-rabbit-1.1.1.RELEASE.jar,,,,,,,,1.1.2
40511,org.springframework.amqp.spring-rabbit,1.1.2,2012-08-23,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.1.2.RELEASE/spring-rabbit-1.1.2.RELEASE.jar,,,,,,,,1.1.3
40512,org.springframework.amqp.spring-rabbit,1.1.3,2012-11-06,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.1.3.RELEASE/spring-rabbit-1.1.3.RELEASE.jar,,,,,,,,1.1.4
40513,org.springframework.amqp.spring-rabbit,1.1.4,2013-03-05,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.1.4.RELEASE/spring-rabbit-1.1.4.RELEASE.jar,,,,,,,,1.2.0
40514,org.springframework.amqp.spring-rabbit,1.2.0,2013-07-12,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.2.0.RELEASE/spring-rabbit-1.2.0.RELEASE.jar,,,,,,,,1.2.1
40515,org.springframework.amqp.spring-rabbit,1.2.1,2014-01-13,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.2.1.RELEASE/spring-rabbit-1.2.1.RELEASE.jar,,,,,,,,1.2.2
40516,org.springframework.amqp.spring-rabbit,1.2.2,2014-03-27,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.2.2.RELEASE/spring-rabbit-1.2.2.RELEASE.jar,,,,,,,,1.3.0
40517,org.springframework.amqp.spring-rabbit,1.3.0,2014-03-27,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.0.RELEASE/spring-rabbit-1.3.0.RELEASE.jar,,,,,,,,1.3.1
40519,org.springframework.amqp.spring-rabbit,1.3.1,2014-03-30,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.1.RELEASE/spring-rabbit-1.3.1.RELEASE.jar,,,,,,,,1.3.2
40546,org.springframework.amqp.spring-rabbit,1.3.2,2014-04-24,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.2.RELEASE/spring-rabbit-1.3.2.RELEASE.jar,,,,,,,,1.3.3
40572,org.springframework.amqp.spring-rabbit,1.3.3,2014-05-14,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.3.RELEASE/spring-rabbit-1.3.3.RELEASE.jar,,,,,,,,1.3.4
40547,org.springframework.amqp.spring-rabbit,1.3.4,2014-05-29,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.4.RELEASE/spring-rabbit-1.3.4.RELEASE.jar,,,,,,,,1.3.5
40575,org.springframework.amqp.spring-rabbit,1.3.5,2014-06-27,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.5.RELEASE/spring-rabbit-1.3.5.RELEASE.jar,,,,,,,,1.3.6
40576,org.springframework.amqp.spring-rabbit,1.3.6,2014-09-04,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.6.RELEASE/spring-rabbit-1.3.6.RELEASE.jar,,,,,,,,1.3.7
40577,org.springframework.amqp.spring-rabbit,1.3.7,2014-11-11,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.7.RELEASE/spring-rabbit-1.3.7.RELEASE.jar,,,,,,,,1.3.8
40578,org.springframework.amqp.spring-rabbit,1.3.8,2015-01-08,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.8.RELEASE/spring-rabbit-1.3.8.RELEASE.jar,,,,,,,,1.3.9
40579,org.springframework.amqp.spring-rabbit,1.3.9,2015-02-02,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.3.9.RELEASE/spring-rabbit-1.3.9.RELEASE.jar,,,,,,,,1.4.0
40580,org.springframework.amqp.spring-rabbit,1.4.0,2014-11-11,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.4.0.RELEASE/spring-rabbit-1.4.0.RELEASE.jar,,,,,,,,1.4.1
40581,org.springframework.amqp.spring-rabbit,1.4.1,2014-12-12,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.4.1.RELEASE/spring-rabbit-1.4.1.RELEASE.jar,,,,,,,,1.4.2
40582,org.springframework.amqp.spring-rabbit,1.4.2,2015-01-08,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.4.2.RELEASE/spring-rabbit-1.4.2.RELEASE.jar,,,,,,,,1.4.3
40583,org.springframework.amqp.spring-rabbit,1.4.3,2015-02-02,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.4.3.RELEASE/spring-rabbit-1.4.3.RELEASE.jar,,,,,,,,1.4.4
40584,org.springframework.amqp.spring-rabbit,1.4.4,2015-04-03,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.4.4.RELEASE/spring-rabbit-1.4.4.RELEASE.jar,,,,,,,,1.4.5
40585,org.springframework.amqp.spring-rabbit,1.4.5,2015-05-07,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.4.5.RELEASE/spring-rabbit-1.4.5.RELEASE.jar,,,,,,,,1.4.6
40586,org.springframework.amqp.spring-rabbit,1.4.6,2015-10-02,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.4.6.RELEASE/spring-rabbit-1.4.6.RELEASE.jar,,,,,,,,1.5.0
40587,org.springframework.amqp.spring-rabbit,1.5.0,2015-09-10,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.5.0.RELEASE/spring-rabbit-1.5.0.RELEASE.jar,,,,,,,,1.5.1
40588,org.springframework.amqp.spring-rabbit,1.5.1,2015-10-02,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.5.1.RELEASE/spring-rabbit-1.5.1.RELEASE.jar,,,,,,,,1.5.2
40589,org.springframework.amqp.spring-rabbit,1.5.2,2015-11-13,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.5.2.RELEASE/spring-rabbit-1.5.2.RELEASE.jar,,,,,,,,1.5.3
40590,org.springframework.amqp.spring-rabbit,1.5.3,2015-12-23,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.5.3.RELEASE/spring-rabbit-1.5.3.RELEASE.jar,,,,,,,,1.5.4
40591,org.springframework.amqp.spring-rabbit,1.5.4,2016-02-12,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.5.4.RELEASE/spring-rabbit-1.5.4.RELEASE.jar,,,,,,,,1.5.5
40592,org.springframework.amqp.spring-rabbit,1.5.5,2016-03-24,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.5.5.RELEASE/spring-rabbit-1.5.5.RELEASE.jar,,,,,,,,1.5.6
40593,org.springframework.amqp.spring-rabbit,1.5.6,2016-05-06,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.5.6.RELEASE/spring-rabbit-1.5.6.RELEASE.jar,,,,,,,,1.5.7
40594,org.springframework.amqp.spring-rabbit,1.5.7,2017-09-08,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.5.7.RELEASE/spring-rabbit-1.5.7.RELEASE.jar,,,,,,,,1.6.0
40595,org.springframework.amqp.spring-rabbit,1.6.0,2016-05-31,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.6.0.RELEASE/spring-rabbit-1.6.0.RELEASE.jar,,,,,,,,1.6.1
40596,org.springframework.amqp.spring-rabbit,1.6.1,2016-07-20,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.6.1.RELEASE/spring-rabbit-1.6.1.RELEASE.jar,,,,,,,,1.6.2
40597,org.springframework.amqp.spring-rabbit,1.6.2,2016-08-30,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.6.2.RELEASE/spring-rabbit-1.6.2.RELEASE.jar,,,,,,,,1.6.3
40574,org.springframework.amqp.spring-rabbit,1.6.3,2016-09-28,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.6.3.RELEASE/spring-rabbit-1.6.3.RELEASE.jar,,,,,,,,1.6.4
40598,org.springframework.amqp.spring-rabbit,1.6.4,2016-11-07,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.6.4.RELEASE/spring-rabbit-1.6.4.RELEASE.jar,,,,,,,,1.6.5
40573,org.springframework.amqp.spring-rabbit,1.6.5,2016-11-08,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.6.5.RELEASE/spring-rabbit-1.6.5.RELEASE.jar,,,,,,,,1.6.6
40571,org.springframework.amqp.spring-rabbit,1.6.6,2016-12-21,https://repo1.maven.org/maven2/org/springframework/amqp/spring-rabbit/1.6.6.RELEASE/spring-rabbit-1.6.6.RELEASE.jar,,,,,,,,1.6.7
