,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
86992,org.springframework.boot.spring-boot-starter-aop,1.0.0,2014-04-01,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.0.0.RELEASE/spring-boot-starter-aop-1.0.0.RELEASE.jar,,,,,,,,
86993,org.springframework.boot.spring-boot-starter-aop,1.0.1,2014-04-07,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.0.1.RELEASE/spring-boot-starter-aop-1.0.1.RELEASE.jar,,,,,,,,
87009,org.springframework.boot.spring-boot-starter-aop,1.0.2,2014-04-24,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.0.2.RELEASE/spring-boot-starter-aop-1.0.2.RELEASE.jar,,,,,,,,
86994,org.springframework.boot.spring-boot-starter-aop,1.1.0,2014-06-10,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.0.RELEASE/spring-boot-starter-aop-1.1.0.RELEASE.jar,,,,,,,,
87008,org.springframework.boot.spring-boot-starter-aop,1.1.1,2014-06-11,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.1.RELEASE/spring-boot-starter-aop-1.1.1.RELEASE.jar,,,,,,,,
87007,org.springframework.boot.spring-boot-starter-aop,1.1.2,2014-06-24,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.2.RELEASE/spring-boot-starter-aop-1.1.2.RELEASE.jar,,,,,,,,
87006,org.springframework.boot.spring-boot-starter-aop,1.1.3,2014-06-27,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.3.RELEASE/spring-boot-starter-aop-1.1.3.RELEASE.jar,,,,,,,,
87005,org.springframework.boot.spring-boot-starter-aop,1.1.4,2014-07-08,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.4.RELEASE/spring-boot-starter-aop-1.1.4.RELEASE.jar,,,,,,,,
88462,org.springframework.boot.spring-boot-starter-aop,1.1.5,2014-08-07,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.5.RELEASE/spring-boot-starter-aop-1.1.5.RELEASE.jar,,,,,,,,
88461,org.springframework.boot.spring-boot-starter-aop,1.1.6,2014-09-04,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.6.RELEASE/spring-boot-starter-aop-1.1.6.RELEASE.jar,,,,,,,,
88460,org.springframework.boot.spring-boot-starter-aop,1.1.7,2014-09-26,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.7.RELEASE/spring-boot-starter-aop-1.1.7.RELEASE.jar,,,,,,,,
88459,org.springframework.boot.spring-boot-starter-aop,1.1.8,2014-10-10,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.8.RELEASE/spring-boot-starter-aop-1.1.8.RELEASE.jar,,,,,,,,
88458,org.springframework.boot.spring-boot-starter-aop,1.1.9,2014-11-12,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.9.RELEASE/spring-boot-starter-aop-1.1.9.RELEASE.jar,,,,,,,,
88457,org.springframework.boot.spring-boot-starter-aop,1.1.10,2014-12-11,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.10.RELEASE/spring-boot-starter-aop-1.1.10.RELEASE.jar,,,,,,,,
88456,org.springframework.boot.spring-boot-starter-aop,1.1.11,2015-02-26,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.11.RELEASE/spring-boot-starter-aop-1.1.11.RELEASE.jar,,,,,,,,
88455,org.springframework.boot.spring-boot-starter-aop,1.1.12,2015-03-31,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.1.12.RELEASE/spring-boot-starter-aop-1.1.12.RELEASE.jar,,,,,,,,
88454,org.springframework.boot.spring-boot-starter-aop,1.2.0,2014-12-11,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.2.0.RELEASE/spring-boot-starter-aop-1.2.0.RELEASE.jar,,,,,,,,
88469,org.springframework.boot.spring-boot-starter-aop,1.2.1,2015-01-08,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.2.1.RELEASE/spring-boot-starter-aop-1.2.1.RELEASE.jar,,,,,,,,
88471,org.springframework.boot.spring-boot-starter-aop,1.2.2,2015-02-27,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.2.2.RELEASE/spring-boot-starter-aop-1.2.2.RELEASE.jar,,,,,,,,
88488,org.springframework.boot.spring-boot-starter-aop,1.2.3,2015-03-31,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.2.3.RELEASE/spring-boot-starter-aop-1.2.3.RELEASE.jar,,,,,,,,
88472,org.springframework.boot.spring-boot-starter-aop,1.2.4,2015-06-04,https://repo1.maven.org/maven2/org/springframework/boot/spring-boot-starter-aop/1.2.4.RELEASE/spring-boot-starter-aop-1.2.4.RELEASE.jar,,,,,,,,
