,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
48563,org.springframework.data.spring-data-mongodb,1.0.0,2011-12-22,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.0.0.RELEASE/spring-data-mongodb-1.0.0.RELEASE.jar,,,,,,,,1.0.1
48564,org.springframework.data.spring-data-mongodb,1.0.1,2012-02-11,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.0.1.RELEASE/spring-data-mongodb-1.0.1.RELEASE.jar,,,,,,,,1.0.2
48565,org.springframework.data.spring-data-mongodb,1.0.2,2012-06-20,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.0.2.RELEASE/spring-data-mongodb-1.0.2.RELEASE.jar,,,,,,,,1.0.3
48566,org.springframework.data.spring-data-mongodb,1.0.3,2012-07-24,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.0.3.RELEASE/spring-data-mongodb-1.0.3.RELEASE.jar,,,,,,,,1.0.4
48567,org.springframework.data.spring-data-mongodb,1.0.4,2012-08-24,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.0.4.RELEASE/spring-data-mongodb-1.0.4.RELEASE.jar,,,,,,,,1.1.0
48568,org.springframework.data.spring-data-mongodb,1.1.0,2012-10-10,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.1.0.RELEASE/spring-data-mongodb-1.1.0.RELEASE.jar,,,,,,,,1.1.1
48569,org.springframework.data.spring-data-mongodb,1.1.1,2012-10-17,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.1.1.RELEASE/spring-data-mongodb-1.1.1.RELEASE.jar,,,,,,,,1.1.2
48570,org.springframework.data.spring-data-mongodb,1.1.2,2013-02-08,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.1.2.RELEASE/spring-data-mongodb-1.1.2.RELEASE.jar,,,,,,,,1.2.0
48571,org.springframework.data.spring-data-mongodb,1.2.0,2013-02-13,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.2.0.RELEASE/spring-data-mongodb-1.2.0.RELEASE.jar,,,,,,,,1.2.1
48572,org.springframework.data.spring-data-mongodb,1.2.1,2013-04-17,https://repo1.maven.org/maven2/org/springframework/data/spring-data-mongodb/1.2.1.RELEASE/spring-data-mongodb-1.2.1.RELEASE.jar,,,,,,,,1.2.2
