,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
370,org.springframework.integration.spring-integration-jmx,2.0.0,2010-11-23,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.0.0.RELEASE/spring-integration-jmx-2.0.0.RELEASE.jar,,,,,,,,2.0.1
371,org.springframework.integration.spring-integration-jmx,2.0.1,2010-12-18,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.0.1.RELEASE/spring-integration-jmx-2.0.1.RELEASE.jar,,,,,,,,2.0.3
372,org.springframework.integration.spring-integration-jmx,2.0.3,2011-02-10,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.0.3.RELEASE/spring-integration-jmx-2.0.3.RELEASE.jar,,,,,,,,2.0.4
373,org.springframework.integration.spring-integration-jmx,2.0.4,2011-05-18,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.0.4.RELEASE/spring-integration-jmx-2.0.4.RELEASE.jar,,,,,,,,2.0.5
374,org.springframework.integration.spring-integration-jmx,2.0.5,2011-07-18,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.0.5.RELEASE/spring-integration-jmx-2.0.5.RELEASE.jar,,,,,,,,2.0.6
375,org.springframework.integration.spring-integration-jmx,2.0.6,2012-04-11,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.0.6.RELEASE/spring-integration-jmx-2.0.6.RELEASE.jar,,,,,,,,2.1.0
376,org.springframework.integration.spring-integration-jmx,2.1.0,2012-01-06,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.1.0.RELEASE/spring-integration-jmx-2.1.0.RELEASE.jar,,,,,,,,2.1.1
377,org.springframework.integration.spring-integration-jmx,2.1.1,2012-04-05,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.1.1.RELEASE/spring-integration-jmx-2.1.1.RELEASE.jar,,,,,,,,2.1.2
378,org.springframework.integration.spring-integration-jmx,2.1.2,2012-06-04,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.1.2.RELEASE/spring-integration-jmx-2.1.2.RELEASE.jar,,,,,,,,2.1.3
379,org.springframework.integration.spring-integration-jmx,2.1.3,2012-07-02,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.1.3.RELEASE/spring-integration-jmx-2.1.3.RELEASE.jar,,,,,,,,2.1.4
380,org.springframework.integration.spring-integration-jmx,2.1.4,2012-10-19,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.1.4.RELEASE/spring-integration-jmx-2.1.4.RELEASE.jar,,,,,,,,2.1.5
381,org.springframework.integration.spring-integration-jmx,2.1.5,2013-01-25,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.1.5.RELEASE/spring-integration-jmx-2.1.5.RELEASE.jar,,,,,,,,2.1.6
359,org.springframework.integration.spring-integration-jmx,2.1.6,2013-06-10,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.1.6.RELEASE/spring-integration-jmx-2.1.6.RELEASE.jar,,,,,,,,2.2.0
382,org.springframework.integration.spring-integration-jmx,2.2.0,2012-11-30,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.2.0.RELEASE/spring-integration-jmx-2.2.0.RELEASE.jar,,,,,,,,2.2.1
358,org.springframework.integration.spring-integration-jmx,2.2.1,2013-01-25,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.2.1.RELEASE/spring-integration-jmx-2.2.1.RELEASE.jar,,,,,,,,2.2.2
356,org.springframework.integration.spring-integration-jmx,2.2.2,2013-03-06,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.2.2.RELEASE/spring-integration-jmx-2.2.2.RELEASE.jar,,,,,,,,2.2.3
333,org.springframework.integration.spring-integration-jmx,2.2.3,2013-03-28,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.2.3.RELEASE/spring-integration-jmx-2.2.3.RELEASE.jar,,,,,,,,2.2.4
334,org.springframework.integration.spring-integration-jmx,2.2.4,2013-06-10,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.2.4.RELEASE/spring-integration-jmx-2.2.4.RELEASE.jar,,,,,,,,2.2.5
335,org.springframework.integration.spring-integration-jmx,2.2.5,2013-09-05,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.2.5.RELEASE/spring-integration-jmx-2.2.5.RELEASE.jar,,,,,,,,2.2.6
336,org.springframework.integration.spring-integration-jmx,2.2.6,2013-10-14,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.2.6.RELEASE/spring-integration-jmx-2.2.6.RELEASE.jar,,,,,,,,2.2.7
337,org.springframework.integration.spring-integration-jmx,2.2.7,2016-01-21,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/2.2.7.RELEASE/spring-integration-jmx-2.2.7.RELEASE.jar,,,,,,,,3.0.0
338,org.springframework.integration.spring-integration-jmx,3.0.0,2013-12-15,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/3.0.0.RELEASE/spring-integration-jmx-3.0.0.RELEASE.jar,,,,,,,,3.0.1
339,org.springframework.integration.spring-integration-jmx,3.0.1,2014-02-06,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/3.0.1.RELEASE/spring-integration-jmx-3.0.1.RELEASE.jar,,,,,,,,3.0.2
340,org.springframework.integration.spring-integration-jmx,3.0.2,2014-03-31,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/3.0.2.RELEASE/spring-integration-jmx-3.0.2.RELEASE.jar,,,,,,,,3.0.3
341,org.springframework.integration.spring-integration-jmx,3.0.3,2014-06-02,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/3.0.3.RELEASE/spring-integration-jmx-3.0.3.RELEASE.jar,,,,,,,,3.0.4
342,org.springframework.integration.spring-integration-jmx,3.0.4,2014-07-08,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/3.0.4.RELEASE/spring-integration-jmx-3.0.4.RELEASE.jar,,,,,,,,3.0.5
343,org.springframework.integration.spring-integration-jmx,3.0.5,2014-09-05,https://repo1.maven.org/maven2/org/springframework/integration/spring-integration-jmx/3.0.5.RELEASE/spring-integration-jmx-3.0.5.RELEASE.jar,,,,,,,,3.0.6
