,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
26800,org.springframework.security.spring-security-web,3.0.0,2009-12-23,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.0.RELEASE/spring-security-web-3.0.0.RELEASE.jar,5,,,,,,,3.0.1
26801,org.springframework.security.spring-security-web,3.0.1,2010-01-15,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.1.RELEASE/spring-security-web-3.0.1.RELEASE.jar,5,0,0,0,0,0,0,3.0.2
26802,org.springframework.security.spring-security-web,3.0.2,2010-02-19,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.2.RELEASE/spring-security-web-3.0.2.RELEASE.jar,5,0,0,0,0,0,0,3.0.3
26803,org.springframework.security.spring-security-web,3.0.3,2010-07-01,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.3.RELEASE/spring-security-web-3.0.3.RELEASE.jar,5,0,0,0,0,0,0,3.0.4
26804,org.springframework.security.spring-security-web,3.0.4,2010-10-26,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.4.RELEASE/spring-security-web-3.0.4.RELEASE.jar,5,0,0,0,0,0,0,3.0.5
26805,org.springframework.security.spring-security-web,3.0.5,2010-11-18,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.5.RELEASE/spring-security-web-3.0.5.RELEASE.jar,5,0,0,0,0,0,0,3.0.6
26806,org.springframework.security.spring-security-web,3.0.6,2011-08-19,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.6.RELEASE/spring-security-web-3.0.6.RELEASE.jar,5,0,0,0,0,0,0,3.0.7
26808,org.springframework.security.spring-security-web,3.0.7,2011-09-05,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.7.RELEASE/spring-security-web-3.0.7.RELEASE.jar,5,0,0,0,0,0,0,3.0.8
26833,org.springframework.security.spring-security-web,3.0.8,2012-10-08,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.0.8.RELEASE/spring-security-web-3.0.8.RELEASE.jar,5,0,0,0,0,0,0,3.1.0
26859,org.springframework.security.spring-security-web,3.1.0,2011-12-07,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.1.0.RELEASE/spring-security-web-3.1.0.RELEASE.jar,5,0,0,0,0,0,0,3.1.1
26834,org.springframework.security.spring-security-web,3.1.1,2012-07-06,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.1.1.RELEASE/spring-security-web-3.1.1.RELEASE.jar,5,0,0,0,0,0,0,3.1.2
26862,org.springframework.security.spring-security-web,3.1.2,2012-08-10,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.1.2.RELEASE/spring-security-web-3.1.2.RELEASE.jar,5,0,0,0,0,0,0,3.1.3
26863,org.springframework.security.spring-security-web,3.1.3,2012-10-08,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.1.3.RELEASE/spring-security-web-3.1.3.RELEASE.jar,5,0,0,0,0,0,0,3.1.4
26864,org.springframework.security.spring-security-web,3.1.4,2013-04-26,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.1.4.RELEASE/spring-security-web-3.1.4.RELEASE.jar,5,0,0,0,0,0,0,3.1.5
26865,org.springframework.security.spring-security-web,3.1.5,2014-02-19,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.1.5.RELEASE/spring-security-web-3.1.5.RELEASE.jar,5,0,0,0,0,0,0,3.1.6
26866,org.springframework.security.spring-security-web,3.1.6,2014-03-10,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.1.6.RELEASE/spring-security-web-3.1.6.RELEASE.jar,5,0,0,0,0,0,0,3.1.7
26867,org.springframework.security.spring-security-web,3.1.7,2014-08-15,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.1.7.RELEASE/spring-security-web-3.1.7.RELEASE.jar,5,0,0,0,0,0,0,3.2.0
26868,org.springframework.security.spring-security-web,3.2.0,2013-12-16,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.2.0.RELEASE/spring-security-web-3.2.0.RELEASE.jar,8,0,0,0,0,3,0,3.2.1
26869,org.springframework.security.spring-security-web,3.2.1,2014-02-19,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.2.1.RELEASE/spring-security-web-3.2.1.RELEASE.jar,8,0,0,0,0,0,0,3.2.2
26870,org.springframework.security.spring-security-web,3.2.2,2014-03-10,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.2.2.RELEASE/spring-security-web-3.2.2.RELEASE.jar,8,0,0,0,0,0,0,3.2.3
26871,org.springframework.security.spring-security-web,3.2.3,2014-03-25,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.2.3.RELEASE/spring-security-web-3.2.3.RELEASE.jar,8,0,0,0,0,0,0,3.2.4
26872,org.springframework.security.spring-security-web,3.2.4,2014-05-21,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.2.4.RELEASE/spring-security-web-3.2.4.RELEASE.jar,8,0,0,0,0,0,0,3.2.5
26873,org.springframework.security.spring-security-web,3.2.5,2014-08-15,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.2.5.RELEASE/spring-security-web-3.2.5.RELEASE.jar,8,0,0,0,0,0,0,3.2.6
26874,org.springframework.security.spring-security-web,3.2.6,2015-02-26,https://repo1.maven.org/maven2/org/springframework/security/spring-security-web/3.2.6.RELEASE/spring-security-web-3.2.6.RELEASE.jar,9,0,0,0,0,1,0,3.2.7
