,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
75865,org.springframework.spring-aop,1,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.0/spring-aop-1.0.jar,,,,,,,,1.0.1
75855,org.springframework.spring-aop,1.0.1,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.0.1/spring-aop-1.0.1.jar,,,,,,,,1.1
75837,org.springframework.spring-aop,1.1,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.1/spring-aop-1.1.jar,63,,,,,,,1.1.1
75836,org.springframework.spring-aop,1.1.1,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.1.1/spring-aop-1.1.1.jar,64,0,0,0,0,1,0,1.1.2
75835,org.springframework.spring-aop,1.1.2,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.1.2/spring-aop-1.1.2.jar,65,0,0,0,0,3,2,1.1.3
75834,org.springframework.spring-aop,1.1.3,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.1.3/spring-aop-1.1.3.jar,66,0,0,0,0,1,0,1.1.4
75833,org.springframework.spring-aop,1.1.4,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.1.4/spring-aop-1.1.4.jar,68,0,0,0,0,2,0,1.1.5
75832,org.springframework.spring-aop,1.1.5,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.1.5/spring-aop-1.1.5.jar,67,0,0,0,0,0,1,1.2
75831,org.springframework.spring-aop,1.2,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2/spring-aop-1.2.jar,69,0,0,0,0,3,1,1.2.1
75830,org.springframework.spring-aop,1.2.1,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.1/spring-aop-1.2.1.jar,69,0,0,0,0,0,0,1.2.2
75829,org.springframework.spring-aop,1.2.2,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.2/spring-aop-1.2.2.jar,69,0,0,0,0,0,0,1.2.3
75828,org.springframework.spring-aop,1.2.3,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.3/spring-aop-1.2.3.jar,70,0,0,0,0,1,0,1.2.4
75827,org.springframework.spring-aop,1.2.4,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.4/spring-aop-1.2.4.jar,71,0,0,0,0,1,0,1.2.5
75826,org.springframework.spring-aop,1.2.5,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.5/spring-aop-1.2.5.jar,70,0,0,0,0,0,1,1.2.6
75825,org.springframework.spring-aop,1.2.6,12/23/2005,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.6/spring-aop-1.2.6.jar,70,0,0,0,0,0,0,1.2.7
75824,org.springframework.spring-aop,1.2.7,5/10/2006,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.7/spring-aop-1.2.7.jar,71,0,0,0,0,1,0,1.2.8
75823,org.springframework.spring-aop,1.2.8,8/24/2006,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.8/spring-aop-1.2.8.jar,71,0,0,0,0,0,0,1.2.9
75822,org.springframework.spring-aop,1.2.9,3/9/2007,https://repo1.maven.org/maven2/org/springframework/spring-aop/1.2.9/spring-aop-1.2.9.jar,72,0,0,0,0,1,0,2
75853,org.springframework.spring-aop,2,10/4/2006,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0/spring-aop-2.0.jar,82,0,0,0,0,16,3,2.0.1
75852,org.springframework.spring-aop,2.0.1,11/25/2006,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0.1/spring-aop-2.0.1.jar,84,1,0,1,0,2,2,2.0.2
75851,org.springframework.spring-aop,2.0.2,1/9/2007,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0.2/spring-aop-2.0.2.jar,85,0,1,0,0,2,0,2.0.3
75850,org.springframework.spring-aop,2.0.3,3/9/2007,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0.3/spring-aop-2.0.3.jar,87,0,0,0,0,4,2,2.0.4
75849,org.springframework.spring-aop,2.0.4,4/10/2007,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0.4/spring-aop-2.0.4.jar,87,0,0,0,0,0,0,2.0.5
75848,org.springframework.spring-aop,2.0.5,5/8/2007,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0.5/spring-aop-2.0.5.jar,87,0,0,0,0,0,0,2.0.6
75847,org.springframework.spring-aop,2.0.6,6/19/2007,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0.6/spring-aop-2.0.6.jar,87,0,0,0,0,0,0,2.0.7
75846,org.springframework.spring-aop,2.0.7,10/2/2007,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0.7/spring-aop-2.0.7.jar,88,0,0,0,0,1,0,2.0.8
75845,org.springframework.spring-aop,2.0.8,1/10/2008,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.0.8/spring-aop-2.0.8.jar,88,0,0,0,0,0,0,2.5
75844,org.springframework.spring-aop,2.5,12/25/2007,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.5/spring-aop-2.5.jar,93,7,0,0,0,0,2,2.5.1
75843,org.springframework.spring-aop,2.5.1,1/10/2008,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.5.1/spring-aop-2.5.1.jar,93,0,0,0,0,0,0,2.5.2
75842,org.springframework.spring-aop,2.5.2,3/6/2008,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.5.2/spring-aop-2.5.2.jar,93,0,0,0,0,0,0,2.5.3
75841,org.springframework.spring-aop,2.5.3,4/7/2008,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.5.3/spring-aop-2.5.3.jar,93,0,0,0,0,0,0,2.5.4
75840,org.springframework.spring-aop,2.5.4,4/28/2008,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.5.4/spring-aop-2.5.4.jar,93,0,0,0,0,0,0,2.5.5
75839,org.springframework.spring-aop,2.5.5,6/23/2008,https://repo1.maven.org/maven2/org/springframework/spring-aop/2.5.5/spring-aop-2.5.5.jar,93,0,0,0,0,0,0,2.5.6
